time	rss
0	540672
100711013	20893696
201029253	32751616
300723971	34811904
400735228	44851200
500732433	49594368
600735918	58593280
700738749	68329472
800736403	72847360
900736530	82710528
1000735453	93700096
1100738611	97366016
1200735310	107114496
1300739970	111755264
1400736655	121430016
1500740560	126881792
1600732617	18845696
1700724391	27320320
1800734818	32890880
1900735911	46399488
2000723814	41025536
2100730794	48717824
2200724599	55926784
2300732858	60846080
2400736396	67211264
2500733869	66338816
2600732644	86228992
2700728143	83173376
2800723102	91865088
2900724959	84418560
3000722780	86433792
3100740001	95821824
3200728361	101335040
3300723226	118104064
3400722876	110522368
3501236024	117014528
3600725429	106835968
3700736766	109244416
3800801726	113836032
3901279824	118108160
4000743998	123158528
4100733957	119234560
4200723187	120213504
4300724710	117456896
4400720046	114982912
4500736218	119341056
4600726285	117960704
4700728136	124698624
4800735202	112353280
4900738555	119730176
5000722142	125198336
5100726862	119410688
5200727418	128299008
5300733228	118910976
5400724047	128102400
5500721446	120168448
5600723627	118620160
5700728336	137572352
5801260830	113115136
5900736816	112832512
6000739490	93057024
6101198306	93057024
6200897171	93057024
6300737770	93057024
6400746304	93057024
6500736082	93057024
6600740017	92921856
6700735892	92921856
6800726982	92921856
6900831775	92921856
7000743823	92921856
7100949201	92921856
7200732207	92921856
7300739950	92921856
7400732452	92921856
7500733359	92921856
7600730557	92921856
7700747986	92921856
7800735736	92921856
7900735675	92921856
8000743811	92921856
8100736566	92921856
8200740577	92921856
8300751775	92938240
8400734976	92876800
8500722558	92876800
8600735307	92872704
8700737604	92872704
8800734729	92872704
8900739962	92872704
9000744320	92872704
9100727922	92872704
9200740966	92872704
9300756789	92872704
9400742537	92872704
9500747811	92872704
9600720976	92872704
9700747022	92872704
9800745742	92872704
9900742376	92872704
10000746951	92872704
10100724791	92872704
10200741354	92872704
10300749108	92872704
10400746840	92872704
10500743239	92872704
10600723344	92872704
10700741329	92872704
10800742851	93003776
10900730072	93143040
11000735596	93143040
11100750744	118067200
11200741447	86056960
11300749808	82960384
11400735461	82960384
11500733426	82960384
11600734617	82960384
11700990300	82960384
11800731698	82960384
11900733229	82960384
12000730884	82960384
12100734949	82960384
12200735061	82960384
12300827853	82960384
12400735241	82960384
12500741071	82960384
12600735304	82960384
12700733754	82960384
12800734720	82960384
12900753046	82874368
13000753698	82931712
13100745194	61149184
13200751432	105377792
13300721006	127410176
13400719988	118087680
