Value,Percentile,TotalCount,1/(1-Percentile)
19.000,0.000000,10,1.00
23.000,0.050000,10358952,1.05
23.000,0.100000,10358952,1.11
23.000,0.150000,10358952,1.18
23.000,0.200000,10358952,1.25
23.000,0.250000,10358952,1.33
27.000,0.300000,32832199,1.43
27.000,0.350000,32832199,1.54
27.000,0.400000,32832199,1.67
27.000,0.450000,32832199,1.82
27.000,0.500000,32832199,2.00
27.000,0.525000,32832199,2.11
27.000,0.550000,32832199,2.22
27.000,0.575000,32832199,2.35
27.000,0.600000,32832199,2.50
27.000,0.625000,32832199,2.67
27.000,0.650000,32832199,2.86
27.000,0.675000,32832199,3.08
27.000,0.700000,32832199,3.33
27.000,0.725000,32832199,3.64
27.000,0.750000,32832199,4.00
27.000,0.762500,32832199,4.21
27.000,0.775000,32832199,4.44
27.000,0.787500,32832199,4.71
27.000,0.800000,32832199,5.00
27.000,0.812500,32832199,5.33
31.000,0.825000,38529351,5.71
31.000,0.837500,38529351,6.15
31.000,0.850000,38529351,6.67
31.000,0.862500,38529351,7.27
31.000,0.875000,38529351,8.00
31.000,0.881250,38529351,8.42
31.000,0.887500,38529351,8.89
31.000,0.893750,38529351,9.41
31.000,0.900000,38529351,10.00
31.000,0.906250,38529351,10.67
31.000,0.912500,38529351,11.43
31.000,0.918750,38529351,12.31
31.000,0.925000,38529351,13.33
31.000,0.931250,38529351,14.55
31.000,0.937500,38529351,16.00
31.000,0.940625,38529351,16.84
31.000,0.943750,38529351,17.78
31.000,0.946875,38529351,18.82
31.000,0.950000,38529351,20.00
31.000,0.953125,38529351,21.33
31.000,0.956250,38529351,22.86
31.000,0.959375,38529351,24.62
31.000,0.962500,38529351,26.67
35.000,0.965625,38690611,29.09
47.000,0.968750,38797397,32.00
55.000,0.970313,38847664,33.68
63.000,0.971875,38933402,35.56
67.000,0.973437,39024966,37.65
67.000,0.975000,39024966,40.00
71.000,0.976562,39200493,42.67
71.000,0.978125,39200493,45.71
75.000,0.979688,39317919,49.23
75.000,0.981250,39317919,53.33
79.000,0.982812,39363222,58.18
83.000,0.984375,39466238,64.00
83.000,0.985156,39466238,67.37
83.000,0.985938,39466238,71.11
87.000,0.986719,39525614,75.29
87.000,0.987500,39525614,80.00
91.000,0.988281,39559400,85.33
95.000,0.989062,39635953,91.43
95.000,0.989844,39635953,98.46
99.000,0.990625,39719576,106.67
99.000,0.991406,39719576,116.36
99.000,0.992188,39719576,128.00
103.000,0.992578,39785707,134.74
103.000,0.992969,39785707,142.22
103.000,0.993359,39785707,150.59
103.000,0.993750,39785707,160.00
107.000,0.994141,39827332,170.67
107.000,0.994531,39827332,182.86
107.000,0.994922,39827332,196.92
115.000,0.995313,39844228,213.33
119.000,0.995703,39854467,232.73
127.000,0.996094,39868631,256.00
131.000,0.996289,39882670,269.47
135.000,0.996484,39888764,284.44
139.000,0.996680,39914030,301.18
139.000,0.996875,39914030,320.00
