Value,Percentile,TotalCount,1/(1-Percentile)
19.000,0.000000,12,1.00
27.000,0.050000,7426657,1.05
27.000,0.100000,7426657,1.11
27.000,0.150000,7426657,1.18
31.000,0.200000,19738968,1.25
31.000,0.250000,19738968,1.33
31.000,0.300000,19738968,1.43
31.000,0.350000,19738968,1.54
31.000,0.400000,19738968,1.67
31.000,0.450000,19738968,1.82
35.000,0.500000,23537817,2.00
35.000,0.525000,23537817,2.11
35.000,0.550000,23537817,2.22
35.000,0.575000,23537817,2.35
51.000,0.600000,24039058,2.50
55.000,0.625000,25203384,2.67
59.000,0.650000,29346487,2.86
59.000,0.675000,29346487,3.08
59.000,0.700000,29346487,3.33
59.000,0.725000,29346487,3.64
63.000,0.750000,34949677,4.00
63.000,0.762500,34949677,4.21
63.000,0.775000,34949677,4.44
63.000,0.787500,34949677,4.71
63.000,0.800000,34949677,5.00
63.000,0.812500,34949677,5.33
63.000,0.825000,34949677,5.71
63.000,0.837500,34949677,6.15
63.000,0.850000,34949677,6.67
63.000,0.862500,34949677,7.27
67.000,0.875000,38959325,8.00
67.000,0.881250,38959325,8.42
67.000,0.887500,38959325,8.89
67.000,0.893750,38959325,9.41
67.000,0.900000,38959325,10.00
67.000,0.906250,38959325,10.67
67.000,0.912500,38959325,11.43
67.000,0.918750,38959325,12.31
67.000,0.925000,38959325,13.33
67.000,0.931250,38959325,14.55
67.000,0.937500,38959325,16.00
67.000,0.940625,38959325,16.84
67.000,0.943750,38959325,17.78
67.000,0.946875,38959325,18.82
67.000,0.950000,38959325,20.00
67.000,0.953125,38959325,21.33
67.000,0.956250,38959325,22.86
67.000,0.959375,38959325,24.62
67.000,0.962500,38959325,26.67
67.000,0.965625,38959325,29.09
67.000,0.968750,38959325,32.00
67.000,0.970313,38959325,33.68
67.000,0.971875,38959325,35.56
71.000,0.973437,39260936,37.65
71.000,0.975000,39260936,40.00
71.000,0.976562,39260936,42.67
71.000,0.978125,39260936,45.71
71.000,0.979688,39260936,49.23
75.000,0.981250,39509387,53.33
75.000,0.982812,39509387,58.18
75.000,0.984375,39509387,64.00
75.000,0.985156,39509387,67.37
75.000,0.985938,39509387,71.11
75.000,0.986719,39509387,75.29
79.000,0.987500,39604369,80.00
79.000,0.988281,39604369,85.33
79.000,0.989062,39604369,91.43
83.000,0.989844,39655443,98.46
83.000,0.990625,39655443,106.67
87.000,0.991406,39686307,116.36
91.000,0.992188,39717861,128.00
95.000,0.992578,39746619,134.74
95.000,0.992969,39746619,142.22
99.000,0.993359,39779073,150.59
99.000,0.993750,39779073,160.00
103.000,0.994141,39819311,170.67
103.000,0.994531,39819311,182.86
107.000,0.994922,39848550,196.92
107.000,0.995313,39848550,213.33
111.000,0.995703,39872011,232.73
111.000,0.996094,39872011,256.00
115.000,0.996289,39911300,269.47
115.000,0.996484,39911300,284.44
115.000,0.996680,39911300,301.18
115.000,0.996875,39911300,320.00
115.000,0.997070,39911300,341.33
119.000,0.997266,39929994,365.71
119.000,0.997461,39929994,393.85
119.000,0.997656,39929994,426.67
123.000,0.997852,39943025,465.45
127.000,0.998047,39951689,512.00
127.000,0.998145,39951689,538.95
131.000,0.998242,39957803,568.89
131.000,0.998340,39957803,602.35
135.000,0.998437,39961636,640.00
143.000,0.998535,39966144,682.67
151.000,0.998633,39971274,731.43
155.000,0.998730,39974044,787.69
159.000,0.998828,39978209,853.33
163.000,0.998926,39982686,930.91
167.000,0.999023,39986557,1024.00
171.000,0.999072,39990558,1077.89
171.000,0.999121,39990558,1137.78
171.000,0.999170,39990558,1204.71
175.000,0.999219,39994030,1280.00
179.000,0.999268,39996621,1365.33
179.000,0.999316,39996621,1462.86
183.000,0.999365,39998561,1575.38
191.000,0.999414,40001278,1706.67
195.000,0.999463,40002565,1861.82
203.000,0.999512,40005635,2048.00
203.000,0.999536,40005635,2155.79
207.000,0.999561,40006898,2275.56
211.000,0.999585,40008155,2409.41
211.000,0.999609,40008155,2560.00
215.000,0.999634,40009344,2730.67
219.000,0.999658,40010365,2925.71
223.000,0.999683,40011275,3150.77
227.000,0.999707,40012129,3413.33
231.000,0.999731,40012986,3723.64
239.000,0.999756,40014208,4096.00
243.000,0.999768,40014722,4311.58
247.000,0.999780,40015138,4551.11
251.000,0.999792,40015486,4818.82
259.000,0.999805,40016043,5120.00
267.000,0.999817,40016541,5461.33
275.000,0.999829,40016997,5851.43
