time	rss
0	548864
8768317	2871296
16642039	3657728
24524484	5099520
32392017	8900608
40265057	8708096
48162582	14999552
56021191	21159936
63904668	26402816
71769445	32563200
79652558	38064128
87521697	44478464
95381977	51290112
103259218	58368000
111132682	65445888
119001532	72523776
126873349	79462400
134754381	86532096
142606803	93732864
150507067	100941824
158376426	107626496
166247399	114704384
174119869	121909248
181993570	128851968
189864771	135925760
197742742	143003648
205597309	150081536
213493849	157155328
221368136	164098048
229238734	166264832
237118378	169521152
244985777	172929024
252865500	175812608
260736874	178696192
268594657	182366208
276508222	184463360
284359439	186691584
292219391	189050880
300116983	181272576
307988408	169226240
315847008	156364800
323709324	140869632
331598968	126160896
339458942	110923776
347342418	95952896
355221619	80719872
363091073	66011136
370965329	50511872
378840350	35540992
386722403	33136640
394594376	37462016
402464623	41787392
410346742	45195264
418209150	48996352
426081052	49913856
433949310	50962432
441827751	52273152
449696414	52535296
457579549	52535296
465457011	52928512
473325671	54231040
481195663	55406592
489073176	55799808
496945784	56975360
504819362	58150912
512689599	59461632
520563273	60637184
528436445	61808640
536318108	66514944
544194521	67690496
552069070	68857856
559939636	70164480
567816193	71335936
575701821	72515584
583569294	73424896
591451312	73945088
599330702	70795264
607192979	59514880
615070160	56623104
622932899	56623104
630821579	56623104
638686521	41390080
646528904	17403904
654442160	24350720
662349914	29986816
670204944	35360768
678089800	40996864
685937826	47022080
693796325	53837824
701676153	60518400
709524356	67727360
717408797	74674176
725297087	81620992
733173947	88694784
741047708	95772672
748915231	102719488
756790320	109666304
764664712	116744192
772504870	123691008
780409416	130768896
788285809	137838592
796166302	144785408
804036482	151732224
811912113	158679040
819786253	165625856
827657683	172834816
835541083	174538752
843413593	175063040
851289666	176373760
859154641	178864128
867024186	181878784
874905244	185286656
882777005	187514880
890647808	190005248
898524408	180813824
906397381	165318656
914270894	149819392
922144965	134324224
930018181	119091200
937892448	103858176
945761092	88621056
953643524	72863744
961519428	57892864
969383054	42393600
977269984	34385920
985128642	37531648
993016832	42119168
1000887248	45395968
1008763402	49065984
1016650009	50114560
1024512700	51032064
1032367185	52342784
1040255216	52736000
1048135315	52736000
1056009125	52998144
1063877638	54177792
1071750348	55488512
1079628582	56799232
1087520663	57319424
1095369533	58363904
1103248436	59674624
1111119684	60981248
1118992286	62152704
1126871843	65814528
1134742418	66985984
1142618145	68157440
1150505274	69459968
1158353224	70635520
1166238757	71815168
1174111951	73117696
1181992902	73117696
1189859305	73904128
1197730531	68657152
1205615814	59731968
1213513244	59731968
1221351634	35803136
1229225884	31346688
1237102984	13578240
1244978063	16986112
1252858178	23277568
1260761784	29569024
1268624701	34549760
1276484518	40706048
1284342280	46604288
1292223384	53547008
1300099166	60493824
1307969711	67440640
1315844881	74387456
1323720243	81461248
1331594528	88539136
1339473248	95617024
1347347735	102563840
1355216225	109641728
1363091568	116850688
1370962644	123797504
1378828119	130220032
1386713653	137420800
1394583933	144367616
1402462874	151445504
1410332579	158654464
1418206290	165732352
1426078604	170582016
1433952356	171237376
1441833230	174645248
1449711756	177528832
1457579424	180281344
1465456641	183427072
1473336296	185524224
1481199782	187752448
1489070587	190242816
1496935357	175800320
1504820421	159776768
1512694907	144543744
1520572422	129048576
1528450492	113549312
1536322520	97792000
1544195815	82292736
1552072892	67059712
1559946222	52088832
1567808038	36593664
1575694065	35278848
1583574597	38948864
1591427852	43405312
1599313665	46944256
1607183833	49434624
1615054557	50483200
1622923186	51531776
1630807433	52842496
1638678539	52842496
1646560454	52842496
1654430067	53497856
1662299391	54677504
1670168011	55988224
1678062715	56905728
1685930167	57688064
1693798609	58863616
1701670539	60174336
1709519344	61349888
1717417569	63569920
1725294895	66183168
1733170949	67485696
1741037800	68653056
1748912444	69959680
1756788600	71135232
1764658129	72310784
1772539467	73093120
1780457858	73879552
1788338274	73879552
1796167857	59707392
1804043452	59707392
1811909900	59707392
1819785808	35762176
1827648879	23953408
1835518100	13537280
1843403193	19828736
1851886802	25858048
1859149807	32280576
1867030872	37523456
1874904632	43286528
1882773619	48922624
1890648212	55865344
1898525596	62943232
1906386515	70021120
1914268215	77230080
1922147466	84303872
1930019748	91512832
1937894497	98459648
1945757032	105406464
1953642524	112615424
1961532276	119300096
1969400189	126377984
1977264664	133447680
1985139001	140656640
1993009788	147472384
2000883509	154550272
2008756072	161890304
2016628035	168837120
2024535251	171065344
2032373833	171982848
2040265880	174735360
2048133960	177881088
2056005781	180764672
2063867059	182992896
2071749525	186400768
