time	rss
0	548864
8628525	2740224
16509254	3526656
24402936	4444160
32289642	6934528
40145333	6610944
48031092	11452416
55888605	16429056
63768075	22458368
71631097	29274112
79513304	36220928
87390508	43298816
95254361	50245632
103127359	57192448
110999977	64270336
118875049	71217152
126749783	78163968
134626536	85110784
142496936	92172288
150373786	99246080
158267138	105930752
166124150	112615424
174000193	119693312
181870483	126636032
189746656	133705728
197556721	140783616
205496157	147861504
213370352	154939392
221245871	162017280
229112739	165240832
236988895	168497152
244871899	171642880
252748101	174788608
260602657	178458624
268492058	180817920
276366221	184094720
284238343	186454016
292109925	188944384
299982635	180015104
307851834	164782080
315725661	149291008
323552537	134057984
331480007	118820864
339356246	103587840
347232556	88354816
355104599	72855552
362988294	59457536
370867056	48427008
378720617	32669696
386842470	33943552
394480238	39055360
402341384	42594304
410452833	48492544
418087994	49147904
425958927	50196480
433829143	51245056
441709290	52555776
449599050	52555776
457648370	52555776
465334209	53469184
473207446	54771712
481086695	55689216
488971190	56602624
496847800	57647104
504696785	58953728
512561286	60264448
520459817	61440000
528332255	66146304
536207804	67321856
544078265	68497408
551944934	69795840
559819101	70967296
567879355	72142848
575560627	73318400
583453590	73969664
591338004	70819840
599210277	61636608
607093785	56651776
614950724	56651776
622812981	56651776
630699657	44830720
638555283	17297408
646442298	22540288
654346041	28176384
662187822	33419264
670081375	39055360
677939246	44560384
685806539	51372032
693666759	58310656
701555201	65122304
709430925	72069120
717307552	79015936
725183151	86093824
733050296	93032448
740924591	100106240
748798370	107053056
756659503	114130944
764563956	121077760
772424937	128151552
780299160	135098368
788175308	142286848
796051241	149233664
803919303	156180480
811798092	163258368
819651699	170463232
827550154	174395392
835421087	174919680
843294720	175575040
851169981	178720768
859040479	181604352
866911426	183570432
874782484	186060800
882663696	189075456
890546705	184741888
898407885	168984576
906283357	153485312
914155155	138252288
922027268	122757120
929900018	107786240
937780892	92549120
945659955	76791808
953543076	61558784
961403168	46587904
969281931	33456128
977156837	36470784
985022455	41058304
992902412	44466176
1000773911	48922624
