time	rss
0	548864
8675874	6602752
16589405	7651328
24556797	8564736
32310984	11186176
40215210	12730368
48092464	12861440
55956831	18366464
63816410	24264704
71674115	31211520
79549114	38289408
87368355	45232128
95297550	52301824
103175177	59244544
111047510	66191360
118912788	73007104
126785304	80216064
134659010	87158784
142534432	94089216
150356356	101163008
158285880	107847680
166160648	114794496
174036044	121741312
181909872	128684032
189787599	135491584
197652226	142438400
205530161	150040576
213356247	156987392
221278086	164192256
229154693	171130880
237028343	175579136
244909859	176496640
252774946	178855936
260643671	181608448
268509306	185278464
276355971	188162048
284275151	191963136
292143428	193536000
300020881	196812800
307897368	186179584
315764765	170946560
323635875	155975680
331514765	140738560
339361859	126029824
347265105	110534656
355143056	96612352
363013602	81641472
370886568	66670592
378762998	52224000
386633360	40275968
394490633	43421696
402362450	48271360
410270789	51154944
418137093	53776384
426005111	56266752
433873847	57446400
441750919	58363904
449624414	59805696
457483523	59805696
465360656	59805696
473248133	60719104
481123474	62017536
489010767	62935040
496874988	63721472
504753508	64901120
512614890	66207744
520471819	67518464
528355609	68694016
536251321	75374592
544116224	76550144
551986140	77725696
559857759	79020032
567728480	80195584
575605876	81371136
583484832	82677760
591359669	83722240
599241952	83722240
607107317	76640256
614997270	69550080
622861279	69681152
630727919	69681152
638604888	57868288
646461972	47456256
654343397	53616640
662243705	59121664
670136978	64888832
677993966	70524928
685856299	77074432
693715729	83890176
701596452	90570752
709477471	97517568
717351559	104595456
725205456	111542272
733090861	118222848
740961944	125169664
748832753	132116480
756705312	138932224
764580642	145879040
772452609	152825856
780344888	159772672
788191637	166715392
796075757	173662208
803949967	180477952
811824571	187424768
819698293	194240512
827569874	201056256
835445812	204726272
843349397	205381632
851186676	206036992
859079602	206561280
866947288	207216640
874820519	207740928
882690349	208265216
890568040	209051648
898430461	197103616
906313404	181870592
914188819	166637568
922058527	151633920
929932258	136429568
937811535	121196544
945683379	106487808
953553796	94404608
961428047	79695872
969304010	64724992
977196016	52383744
985052781	55267328
992932916	58544128
1000803523	61820928
1008678808	63000576
1016537374	63655936
1024420978	64704512
1032295162	65753088
1040182006	66932736
1048048472	66932736
1055918987	66932736
1063795134	67850240
1071665412	69029888
1079536715	70340608
1087425858	71127040
1095294034	71913472
1103164336	73220096
1111036847	74530816
1118911115	75706368
1126791525	76877824
1134647854	78057472
1142530398	79360000
1150405471	80527360
1158279668	81702912
1166155888	82878464
1174029803	84054016
1181914955	84705280
1189800657	84705280
1197668378	74997760
1205521427	70664192
1213413040	70664192
1221271636	70664192
1229138353	61476864
1237019991	48439296
1244897556	53551104
1252800036	58925056
1260731092	63643648
1268528397	68886528
1276362109	73867264
1284270645	80809984
1292147375	87621632
1300021217	94568448
1307889538	101515264
1315763291	108331008
1323637460	115142656
1331516924	121958400
1339390469	129036288
1347263459	135983104
1355136098	142929920
1363010289	149876736
1370886014	156692480
1378758296	163508224
1386632164	170713088
1394507446	177397760
1402380561	184344576
1410254192	191291392
1418128619	198238208
1426000206	205185024
1433880949	205709312
1441754739	206364672
1449622220	206888960
1457482680	207413248
1465368782	207937536
1473249898	208461824
1481128410	208986112
1488996424	205312000
1496872244	190341120
1504747095	174845952
1512611727	160137216
1520472152	144637952
1528359435	129667072
1536234058	114696192
1544114841	100249600
1551986294	85016576
1559859074	70569984
1567723589	55599104
1575609861	54153216
1583464205	57692160
1591371331	60968960
1599232790	63197184
1607105061	63852544
1615001207	64638976
1622857413	65687552
1630721662	66998272
1638592555	67129344
1646473617	67129344
1654359955	67784704
1662220248	69095424
1670097758	70406144
1677976071	71323648
1685854456	72110080
1693724023	73285632
1701597278	74596352
1709465765	75902976
1717350994	78778368
1725213099	79958016
1733085617	81264640
1740960514	82427904
1748837969	83603456
1756708846	84779008
1764575491	85954560
1772465912	86867968
1780356195	87916544
1788214246	84770816
1796083088	73744384
1803965402	73744384
1811833568	73744384
1819697951	64045056
1827572522	51531776
1835434796	57552896
1843370983	62533632
1851215858	67907584
1859092803	72888320
1866947017	78782464
1874815979	85467136
1882697383	92147712
1890567408	99094528
1898440429	105910272
1906317523	112988160
