Value,Percentile,TotalCount,1/(1-Percentile)
16.00000,0.000000,3,1.00
17.00000,0.050000,26,1.05
17.00000,0.100000,26,1.11
17.00000,0.150000,26,1.18
18.00000,0.200000,34,1.25
19.00000,0.250000,39,1.33
20.00000,0.300000,47,1.43
21.00000,0.350000,69,1.54
21.00000,0.400000,69,1.67
21.00000,0.450000,69,1.82
22.00000,0.500000,86,2.00
22.00000,0.525000,86,2.11
22.00000,0.550000,86,2.22
22.00000,0.575000,86,2.35
23.00000,0.600000,94,2.50
23.00000,0.625000,94,2.67
25.00000,0.650000,100,2.86
26.00000,0.675000,105,3.08
26.00000,0.700000,105,3.33
28.00000,0.725000,111,3.64
29.00000,0.750000,113,4.00
30.00000,0.762500,115,4.21
31.00000,0.775000,116,4.44
33.00000,0.787500,119,4.71
34.00000,0.800000,121,5.00
35.00000,0.812500,122,5.33
36.00000,0.825000,124,5.71
37.00000,0.837500,127,6.15
37.00000,0.850000,127,6.67
44.00000,0.862500,129,7.27
50.00000,0.875000,131,8.00
51.00000,0.881250,132,8.42
53.00000,0.887500,133,8.89
56.00000,0.893750,134,9.41
57.00000,0.900000,135,10.00
62.00000,0.906250,136,10.67
62.00000,0.912500,136,11.43
63.00000,0.918750,137,12.31
74.00000,0.925000,138,13.33
79.00000,0.931250,139,14.55
82.00000,0.937500,140,16.00
84.00000,0.940625,141,16.84
84.00000,0.943750,141,17.78
91.00000,0.946875,142,18.82
91.00000,0.950000,142,20.00
125.00000,0.953125,143,21.33
125.00000,0.956250,143,22.86
125.00000,0.959375,143,24.62
145.00000,0.962500,144,26.67
145.00000,0.965625,144,29.09
177.00000,0.968750,145,32.00
177.00000,0.970313,145,33.68
177.00000,0.971875,145,35.56
390.00000,0.973437,146,37.65
390.00000,0.975000,146,40.00
390.00000,0.976562,146,42.67
390.00000,0.978125,146,45.71
390.00000,0.979688,146,49.23
474.00000,0.981250,147,53.33
474.00000,0.982812,147,58.18
474.00000,0.984375,147,64.00
474.00000,0.985156,147,67.37
474.00000,0.985938,147,71.11
632.00000,0.986719,148,75.29
632.00000,0.987500,148,80.00
632.00000,0.988281,148,85.33
632.00000,0.989062,148,91.43
632.00000,0.989844,148,98.46
632.00000,0.990625,148,106.67
632.00000,0.991406,148,116.36
632.00000,0.992188,148,128.00
632.00000,0.992578,148,134.74
632.00000,0.992969,148,142.22
737.00000,0.993359,149,150.59
737.00000,1.000000,149,inf
