Value,Percentile,TotalCount,1/(1-Percentile)
18.00000,0.000000,462,1.00
20.00000,0.050000,701170,1.05
20.00000,0.100000,701170,1.11
20.00000,0.150000,701170,1.18
21.00000,0.200000,1983487,1.25
21.00000,0.250000,1983487,1.33
21.00000,0.300000,1983487,1.43
21.00000,0.350000,1983487,1.54
21.00000,0.400000,1983487,1.67
22.00000,0.450000,2981644,1.82
22.00000,0.500000,2981644,2.00
22.00000,0.525000,2981644,2.11
22.00000,0.550000,2981644,2.22
22.00000,0.575000,2981644,2.35
22.00000,0.600000,2981644,2.50
22.00000,0.625000,2981644,2.67
22.00000,0.650000,2981644,2.86
23.00000,0.675000,3675205,3.08
23.00000,0.700000,3675205,3.33
23.00000,0.725000,3675205,3.64
23.00000,0.750000,3675205,4.00
23.00000,0.762500,3675205,4.21
23.00000,0.775000,3675205,4.44
23.00000,0.787500,3675205,4.71
23.00000,0.800000,3675205,5.00
23.00000,0.812500,3675205,5.33
23.00000,0.825000,3675205,5.71
24.00000,0.837500,4067996,6.15
24.00000,0.850000,4067996,6.67
24.00000,0.862500,4067996,7.27
24.00000,0.875000,4067996,8.00
24.00000,0.881250,4067996,8.42
24.00000,0.887500,4067996,8.89
24.00000,0.893750,4067996,9.41
24.00000,0.900000,4067996,10.00
24.00000,0.906250,4067996,10.67
24.00000,0.912500,4067996,11.43
25.00000,0.918750,4232341,12.31
25.00000,0.925000,4232341,13.33
25.00000,0.931250,4232341,14.55
25.00000,0.937500,4232341,16.00
25.00000,0.940625,4232341,16.84
25.00000,0.943750,4232341,17.78
25.00000,0.946875,4232341,18.82
25.00000,0.950000,4232341,20.00
26.00000,0.953125,4314584,21.33
26.00000,0.956250,4314584,22.86
26.00000,0.959375,4314584,24.62
26.00000,0.962500,4314584,26.67
26.00000,0.965625,4314584,29.09
26.00000,0.968750,4314584,32.00
26.00000,0.970313,4314584,33.68
27.00000,0.971875,4341958,35.56
27.00000,0.973437,4341958,37.65
27.00000,0.975000,4341958,40.00
27.00000,0.976562,4341958,42.67
28.00000,0.978125,4353186,45.71
29.00000,0.979688,4357993,49.23
31.00000,0.981250,4364003,53.33
37.00000,0.982812,4369746,58.18
94.00000,0.984375,4377899,64.00
97.00000,0.985156,4380535,67.37
125.00000,0.985938,4383547,71.11
127.00000,0.986719,4389199,75.29
128.00000,0.987500,4395715,80.00
128.00000,0.988281,4395715,85.33
129.00000,0.989062,4403087,91.43
129.00000,0.989844,4403087,98.46
130.00000,0.990625,4409635,106.67
130.00000,0.991406,4409635,116.36
131.00000,0.992188,4414407,128.00
131.00000,0.992578,4414407,134.74
132.00000,0.992969,4417314,142.22
132.00000,0.993359,4417314,150.59
133.00000,0.993750,4419021,160.00
134.00000,0.994141,4420203,170.67
136.00000,0.994531,4421823,182.86
139.00000,0.994922,4423547,196.92
155.00000,0.995313,4425188,213.33
576.00000,0.995703,4426929,232.73
580.00000,0.996094,4429272,256.00
581.00000,0.996289,4430247,269.47
582.00000,0.996484,4431226,284.44
583.00000,0.996680,4432206,301.18
583.00000,0.996875,4432206,320.00
584.00000,0.997070,4433096,341.33
585.00000,0.997266,4434031,365.71
586.00000,0.997461,4434826,393.85
587.00000,0.997656,4435635,426.67
589.00000,0.997852,4437139,465.45
590.00000,0.998047,4437768,512.00
590.00000,0.998145,4437768,538.95
591.00000,0.998242,4438295,568.89
592.00000,0.998340,4438738,602.35
593.00000,0.998437,4439094,640.00
595.00000,0.998535,4439759,682.67
596.00000,0.998633,4439976,731.43
599.00000,0.998730,4440418,787.69
604.00000,0.998828,4440866,853.33
616.00000,0.998926,4441242,930.91
684.00000,0.999023,4441677,1024.00
742.00000,0.999072,4441895,1077.89
790.00000,0.999121,4442110,1137.78
834.00000,0.999170,4442335,1204.71
876.00000,0.999219,4442549,1280.00
921.00000,0.999268,4442762,1365.33
977.00000,0.999316,4442978,1462.86
1061.00000,0.999365,4443194,1575.38
1235.00000,0.999414,4443412,1706.67
2183.00000,0.999463,4443629,1861.82
12682.00000,0.999512,4443846,2048.00
13350.00000,0.999536,4443954,2155.79
13768.00000,0.999561,4444063,2275.56
13983.00000,0.999585,4444171,2409.41
14273.00000,0.999609,4444280,2560.00
14501.00000,0.999634,4444388,2730.67
