Value,Percentile,TotalCount,1/(1-Percentile)
16.00000,0.000000,9,1.00
28.00000,0.050000,162401,1.05
29.00000,0.100000,425966,1.11
30.00000,0.150000,641204,1.18
30.00000,0.200000,641204,1.25
31.00000,0.250000,952868,1.33
31.00000,0.300000,952868,1.43
32.00000,0.350000,1066945,1.54
37.00000,0.400000,1174856,1.67
52.00000,0.450000,1313045,1.82
53.00000,0.500000,1514241,2.00
54.00000,0.525000,1867192,2.11
54.00000,0.550000,1867192,2.22
54.00000,0.575000,1867192,2.35
54.00000,0.600000,1867192,2.50
54.00000,0.625000,1867192,2.67
55.00000,0.650000,2018942,2.86
55.00000,0.675000,2018942,3.08
56.00000,0.700000,2047957,3.33
70.00000,0.725000,2114370,3.64
81.00000,0.750000,2188748,4.00
87.00000,0.762500,2230026,4.21
91.00000,0.775000,2261509,4.44
118.00000,0.787500,2295232,4.71
130.00000,0.800000,2334323,5.00
134.00000,0.812500,2380266,5.33
137.00000,0.825000,2413167,5.71
139.00000,0.837500,2442271,6.15
141.00000,0.850000,2478857,6.67
144.00000,0.862500,2532035,7.27
145.00000,0.875000,2552748,8.00
146.00000,0.881250,2572007,8.42
147.00000,0.887500,2588844,8.89
149.00000,0.893750,2617292,9.41
150.00000,0.900000,2630416,10.00
151.00000,0.906250,2642984,10.67
153.00000,0.912500,2666134,11.43
154.00000,0.918750,2677716,12.31
156.00000,0.925000,2702647,13.33
157.00000,0.931250,2716044,14.55
159.00000,0.937500,2740556,16.00
160.00000,0.940625,2750798,16.84
160.00000,0.943750,2750798,17.78
162.00000,0.946875,2766506,18.82
163.00000,0.950000,2772469,20.00
165.00000,0.953125,2781695,21.33
167.00000,0.956250,2788695,22.86
170.00000,0.959375,2796573,24.62
176.00000,0.962500,2805688,26.67
184.00000,0.965625,2814906,29.09
192.00000,0.968750,2823788,32.00
196.00000,0.970313,2828360,33.68
200.00000,0.971875,2833289,35.56
203.00000,0.973437,2837190,37.65
207.00000,0.975000,2842368,40.00
210.00000,0.976562,2846479,42.67
214.00000,0.978125,2851356,45.71
218.00000,0.979688,2855630,49.23
223.00000,0.981250,2859642,53.33
232.00000,0.982812,2864558,58.18
243.00000,0.984375,2868771,64.00
249.00000,0.985156,2871207,67.37
254.00000,0.985938,2873431,71.11
259.00000,0.986719,2875590,75.29
265.00000,0.987500,2877985,80.00
271.00000,0.988281,2880210,85.33
277.00000,0.989062,2882565,91.43
283.00000,0.989844,2884854,98.46
290.00000,0.990625,2887205,106.67
297.00000,0.991406,2889264,116.36
306.00000,0.992188,2891565,128.00
311.00000,0.992578,2892775,134.74
315.00000,0.992969,2893790,142.22
320.00000,0.993359,2895010,150.59
324.00000,0.993750,2896053,160.00
329.00000,0.994141,2897287,170.67
333.00000,0.994531,2898342,182.86
337.00000,0.994922,2899457,196.92
341.00000,0.995313,2900586,213.33
345.00000,0.995703,2901852,232.73
349.00000,0.996094,2903112,256.00
351.00000,0.996289,2903696,269.47
353.00000,0.996484,2904250,284.44
355.00000,0.996680,2904868,301.18
356.00000,0.996875,2905226,320.00
358.00000,0.997070,2905825,341.33
360.00000,0.997266,2906362,365.71
362.00000,0.997461,2906858,393.85
365.00000,0.997656,2907439,426.67
368.00000,0.997852,2907975,465.45
372.00000,0.998047,2908582,512.00
