Value,Percentile,TotalCount,1/(1-Percentile)
18.00000,0.000000,567,1.00
20.00000,0.050000,1138442,1.05
20.00000,0.100000,1138442,1.11
20.00000,0.150000,1138442,1.18
20.00000,0.200000,1138442,1.25
20.00000,0.250000,1138442,1.33
21.00000,0.300000,2649521,1.43
21.00000,0.350000,2649521,1.54
21.00000,0.400000,2649521,1.67
21.00000,0.450000,2649521,1.82
21.00000,0.500000,2649521,2.00
21.00000,0.525000,2649521,2.11
21.00000,0.550000,2649521,2.22
21.00000,0.575000,2649521,2.35
22.00000,0.600000,3309745,2.50
22.00000,0.625000,3309745,2.67
22.00000,0.650000,3309745,2.86
22.00000,0.675000,3309745,3.08
22.00000,0.700000,3309745,3.33
22.00000,0.725000,3309745,3.64
23.00000,0.750000,3757789,4.00
23.00000,0.762500,3757789,4.21
23.00000,0.775000,3757789,4.44
23.00000,0.787500,3757789,4.71
23.00000,0.800000,3757789,5.00
23.00000,0.812500,3757789,5.33
23.00000,0.825000,3757789,5.71
23.00000,0.837500,3757789,6.15
24.00000,0.850000,4044611,6.67
24.00000,0.862500,4044611,7.27
24.00000,0.875000,4044611,8.00
24.00000,0.881250,4044611,8.42
24.00000,0.887500,4044611,8.89
24.00000,0.893750,4044611,9.41
24.00000,0.900000,4044611,10.00
24.00000,0.906250,4044611,10.67
25.00000,0.912500,4194916,11.43
25.00000,0.918750,4194916,12.31
25.00000,0.925000,4194916,13.33
25.00000,0.931250,4194916,14.55
25.00000,0.937500,4194916,16.00
25.00000,0.940625,4194916,16.84
26.00000,0.943750,4298649,17.78
26.00000,0.946875,4298649,18.82
26.00000,0.950000,4298649,20.00
26.00000,0.953125,4298649,21.33
26.00000,0.956250,4298649,22.86
26.00000,0.959375,4298649,24.62
26.00000,0.962500,4298649,26.67
26.00000,0.965625,4298649,29.09
27.00000,0.968750,4338903,32.00
27.00000,0.970313,4338903,33.68
27.00000,0.971875,4338903,35.56
27.00000,0.973437,4338903,37.65
27.00000,0.975000,4338903,40.00
28.00000,0.976562,4350508,42.67
28.00000,0.978125,4350508,45.71
30.00000,0.979688,4357155,49.23
32.00000,0.981250,4363363,53.33
39.00000,0.982812,4369716,58.18
120.00000,0.984375,4376569,64.00
125.00000,0.985156,4380251,67.37
175.00000,0.985938,4383537,71.11
178.00000,0.986719,4389645,75.29
179.00000,0.987500,4394039,80.00
179.00000,0.988281,4394039,85.33
180.00000,0.989062,4399079,91.43
181.00000,0.989844,4404128,98.46
182.00000,0.990625,4408642,106.67
182.00000,0.991406,4408642,116.36
183.00000,0.992188,4412008,128.00
184.00000,0.992578,4414714,134.74
185.00000,0.992969,4416754,142.22
185.00000,0.993359,4416754,150.59
186.00000,0.993750,4418423,160.00
188.00000,0.994141,4420965,170.67
189.00000,0.994531,4421909,182.86
192.00000,0.994922,4423523,196.92
238.00000,0.995313,4425193,213.33
976.00000,0.995703,4426957,232.73
980.00000,0.996094,4428944,256.00
981.00000,0.996289,4429632,269.47
983.00000,0.996484,4431118,284.44
984.00000,0.996680,4431963,301.18
985.00000,0.996875,4432859,320.00
986.00000,0.997070,4433821,341.33
987.00000,0.997266,4434668,365.71
988.00000,0.997461,4435503,393.85
989.00000,0.997656,4436333,426.67
990.00000,0.997852,4437081,465.45
991.00000,0.998047,4437760,512.00
992.00000,0.998145,4438332,538.95
992.00000,0.998242,4438332,568.89
993.00000,0.998340,4438838,602.35
994.00000,0.998437,4439239,640.00
995.00000,0.998535,4439599,682.67
997.00000,0.998633,4440150,731.43
999.00000,0.998730,4440513,787.69
1002.00000,0.998828,4440847,853.33
1039.00000,0.998926,4441265,930.91
1091.00000,0.999023,4441696,1024.00
1157.00000,0.999072,4441913,1077.89
1200.00000,0.999121,4442128,1137.78
1244.00000,0.999170,4442343,1204.71
1287.00000,0.999219,4442567,1280.00
1329.00000,0.999268,4442778,1365.33
1385.00000,0.999316,4442996,1462.86
1484.00000,0.999365,4443213,1575.38
1684.00000,0.999414,4443429,1706.67
2772.00000,0.999463,4443645,1861.82
12700.00000,0.999512,4443863,2048.00
13478.00000,0.999536,4443971,2155.79
13856.00000,0.999561,4444080,2275.56
14153.00000,0.999585,4444188,2409.41
14410.00000,0.999609,4444297,2560.00
14620.00000,0.999634,4444405,2730.67
14819.00000,0.999658,4444514,2925.71
14939.00000,0.999683,4444624,3150.77
15051.00000,0.999707,4444732,3413.33
15181.00000,0.999731,4444839,3723.64
15361.00000,0.999756,4444949,4096.00
15440.00000,0.999768,4445002,4311.58
15543.00000,0.999780,4445058,4551.11
15651.00000,0.999792,4445111,4818.82
15751.00000,0.999805,4445165,5120.00
15817.00000,0.999817,4445220,5461.33
15890.00000,0.999829,4445274,5851.43
15976.00000,0.999841,4445328,6301.54
16057.00000,0.999854,4445383,6826.67
16125.00000,0.999866,4445436,7447.27
16206.00000,0.999878,4445491,8192.00
16257.00000,0.999884,4445518,8623.16
16307.00000,0.999890,4445546,9102.22
16341.00000,0.999896,4445572,9637.65
16392.00000,0.999902,4445599,10240.00
16446.00000,0.999908,4445626,10922.67
16514.00000,0.999915,4445654,11702.86
16595.00000,0.999921,4445681,12603.08
16659.00000,0.999927,4445708,13653.33
16762.00000,0.999933,4445735,14894.55
16828.00000,0.999939,4445762,16384.00
16886.00000,0.999942,4445777,17246.32
16911.00000,0.999945,4445789,18204.44
16935.00000,0.999948,4445803,19275.29
17006.00000,0.999951,4445817,20480.00
17048.00000,0.999954,4445830,21845.33
17100.00000,0.999957,4445844,23405.71
17164.00000,0.999960,4445857,25206.15
17254.00000,0.999963,4445871,27306.67
17340.00000,0.999966,4445884,29789.09
17436.00000,0.999969,4445898,32768.00
17493.00000,0.999971,4445905,34492.63
17517.00000,0.999973,4445911,36408.89
17561.00000,0.999974,4445918,38550.59
17644.00000,0.999976,4445925,40960.00
17692.00000,0.999977,4445933,43690.67
17775.00000,0.999979,4445939,46811.43
17813.00000,0.999980,4445945,50412.31
18014.00000,0.999982,4445952,54613.33
18121.00000,0.999983,4445959,59578.18
18247.00000,0.999985,4445966,65536.00
18323.00000,0.999986,4445969,68985.26
18408.00000,0.999986,4445972,72817.78
18528.00000,0.999987,4445976,77101.18
18605.00000,0.999988,4445979,81920.00
18823.00000,0.999989,4445983,87381.33
18987.00000,0.999989,4445986,93622.86
19267.00000,0.999990,4445989,100824.62
19520.00000,0.999991,4445993,109226.67
19787.00000,0.999992,4445996,119156.36
20534.00000,0.999992,4446000,131072.00
20564.00000,0.999993,4446001,137970.53
20722.00000,0.999993,4446003,145635.56
21116.00000,0.999994,4446005,154202.35
21733.00000,0.999994,4446006,163840.00
22262.00000,0.999994,4446008,174762.67
23831.00000,0.999995,4446010,187245.71
23932.00000,0.999995,4446011,201649.23
25949.00000,0.999995,4446013,218453.33
27635.00000,0.999996,4446015,238312.73
28614.00000,0.999996,4446017,262144.00
28614.00000,0.999996,4446017,275941.05
29073.00000,0.999997,4446018,291271.11
29272.00000,0.999997,4446019,308404.71
30167.00000,0.999997,4446020,327680.00
34814.00000,0.999997,4446021,349525.33
39357.00000,0.999997,4446022,374491.43
39357.00000,0.999998,4446022,403298.46
40139.00000,0.999998,4446023,436906.67
42640.00000,0.999998,4446024,476625.45
43009.00000,0.999998,4446025,524288.00
43009.00000,0.999998,4446025,551882.11
44527.00000,0.999998,4446026,582542.22
44527.00000,0.999998,4446026,616809.41
52672.00000,0.999998,4446027,655360.00
52672.00000,0.999999,4446027,699050.67
53376.00000,0.999999,4446028,748982.86
53376.00000,0.999999,4446028,806596.92
53376.00000,0.999999,4446028,873813.33
54337.00000,0.999999,4446029,953250.91
54337.00000,0.999999,4446029,1048576.00
54337.00000,0.999999,4446029,1103764.21
57539.00000,0.999999,4446030,1165084.44
57539.00000,0.999999,4446030,1233618.82
57539.00000,0.999999,4446030,1310720.00
57539.00000,0.999999,4446030,1398101.33
81833.00000,0.999999,4446031,1497965.71
81833.00000,0.999999,4446031,1613193.85
81833.00000,0.999999,4446031,1747626.67
81833.00000,0.999999,4446031,1906501.82
81833.00000,1.000000,4446031,2097152.00
81833.00000,1.000000,4446031,2207528.42
82362.00000,1.000000,4446032,2330168.89
82362.00000,1.000000,4446032,inf
