Value,Percentile,TotalCount,1/(1-Percentile)
16.00000,0.000000,129,1.00
18.00000,0.050000,1185147,1.05
18.00000,0.100000,1185147,1.11
18.00000,0.150000,1185147,1.18
18.00000,0.200000,1185147,1.25
18.00000,0.250000,1185147,1.33
19.00000,0.300000,2131786,1.43
19.00000,0.350000,2131786,1.54
19.00000,0.400000,2131786,1.67
19.00000,0.450000,2131786,1.82
20.00000,0.500000,2992865,2.00
20.00000,0.525000,2992865,2.11
20.00000,0.550000,2992865,2.22
20.00000,0.575000,2992865,2.35
20.00000,0.600000,2992865,2.50
20.00000,0.625000,2992865,2.67
20.00000,0.650000,2992865,2.86
21.00000,0.675000,3606040,3.08
21.00000,0.700000,3606040,3.33
21.00000,0.725000,3606040,3.64
21.00000,0.750000,3606040,4.00
21.00000,0.762500,3606040,4.21
21.00000,0.775000,3606040,4.44
21.00000,0.787500,3606040,4.71
21.00000,0.800000,3606040,5.00
22.00000,0.812500,3933823,5.33
22.00000,0.825000,3933823,5.71
22.00000,0.837500,3933823,6.15
22.00000,0.850000,3933823,6.67
22.00000,0.862500,3933823,7.27
22.00000,0.875000,3933823,8.00
22.00000,0.881250,3933823,8.42
23.00000,0.887500,4122780,8.89
23.00000,0.893750,4122780,9.41
23.00000,0.900000,4122780,10.00
23.00000,0.906250,4122780,10.67
23.00000,0.912500,4122780,11.43
23.00000,0.918750,4122780,12.31
23.00000,0.925000,4122780,13.33
24.00000,0.931250,4198215,14.55
24.00000,0.937500,4198215,16.00
24.00000,0.940625,4198215,16.84
24.00000,0.943750,4198215,17.78
25.00000,0.946875,4224774,18.82
25.00000,0.950000,4224774,20.00
26.00000,0.953125,4240370,21.33
27.00000,0.956250,4258933,22.86
28.00000,0.959375,4286054,24.62
28.00000,0.962500,4286054,26.67
29.00000,0.965625,4306619,29.09
30.00000,0.968750,4320095,32.00
30.00000,0.970313,4320095,33.68
31.00000,0.971875,4329103,35.56
31.00000,0.973437,4329103,37.65
33.00000,0.975000,4336451,40.00
41.00000,0.976562,4341526,42.67
92.00000,0.978125,4349444,45.71
95.00000,0.979688,4356172,49.23
99.00000,0.981250,4363903,53.33
102.00000,0.982812,4371390,58.18
105.00000,0.984375,4377954,64.00
106.00000,0.985156,4379888,67.37
108.00000,0.985938,4383509,71.11
110.00000,0.986719,4386586,75.29
113.00000,0.987500,4390414,80.00
117.00000,0.988281,4394114,85.33
122.00000,0.989062,4397304,91.43
132.00000,0.989844,4400463,98.46
429.00000,0.990625,4403931,106.67
747.00000,0.991406,4407401,116.36
1898.00000,0.992188,4410925,128.00
1925.00000,0.992578,4412619,134.74
1944.00000,0.992969,4414420,142.22
1959.00000,0.993359,4416150,150.59
1973.00000,0.993750,4417940,160.00
1986.00000,0.994141,4419620,170.67
1998.00000,0.994531,4421298,182.86
2011.00000,0.994922,4423085,196.92
2024.00000,0.995313,4424821,213.33
2037.00000,0.995703,4426518,232.73
2051.00000,0.996094,4428255,256.00
2059.00000,0.996289,4429216,269.47
2067.00000,0.996484,4430069,284.44
2075.00000,0.996680,4430928,301.18
2083.00000,0.996875,4431728,320.00
2093.00000,0.997070,4432592,341.33
2104.00000,0.997266,4433502,365.71
2116.00000,0.997461,4434337,393.85
2130.00000,0.997656,4435195,426.67
2148.00000,0.997852,4436076,465.45
2171.00000,0.998047,4436945,512.00
2186.00000,0.998145,4437365,538.95
2206.00000,0.998242,4437798,568.89
2236.00000,0.998340,4438235,602.35
2297.00000,0.998437,4438655,640.00
2585.00000,0.998535,4439088,682.67
2656.00000,0.998633,4439527,731.43
2686.00000,0.998730,4439959,787.69
2710.00000,0.998828,4440409,853.33
2731.00000,0.998926,4440827,930.91
2754.00000,0.999023,4441266,1024.00
2767.00000,0.999072,4441493,1077.89
2778.00000,0.999121,4441704,1137.78
2789.00000,0.999170,4441911,1204.71
2804.00000,0.999219,4442129,1280.00
2820.00000,0.999268,4442359,1365.33
2833.00000,0.999316,4442569,1462.86
2850.00000,0.999365,4442780,1575.38
2869.00000,0.999414,4442996,1706.67
2890.00000,0.999463,4443213,1861.82
2922.00000,0.999512,4443431,2048.00
2940.00000,0.999536,4443537,2155.79
2974.00000,0.999561,4443646,2275.56
3009.00000,0.999585,4443756,2409.41
3096.00000,0.999609,4443863,2560.00
3579.00000,0.999634,4443971,2730.67
3856.00000,0.999658,4444080,2925.71
4056.00000,0.999683,4444191,3150.77
4133.00000,0.999707,4444298,3413.33
4213.00000,0.999731,4444406,3723.64
4298.00000,0.999756,4444514,4096.00
4354.00000,0.999768,4444568,4311.58
4406.00000,0.999780,4444623,4551.11
4461.00000,0.999792,4444677,4818.82
4569.00000,0.999805,4444731,5120.00
4728.00000,0.999817,4444787,5461.33
4834.00000,0.999829,4444840,5851.43
4887.00000,0.999841,4444895,6301.54
4936.00000,0.999854,4444949,6826.67
4989.00000,0.999866,4445005,7447.27
5032.00000,0.999878,4445058,8192.00
5052.00000,0.999884,4445086,8623.16
5072.00000,0.999890,4445111,9102.22
5090.00000,0.999896,4445139,9637.65
5109.00000,0.999902,4445166,10240.00
5134.00000,0.999908,4445194,10922.67
5158.00000,0.999915,4445221,11702.86
5184.00000,0.999921,4445249,12603.08
5218.00000,0.999927,4445274,13653.33
5246.00000,0.999933,4445301,14894.55
5283.00000,0.999939,4445328,16384.00
5303.00000,0.999942,4445342,17246.32
5322.00000,0.999945,4445355,18204.44
5368.00000,0.999948,4445369,19275.29
5411.00000,0.999951,4445382,20480.00
5499.00000,0.999954,4445396,21845.33
