time	rss	kernel
0	606208	159744
9136184	2408448	425984
17048459	2486272	548864
24942138	2486272	548864
32804763	2486272	548864
40689607	2486272	548864
48571734	2486272	548864
56423841	2486272	548864
64316384	2486272	548864
72189889	2486272	548864
80064582	2486272	548864
87886981	2486272	548864
95771473	2486272	548864
103627488	12185600	573440
111525275	16379904	593920
119393308	20566016	602112
127269119	24612864	610304
135137911	28798976	618496
143012258	32993280	630784
150887120	37154816	638976
158753411	41201664	647168
166627387	45395968	655360
174503507	49328128	663552
182373288	53129216	667648
190233937	57192448	675840
198130676	61190144	688128
206011791	65253376	696320
213880130	69054464	704512
221748545	73084928	712704
229616003	77017088	716800
237484201	80687104	724992
245385394	84488192	733184
253251357	88420352	741376
261102811	91959296	749568
268989357	95760384	753664
276867040	99692544	761856
284743977	103493632	770048
292592699	107163648	778240
300484753	110964736	782336
308355329	114765824	790528
316229711	118566912	798720
324103932	122368000	806912
331976977	126038016	811008
339869843	129183744	819200
347752588	132460544	823296
355602935	136065024	831488
363477219	139735040	839680
371350828	143405056	847872
379223907	147075072	851968
387095733	150745088	860160
394971112	154415104	868352
402844524	158085120	872448
410714281	161755136	880640
418587515	165294080	888832
426461512	168964096	897024
434335097	172503040	905216
442174668	176173056	913408
450088821	179712000	921600
457965783	183382016	925696
465836449	186920960	933888
473694633	190328832	937984
481586741	193867776	946176
489460154	197537792	954368
497334182	201076736	958464
505184520	204353536	966656
513078649	207892480	974848
520953981	211431424	978944
528808272	214839296	987136
536701410	218378240	995328
544576407	221917184	999424
552450554	225325056	1007616
560307333	228601856	1011712
568177144	232009728	1019904
576071165	235417600	1028096
583945593	238825472	1032192
591820626	242233344	1040384
599672610	245510144	1044480
607546781	248918016	1052672
615422328	252194816	1056768
623316153	255602688	1064960
631190799	259010560	1073152
639064997	262287360	1077248
646938946	262631424	1081344
654814668	262696960	1081344
662688563	262696960	1081344
670559810	262696960	1081344
678430437	262696960	1081344
686291040	262828032	1081344
694174667	262828032	1081344
702055748	262828032	1081344
