time	rss	kernel
0	815104	147456
105446386	28508160	610304
204827768	136249344	819200
305950407	164036608	884736
405032706	164036608	884736
505870093	161935360	884736
605368123	229167104	1015808
705750082	229167104	1015808
805669347	228114432	1015808
906158552	259825664	1069056
1005437915	259825664	1069056
1106483279	275292160	1097728
1205931151	275292160	1097728
1305998891	283107328	1114112
1404947919	283107328	1114112
1506659512	283107328	1114112
1605184475	287137792	1122304
1707224069	287137792	1122304
1805430316	289189888	1126400
1906237208	289189888	1126400
2005943408	290140160	1126400
2105967128	290140160	1126400
2205786114	290467840	1126400
2306106887	290467840	1126400
2406119982	290467840	1126400
2505962392	290467840	1126400
2605912921	290467840	1126400
2705520224	290467840	1126400
2804745124	290467840	1126400
