time	rss
0	528384
101115023	11927552
201130952	11812864
301127467	11735040
401304359	11735040
501123089	11735040
601118938	11735040
701127853	11735040
801123583	9555968
901124778	8208384
1001134097	13451264
1101128457	13451264
1201129104	13451264
1301123954	13451264
1402123801	13451264
1501133984	13393920
1601131395	13393920
1701128976	13393920
1801126327	10395648
1901130029	14143488
2001129218	15060992
2101124653	15060992
2201121129	15060992
2301112581	15060992
2401125249	15060992
2501118234	15060992
2601120339	15060992
2701112831	15060992
2801121800	11251712
