time	rss
0	561152
101095672	20873216
201111456	20873216
301102316	20873216
401103750	20873216
501105276	20873216
601331332	20873216
701105282	19062784
801105066	19062784
901092420	19062784
1001105747	22298624
1101107052	22298624
1201099960	22298624
1301120536	22298624
1401136537	22298624
1501097282	22298624
1601102833	22298624
1701099395	19869696
1801101947	19869696
1901100944	19869696
2001100739	19869696
2101101176	23748608
2201099876	23748608
2301100301	23748608
2401116207	23748608
2501103945	23748608
2601098429	23748608
2701111097	24666112
2801110713	24666112
2901108877	24666112
3001106963	24666112
3101105004	18890752
3201103782	20725760
3301099830	20725760
3401103819	20725760
