time	rss
0	520192
101175215	15695872
201184423	22597632
301186178	32108544
401181399	42946560
501182062	43581440
601342821	43720704
701388742	44085248
801427501	45355008
901819888	45096960
1001182829	50839552
1101361309	50843648
1201184070	51245056
1301983324	50384896
1401371722	51208192
1501999140	51281920
1601395932	53252096
1701183722	52760576
1801188625	52858880
1901185683	53022720
2001182155	55103488
2101187825	52936704
2201173690	52695040
2301179018	53112832
2401184647	53014528
2501184862	53555200
2601185080	53575680
2701185294	53579776
2801187414	54272000
2901184791	55726080
3001178227	55861248
3101175409	68444160
3201174903	68198400
3301183207	71671808
3401183711	76816384
3501180919	77656064
3601185066	76812288
3701174599	76386304
3801180333	76804096
3901177781	76976128
4001193355	77217792
4101188450	78929920
4201967871	80732160
4301381437	80097280
4401182792	80113664
4501181689	83091456
4601183401	81645568
4701185177	80572416
4801265068	81125376
4901184707	80740352
5001191727	81686528
5101164323	81035264
5201181405	81342464
5301184539	85532672
5401182456	98988032
5501188219	95293440
5601182208	91762688
5701184154	91795456
5801183985	91860992
5901161936	91586560
6001181548	91828224
6101188130	91045888
6201183747	96088064
6301176570	97943552
6401180879	92102656
6501185461	92057600
6601177663	92487680
6701185783	93261824
6801181072	93466624
6901186214	92790784
7001192737	92585984
7101184570	92123136
7201180205	91897856
7301183164	94908416
7401159843	96530432
7501186129	96768000
7601190109	98320384
7701185729	101584896
7801182358	101617664
7901182271	101437440
8001181414	100651008
8101179559	100728832
8201178884	100896768
8301182230	110616576
8401181835	128348160
8501186215	132575232
8601182405	133529600
8701185972	137035776
8801187799	137117696
8901163967	137781248
9001186629	138346496
9101186426	141266944
9201182586	139460608
9301173896	139313152
9401710857	139104256
9501179668	143917056
9601184919	139710464
9701184868	140877824
9801189052	139972608
9901187531	142630912
10001190789	142475264
10101184037	142462976
10201182230	145375232
10301187664	145006592
10401165452	144629760
10501187940	147136512
10601178944	144568320
10701186417	148934656
10801189651	154374144
10901935468	153579520
11001186376	156086272
11101186262	154419200
11201185455	154419200
11301185777	154050560
11401163952	154505216
11501179353	156635136
11601186650	155078656
11701176114	154771456
11801173290	160055296
11901187657	167006208
12001184283	169402368
12101180086	169590784
12201186526	178995200
12301180622	175783936
12401182816	175505408
12501189626	172425216
12601180453	172462080
12701187333	175722496
12801185446	176029696
12901186115	178552832
13001192100	171827200
13101614218	171687936
13201180214	173944832
13301182852	172793856
13401180546	173006848
13501191146	173035520
13601188420	172474368
13701187532	172474368
13801183179	176037888
13901186146	176771072
14001187805	173961216
14101183885	173596672
14201177718	172548096
14301188925	172802048
14401165278	172879872
14501180815	172285952
14601173083	174997504
14701185308	173137920
14801183617	174518272
14901186684	173740032
15001185509	173850624
15101186807	174534656
15201183705	173019136
15301184200	172593152
15401177391	173158400
15501183955	173834240
15601178015	174223360
15701174268	175890432
15801180358	177426432
15901175199	175353856
16001183545	177188864
16101183531	176136192
16201180450	175468544
16301177698	176250880
16401184196	175726592
16501195602	177491968
16601181949	175190016
16701182889	175968256
16801186124	178601984
16901359143	175960064
17001183984	176107520
17101354294	175882240
17201340860	177963008
17301185777	176291840
17401183218	175882240
17501187005	176861184
17601187733	178266112
17701188440	175824896
17801188649	176254976
17901188151	176242688
18001183828	179884032
18101186364	177364992
18201181520	176873472
18301185853	179380224
18401177771	178032640
18501192299	176930816
18601348833	176967680
18701181573	177987584
18801186352	177360896
18901178461	177315840
19001184169	177733632
19101189949	180690944
19201182746	178360320
19301182372	178913280
19401163034	178434048
19501185732	178929664
19601186898	179699712
19701183685	178946048
19801182473	180449280
19901162785	179077120
20001185257	178716672
20101185190	178909184
20201168863	182226944
20301183365	179793920
20401187500	179650560
20501195183	180219904
20601184739	181190656
20701163228	182845440
20801186799	184934400
20901162379	182759424
21001182603	182034432
21101176445	182472704
21201181801	183275520
21301185938	185892864
21401167303	183308288
21501184158	183042048
21601186668	183414784
21701183423	182968320
21801169537	183246848
21901179790	184205312
22001180576	185360384
22101185989	183664640
22201183945	182693888
22301179086	182693888
22401182452	183242752
22501184566	183320576
22601187119	183365632
22701186521	183472128
22801193668	183906304
22901182450	183586816
23001183202	183586816
23101186884	183619584
23201186793	184496128
23301184470	184340480
23401159650	184500224
23501181026	184684544
23601190103	184528896
23701187260	184614912
23802154892	184578048
23901174363	184770560
24001173985	184770560
24101172130	184840192
24201181423	184872960
24301173693	185397248
24401249706	185397248
24501187327	186281984
24601186269	186806272
24701190032	186966016
24801185978	187215872
24901172300	187052032
25001177105	188084224
25101173230	188063744
25202330087	188227584
25301184637	188403712
25401186857	188264448
25501186700	188362752
25601181440	188547072
25701182033	188547072
25801187043	189075456
25901183884	188985344
26001186467	189050880
26101185490	189128704
26201174922	189132800
26301189334	189235200
26401186512	189792256
26501193123	191725568
26601180018	191725568
26701186254	191668224
26801186775	193277952
26901183446	193282048
27001186748	192598016
27101182264	192614400
27201186048	192614400
27301185519	192294912
27401187615	192413696
27501187756	192479232
27601182627	193171456
27701191408	193019904
27801190214	192999424
27901162454	192696320
28001185233	192806912
28101185181	192925696
28201189637	192847872
28301185525	192860160
28401164518	193441792
28501188043	193413120
28601187759	193028096
28701186401	193703936
28801187426	193343488
28901186992	193597440
29001186871	193269760
29101179818	193368064
29201180661	194330624
29301184799	193904640
29401162386	193875968
29501182925	193875968
29601187202	193789952
29701185112	193863680
29801187706	205901824
29901168009	206385152
30001181655	208687104
30101187863	208871424
30201187804	228388864
30301184042	257904640
30401185696	271278080
30501186546	278253568
30601182523	284196864
30702069809	284196864
30801183644	286986240
30901167175	288071680
31001188867	288587776
31101182592	288587776
31201172628	289447936
31301184144	292610048
31401182854	290500608
31501180320	290324480
31601183943	289988608
31701185647	294260736
31801175495	290451456
31901173852	291172352
32001182082	291201024
32101185189	290091008
32201183081	292151296
32301185921	294199296
32401176841	296214528
32501168707	296116224
32601180570	296812544
32701183684	296759296
32801173220	296759296
32901171825	297537536
33001185838	295919616
33101362203	297275392
33201179025	298917888
33301187093	299606016
33401182757	301174784
33501177866	301174784
33601174536	301285376
33701183770	302350336
33801186383	301764608
33901183750	303861760
34001175398	307851264
34102133797	307851264
34201175178	307363840
34301184221	310005760
34401187824	310374400
34501189616	311500800
34601186123	311840768
34701185083	312926208
34801188095	312889344
34901164265	314413056
35001183672	313425920
35101184465	313425920
35201187040	312930304
35301190631	313466880
35401168196	315686912
35501180200	315015168
35601180638	315707392
35701182287	316043264
35801186123	315850752
35901172521	315850752
36001174611	316051456
36101173605	316977152
36201184040	317112320
36301186244	316747776
36401187300	318066688
36501182994	318066688
36601173460	318066688
36701177181	318836736
36801177725	320225280
36901185922	321544192
37001170171	321736704
37101163587	321736704
37201175333	324907008
37301169337	325861376
37401186062	327073792
37501181353	331685888
37601174661	332210176
37701179733	331976704
37801185214	326795264
37901165539	326844416
38001187920	327172096
38101186669	336117760
38201187014	326979584
38301186395	325931008
38401428413	326782976
38501180868	325722112
38601182324	342720512
38701188375	348880896
38801182257	352395264
38901184358	327827456
39001185461	327553024
39101188599	329265152
39201187405	329637888
39301188591	329768960
39401187123	330096640
39501187382	330506240
39601189451	330186752
39701188403	328982528
39801183722	328445952
39901177629	328736768
40001178544	328863744
40101179580	335249408
40201182001	336683008
40301180839	336470016
40401162494	336953344
40501181703	335728640
40601179163	335790080
40701189168	335790080
40801183223	338333696
40901177857	338333696
41001193782	335998976
41101428300	338968576
41201183337	341073920
41301185533	340467712
41401390089	340451328
41501182400	340041728
41601184070	340262912
41701402504	340545536
41801181417	340176896
41901162198	339054592
42001181992	339251200
42101182878	343302144
42201182246	339374080
42301180467	339374080
42401184573	339951616
42501186231	337547264
