time	rss
0	520192
101113233	14995456
201107375	20484096
301117377	22253568
401112493	23539712
501116673	25014272
601110580	26329088
701334932	27795456
801112077	28221440
901347586	28958720
1001080158	29749248
1101333961	30412800
1201870714	31232000
1301120992	31883264
1401904141	31956992
1501078349	32780288
1601278122	33017856
1701114122	35618816
1801113935	41332736
1901120387	42270720
2001084583	47833088
2101127838	50143232
2201110319	50298880
2301104428	50765824
2401109838	51630080
2501112196	51597312
2601087314	51822592
2701110766	51912704
2801117636	52412416
2901111692	52752384
3001107096	52916224
3101114563	53481472
3201113132	53141504
3301108163	53350400
3401124151	53678080
3501108102	54484992
3601104354	56553472
3701112373	58707968
3801103163	65843200
3901112622	70762496
4001078974	72036352
4101111051	80826368
4201123896	82128896
4301111735	82808832
4401132760	83275776
4501312343	83595264
4601121897	84426752
4701111120	85422080
4801120506	85467136
4901111639	85946368
5001257778	86450176
5101081999	88399872
5201111707	88772608
5301111121	88969216
5401316145	89010176
5501077047	89681920
5601107116	89649152
5701402218	91406336
5801121049	91770880
5901109030	91922432
6001081232	93773824
6101342752	97845248
6201113367	97169408
6301107010	97767424
6401125906	101814272
6501109148	98123776
6601119597	98926592
6701105591	98820096
6801124161	98529280
6901101144	99643392
7001079446	99254272
7101116111	102416384
7201118879	101203968
7301106062	101933056
7401116530	101679104
7501112933	102318080
7601103824	101289984
7701114151	100954112
7801108309	102367232
7901114962	101605376
8001112011	101830656
8101088393	101732352
8201114431	102117376
8301126180	102281216
8401113510	102359040
8501086872	102281216
8601168142	102465536
8701124181	102572032
8801110681	102572032
8901131749	102567936
9001081884	103735296
9101110940	103768064
9201113325	103944192
9301113842	104022016
9401111525	104497152
9501112502	105807872
9601105240	105963520
9701125010	108355584
9801108680	112308224
9901111105	114044928
10001109072	120393728
10101113836	120791040
10201121897	122970112
10301110006	124489728
10401112296	127754240
10501121835	127836160
10601105452	128622592
10701117841	129073152
10801113504	137506816
10901120929	137703424
11001081570	138039296
11101109989	138194944
11201078166	140992512
11301110547	141201408
11401123129	141582336
11501109767	141885440
11601123713	144982016
11701123621	145670144
11801111635	145657856
11901110860	146096128
12001079483	146460672
12101115450	148705280
12201111224	148701184
12301112480	149114880
12401110031	149688320
12501114661	150167552
12601108246	151027712
12701104268	151068672
12801104883	151293952
12901121621	151949312
13001090363	153415680
13101138711	154050560
13201115298	154161152
13301083151	154284032
