time	rss
0	512000
101094422	24121344
201082361	39063552
301105250	58855424
401105813	62656512
501104693	99487744
601080952	102498304
701092672	103022592
801093126	103677952
901100259	104333312
1001086112	104988672
1101100573	105906176
1201100087	106692608
1301109571	107216896
1401101464	108003328
1501101772	108658688
1601095740	109314048
1701092839	111026176
1801097217	112001024
1901104841	112197632
2001106254	114081792
2101099377	112996352
2201283543	113455104
2301113213	113848320
2401100564	114720768
2501483459	114950144
2601104942	116445184
2701077729	117743616
2801102760	116076544
2901103800	117039104
3001103989	116559872
3101102449	116617216
3201101800	117428224
3301113456	117428224
3401105060	117186560
3501102153	117592064
3601105981	117915648
3701095220	117932032
3801104146	118120448
3901105395	118747136
4001106587	119271424
4101102419	119443456
4201100928	118022144
4301105501	118444032
4401105326	118685696
4501102966	117952512
4601106207	118071296
4701078345	118808576
4801104779	118751232
4901103450	118120448
5001104672	118431744
5101102938	118644736
5201103961	119361536
5301100431	120389632
5401103490	118722560
5501099766	119087104
5601101203	119107584
5701092780	119418880
5801098475	119689216
5901102227	120172544
6001094171	119074816
6101108583	118820864
6201105382	118972416
6301100111	119259136
6401105683	120373248
6501106080	118444032
6601104242	118882304
6701093207	119037952
6801104669	119132160
6901115418	119345152
7001269847	119689216
7101269621	120508416
7201107160	118575104
7301107478	118636544
7401107560	118964224
7501103359	119193600
7601100914	119775232
7701087265	118841344
7801103511	119123968
7901104807	119644160
8001104005	120213504
8101100833	120299520
8201100457	120360960
8301108601	120905728
8401103798	121995264
8501109127	119074816
8601101822	119308288
8701102818	119693312
8801080573	120619008
