time	rss	kernel
0	655360	188416
100809969	36298752	352256
200816618	36298752	352256
300821618	36298752	352256
400828319	36298752	352256
500830112	36298752	352256
600829786	36298752	352256
700830871	36298752	352256
800823750	34488320	352256
900820678	34488320	352256
1000816846	34488320	352256
1100825765	39436288	360448
1200834597	39436288	360448
1300826584	39436288	360448
1400834939	39436288	360448
1500838251	39436288	360448
1600832774	39436288	360448
1700832624	39436288	360448
1800825655	39436288	360448
1900824375	35311616	360448
2000823081	35311616	360448
2100821059	35311616	360448
2200816633	41603072	372736
2300829413	41603072	372736
2400832294	41603072	372736
2500830476	41603072	372736
2600828645	41603072	372736
2700831524	41603072	372736
2800827742	41603072	372736
2900819460	35299328	376832
3000827259	36073472	364544
3100816220	36073472	364544
3200811554	36073472	364544
