time	rss	kernel
0	524288	114688
100871407	20492288	274432
200899759	20492288	274432
300903364	20492288	274432
400908138	20492288	274432
500894614	20492288	274432
600903545	20492288	274432
700903072	18681856	282624
800902173	18681856	282624
900898980	18681856	282624
1000911135	23662592	294912
1101762251	23662592	294912
1200909578	23662592	294912
1300914762	23662592	294912
1400901042	23662592	294912
1500900288	23662592	294912
1600907118	23662592	294912
1700899957	19533824	282624
1800905834	19533824	282624
1900898046	19533824	282624
2000906231	20320256	294912
2100902020	25825280	299008
2200906543	25825280	299008
2300901057	25825280	299008
2400907616	25825280	299008
2500902385	25825280	299008
2600906462	25825280	299008
2700911946	26742784	299008
2800911841	26742784	299008
2900899166	26742784	299008
3000905941	26742784	299008
3100892879	20180992	282624
3200901386	20312064	282624
3300900678	20312064	282624
3400903350	20312064	282624
