time	rss	kernel
0	561152	131072
100638351	12070912	290816
200645598	12066816	290816
300650959	12984320	290816
400652930	13246464	290816
500664246	16523264	299008
600643739	17219584	299008
700650352	18792448	303104
800652648	18849792	323584
900661021	18980864	323584
1000662960	18980864	323584
1100652981	18980864	323584
1200657133	19111936	323584
1300652864	19111936	323584
1400662398	19374080	323584
1500663899	20684800	327680
1600625463	23306240	331776
1700656069	24223744	331776
1800658753	24223744	331776
1900661275	26058752	335872
2000653938	28680192	339968
2100660929	30384128	344064
2200663556	30384128	344064
2300663323	32014336	348160
2400661948	32014336	348160
2500661902	32669696	348160
2600627358	33980416	352256
2700658215	36208640	356352
2800664632	36339712	356352
2900648976	36339712	356352
3000657269	36470784	356352
3100656532	36470784	356352
3200648935	38174720	360448
3300646608	40927232	364544
3400662493	41320448	364544
3500649115	41975808	364544
3600658278	43548672	368640
3700662795	43548672	368640
3800660766	43810816	368640
3900659826	44204032	368640
4000648967	44204032	368640
4100643602	44204032	368640
4200654617	44335104	368640
4300646975	44335104	368640
4400660042	44728320	372736
4500661452	46563328	372736
4600648347	47611904	376832
4700662032	51863552	393216
4800651149	53628928	393216
4900664248	57585664	401408
5000647589	59420672	401408
5100664571	63221760	409600
5200644080	64532480	413696
5300650819	64794624	413696
5400649849	65056768	413696
5500660165	67174400	417792
5600655139	67174400	417792
5700660741	64995328	413696
5800663918	71110656	425984
5900658886	65863680	413696
6000657482	65863680	413696
6100658935	65863680	413696
6200662604	69664768	421888
6300649014	75825152	434176
6400644552	76218368	434176
6500658173	76218368	434176
6600659392	77922304	438272
6700660224	78315520	438272
6800659582	78315520	438272
6900659524	78315520	438272
7000633825	78315520	438272
7100657184	78315520	438272
7200661400	78446592	438272
7300650045	78446592	438272
7400662708	78446592	438272
7500651777	78577664	438272
7600660128	78577664	438272
7700661263	78577664	438272
7800660318	78577664	438272
7900656646	78708736	438272
8000660818	78708736	438272
8100658497	78708736	438272
8200660839	78708736	438272
8300648797	78708736	438272
8400660637	78839808	438272
8500661958	78839808	438272
8600663367	78839808	438272
8700647214	78970880	438272
8800658796	78970880	438272
8900656387	79233024	438272
9000648342	80281600	442368
9100652460	80412672	442368
9200657613	80412672	442368
9300657190	81723392	442368
9400651336	81854464	442368
9500657305	81854464	442368
9600659220	85000192	450560
9700656612	85786624	450560
9800659997	85786624	450560
9900657604	85786624	450560
10000660720	87490560	454656
10100645094	88408064	454656
10200659473	88408064	454656
10300669041	88408064	454656
10400652090	90243072	458752
10500647324	90243072	458752
10600660252	90505216	458752
10700658628	90505216	458752
10800660873	92864512	462848
10900660099	93782016	466944
11000647737	93782016	466944
11100658689	94699520	466944
11200660039	94699520	466944
11300662191	96403456	471040
11400660734	96665600	471040
11500661377	96796672	471040
11600660889	97452032	475136
11700663134	99942400	479232
11800645993	100073472	479232
11900659605	100204544	479232
