time	rss	kernel
0	643072	192512
100716534	13557760	327680
200732833	21495808	344064
300731592	33136640	368640
400729253	33619968	368640
500733714	38567936	376832
600723778	33165312	364544
700736986	35393536	372736
800736422	36442112	372736
900739063	38670336	376832
1000727248	42078208	385024
1100734934	42340352	401408
1200732998	42340352	401408
1300731334	42340352	401408
1400728752	42340352	401408
1500727983	42340352	401408
1600734496	42340352	401408
1700734057	42471424	401408
1800731513	42471424	401408
1900734059	42602496	401408
2000730559	42602496	401408
2100734023	42733568	401408
2200736610	42733568	401408
2300736266	42733568	401408
2400733249	42733568	401408
2500736806	42864640	401408
2600724872	44830720	405504
2700731214	45092864	405504
2800723033	45092864	405504
2900735186	49156096	413696
3000736576	52695040	417792
3100720889	52695040	417792
3200735727	52826112	417792
3300734482	52826112	417792
3400725819	52826112	417792
3500734687	52826112	417792
3600740344	52826112	417792
3700712626	53743616	421888
3800731952	53743616	421888
3900733869	53743616	421888
4000725681	53743616	421888
4100731564	53743616	421888
4200724516	53743616	421888
4300734814	54005760	421888
4400723542	59904000	434176
4500723198	73666560	458752
4600716981	74502144	462848
4700731818	74502144	462848
4800721705	72409088	479232
4900719605	72388608	458752
5000730191	72388608	458752
5100725196	77492224	466944
5200724553	79982592	471040
5300713622	79982592	471040
5400723245	79982592	471040
5500732915	79982592	471040
5600721664	79982592	471040
5700722318	79982592	471040
5800730632	79982592	471040
5900722195	80637952	475136
6000729919	80637952	475136
6100722749	88371200	491520
6200717818	89419776	491520
6300724897	89419776	491520
6400729471	89419776	491520
6500720393	89419776	491520
6600706805	89550848	491520
6700732958	89812992	491520
6800715384	89812992	491520
6900731629	89944064	491520
7000731066	89944064	491520
7100732632	89944064	491520
7200734642	90075136	491520
7300722443	90075136	491520
7400735929	90075136	491520
7500722024	82513920	475136
7600724533	84922368	479232
7700722313	85184512	479232
7800728089	85184512	479232
7900725558	85184512	479232
8000721294	85184512	479232
8100720882	85184512	479232
8200715120	86626304	483328
8300731757	86626304	483328
8400709233	86626304	483328
8500733287	86888448	483328
8600722558	86888448	483328
8700740778	86888448	483328
8800719435	86888448	483328
8900732421	86888448	483328
9000734023	86888448	483328
9100731921	86888448	483328
9200732642	86888448	483328
9300731033	86888448	483328
9400729734	87019520	483328
9500731230	87019520	483328
9600731727	87150592	483328
9700736095	87150592	483328
9800711625	94752768	499712
9900723404	96456704	503808
10000733483	96456704	503808
10100710296	90066944	491520
10200732462	89706496	487424
10300715488	96391168	503808
10400734198	99274752	507904
10500739662	99274752	507904
10600728090	99274752	507904
10700723123	99274752	507904
10800709484	99274752	507904
10900738251	99274752	507904
11000726819	99274752	507904
11100732987	107401216	524288
11200732218	107925504	524288
11300730920	107925504	524288
11400732803	107925504	524288
11500737719	107925504	524288
11600716433	98430976	503808
11700724087	98430976	503808
11800733698	98430976	503808
11900731425	98430976	503808
12000739149	98430976	503808
12100720489	98430976	503808
12200733170	98562048	503808
12300733758	98562048	503808
12400734869	98562048	503808
12500733192	98693120	503808
12600726760	98693120	503808
12700737266	98693120	503808
12800737383	98693120	503808
12900733112	98693120	503808
13000733147	98693120	503808
13100735062	98693120	503808
13200732719	98693120	503808
13300730513	101052416	512000
13400731884	101183488	512000
13500729525	104329216	516096
