time	rss	kernel
0	638976	159744
100768318	10555392	319488
200780330	28631040	360448
300814812	55238656	409600
400821200	66510848	434176
500811316	70705152	442368
600811392	75685888	450560
701689280	86302720	471040
800783330	86302720	471040
900850129	86302720	471040
1000762419	91676672	483328
1100778024	92069888	487424
1200765440	92069888	487424
1300821820	97443840	491520
1400777324	156819456	610304
1500816365	156819456	610304
1600805539	156819456	610304
1700806348	385933312	1064960
1801070782	439803904	1167360
1900802756	439803904	1167360
2000777256	439803904	1167360
2100802280	439803904	1167360
2200812897	442163200	1171456
2300786893	442949632	1171456
2400808220	444784640	1175552
2500781029	124608512	544768
2600789350	131555328	561152
2700831231	164716544	626688
2800768008	167206912	630784
2900782583	168910848	634880
3000789288	173891584	647168
3100812529	174415872	647168
3200778941	175333376	647168
3300802907	177823744	651264
3400776530	166006784	630784
3500779427	167055360	630784
3600811144	167579648	634880
3700785368	168628224	634880
3800800212	169021440	634880
3900784643	169545728	638976
4000823293	165220352	626688
4100783411	165351424	626688
4200809680	165351424	626688
4300782666	165351424	626688
4400788566	165351424	626688
4500816266	165351424	626688
4600782163	165351424	626688
4700821304	165351424	626688
4800783179	165351424	626688
4900811450	165351424	626688
5001153162	165351424	626688
5100784957	165351424	626688
5200819683	165351424	626688
5300766910	165351424	626688
5400809843	165351424	626688
5500811430	165351424	626688
5600807177	169545728	634880
5700814354	169545728	634880
5800802561	169545728	634880
5900813940	169545728	634880
6000809006	169545728	634880
6100813226	169545728	634880
6200809256	160690176	614400
6300809528	160690176	614400
6400802082	160690176	614400
6500788189	160690176	614400
6600813535	160690176	614400
6700799193	160690176	614400
6800804140	160690176	614400
6900830007	160690176	614400
7000785104	160690176	614400
7101201194	160690176	614400
7200781692	160690176	614400
7300781229	160690176	614400
7400783695	160690176	614400
7501301298	160690176	614400
7600783382	160690176	614400
7700798830	160690176	614400
7800782577	160690176	614400
7900815840	169734144	634880
8000811212	169734144	634880
8100824349	169734144	634880
8200787333	169734144	634880
8300820399	169734144	634880
8400805792	169734144	634880
8500785625	160641024	614400
8600786329	202846208	827392
8700818484	321114112	966656
8800783755	321077248	929792
8900808732	384516096	1056768
9000776146	384516096	1056768
9100799917	384516096	1056768
9200799830	384516096	1056768
9300785553	384516096	1056768
9400800339	384516096	1056768
9500785163	384516096	1056768
9600783432	384516096	1056768
9700786835	384516096	1056768
9800800534	384516096	1056768
9900786147	384516096	1056768
10000811844	384516096	1056768
10100769221	384516096	1056768
10200801934	384516096	1056768
10300770198	384516096	1056768
10400787699	384516096	1056768
10500786023	384516096	1056768
10600815810	384516096	1056768
10700785358	384516096	1056768
10800809325	384516096	1056768
10900784230	384516096	1056768
11000784976	384516096	1056768
11100802832	384516096	1056768
11200788486	384516096	1056768
11300788731	384516096	1056768
11400786382	384516096	1056768
11500783727	384516096	1056768
11600782922	384516096	1056768
11700820729	431992832	1179648
11800776669	422502400	1277952
11901563877	318345216	933888
12000776834	192679936	675840
12100783402	192679936	675840
12200813095	192679936	675840
12300769450	192679936	675840
12400819269	192679936	675840
12500811774	192811008	675840
12600774130	192811008	675840
12700832092	192811008	675840
12800788326	192811008	675840
12900812282	192811008	675840
13000756638	192811008	675840
13100788332	192811008	675840
13200824175	192811008	675840
13300778952	192811008	675840
13400824477	192811008	675840
13500789657	192811008	675840
13600810439	192811008	675840
13700789130	192811008	675840
13800812597	192811008	675840
13900785346	192811008	675840
14000784461	192811008	675840
14100817522	192811008	675840
14200785165	192811008	675840
14300789073	192811008	675840
14400789108	192811008	675840
14500783429	192811008	675840
14600816464	192811008	675840
14700773189	192811008	675840
14800788733	192811008	675840
14900840313	192811008	675840
15000763821	192811008	675840
15100780075	192811008	675840
15200818482	192888832	675840
15300780897	192888832	675840
15400787483	192888832	675840
15500789429	193282048	679936
15600812125	215826432	720896
15700769675	227098624	745472
15800777014	230375424	749568
15900788988	233521152	757760
16000810224	236797952	761856
16100788223	240599040	770048
16200814427	241123328	770048
16300775321	241123328	770048
16400823714	267337728	823296
16500781134	267337728	823296
16600783628	267337728	823296
16700817671	267337728	823296
16800786598	267337728	823296
16900812871	267337728	823296
17000787322	267337728	823296
17100780677	267337728	823296
17200820953	267337728	823296
17300764269	267337728	823296
17400774185	267337728	823296
17500779858	267337728	823296
17600826730	267337728	823296
17700778589	267337728	823296
17800775503	267337728	823296
17900775612	267337728	823296
18000775732	267337728	823296
18100866772	267337728	823296
18201411919	267337728	823296
18300771317	267337728	823296
18400781808	267337728	823296
18500773093	267337728	823296
18600774645	267337728	823296
18700774908	267337728	823296
18800800600	267337728	823296
18900780423	267337728	823296
19000805389	267337728	823296
19100764116	267337728	823296
19200762145	267337728	823296
19300771510	267337728	823296
19400774827	267337728	823296
19500779668	267337728	823296
19600835022	267468800	823296
19700789788	267468800	823296
19800809552	267468800	823296
19900779145	267468800	823296
20000808703	267468800	823296
20100785448	267468800	823296
20200841965	267468800	823296
20300769423	267468800	823296
20400804241	267468800	823296
20500780824	267468800	823296
20600811576	267468800	823296
20700765557	268648448	839680
20800776035	268779520	839680
20900876789	268779520	839680
21000774254	268779520	839680
21100808521	268779520	839680
21200786242	268779520	839680
21300814831	268779520	839680
21400779753	268910592	839680
21500824418	268910592	839680
21600770777	268910592	839680
21700867563	268910592	839680
21800787624	268910592	839680
21900813779	269041664	839680
22000780203	269041664	839680
22100971552	269041664	839680
22200821977	269041664	839680
