time	rss	kernel
0	557056	131072
100645476	31342592	352256
200664444	37621760	352256
300665671	41684992	360448
400661751	44961792	368640
500669453	46927872	372736
600666536	49549312	380928
700663560	51384320	385024
800666554	52432896	385024
900675781	54267904	389120
1000659680	57020416	397312
1100652593	57675776	397312
1200873257	59248640	401408
1300665761	60297216	401408
1400676271	61870080	405504
1500667931	63180800	405504
1600667198	64098304	409600
1700668475	65933312	413696
1800665679	67244032	413696
1900665947	68292608	417792
2000659775	69341184	417792
2100665082	70127616	421888
2200669541	71176192	421888
2300676906	72093696	425984
2400667669	72880128	425984
2500663799	73666560	425984
2600665882	74452992	430080
2700667552	75501568	430080
2800666161	76419072	434176
2900678125	77336576	434176
3000656378	77991936	438272
3100664174	79171584	438272
3200663969	80351232	442368
3300666185	81137664	442368
3400665996	84676608	450560
3500659328	84676608	450560
3600667571	84676608	450560
3700671344	85987328	450560
3800666104	86380544	454656
3900659092	87166976	454656
4000662860	88608768	458752
4100662290	88739840	458752
4200683614	89526272	458752
4300653659	90705920	462848
4400672959	91361280	462848
4500658388	91623424	462848
4600662382	92672000	466944
4700676261	102555648	483328
4800675774	102555648	483328
4900661184	102555648	483328
5000664237	102555648	483328
5100645871	102555648	483328
5200642688	102555648	483328
5300662422	106356736	491520
5400665403	113434624	507904
5500648257	113827840	507904
5600665258	113827840	507904
5700662364	132964352	544768
5800666185	222486528	716800
5900656623	299425792	868352
6000655978	299556864	868352
6100656641	299556864	868352
6200648955	299556864	868352
6300657421	299556864	868352
6400661987	589357056	1433600
6500657768	879157248	2002944
6600657588	879157248	2002944
6700657499	879157248	2002944
6800656304	879157248	2002944
6900649826	879157248	2002944
7000656483	879157248	2002944
7100654591	879157248	2002944
7200659859	879157248	2002944
7300661331	879157248	2002944
7400665991	881778688	2007040
7500655380	882958336	2007040
7600655097	884269056	2011136
7700654008	885448704	2011136
7800651102	886628352	2015232
7900666119	236679168	745472
8000664369	242446336	757760
8100665137	331182080	929792
8200655977	373125120	1011712
8300653265	375091200	1015808
8400652845	376139776	1015808
8500653908	377581568	1019904
8600652146	382562304	1028096
8700652036	382562304	1028096
8800655680	383479808	1032192
8900654413	384659456	1032192
9000653736	385708032	1036288
9100645377	386887680	1036288
9200653731	388067328	1040384
9300658479	389378048	1044480
9400663793	407465984	1077248
9500647680	375971840	1015808
9600653339	375971840	1015808
9700652910	375971840	1015808
9800658117	375971840	1015808
9900647694	376102912	1015808
10000651408	377282560	1019904
10100661063	377413632	1019904
10200657448	377937920	1019904
10300651518	378331136	1019904
10400651514	382525440	1028096
10500649242	382525440	1028096
10600661480	382656512	1032192
10700662540	375828480	1019904
10800660689	375828480	1019904
10900654767	378974208	1019904
11000664326	378974208	1019904
11100659682	378974208	1019904
11200659719	378974208	1019904
11300655604	378974208	1019904
11400656925	378974208	1019904
11500655918	378974208	1019904
11600660932	378974208	1019904
11700654343	378974208	1019904
11800659077	378974208	1019904
11900657991	378974208	1019904
12000658022	378974208	1019904
12100657686	378974208	1019904
12200652397	378974208	1019904
12300651985	378974208	1019904
12400657214	378974208	1019904
12500660851	378974208	1019904
12600668434	378974208	1019904
12700667653	378974208	1019904
12800680887	378974208	1019904
12900644805	378974208	1019904
13000669819	378974208	1019904
13100661857	378974208	1019904
13200664905	378974208	1019904
13300666715	378974208	1019904
13400668302	378974208	1019904
13500662343	378974208	1019904
13600665353	378974208	1019904
13700663876	378974208	1019904
13800661994	378974208	1019904
13900663900	378974208	1019904
14000673952	378974208	1019904
14100653429	378974208	1019904
14200664705	378974208	1019904
14300657121	378974208	1019904
14400659522	378974208	1019904
14500668462	378974208	1019904
14600668781	378974208	1019904
14700666703	378974208	1019904
14800665940	378974208	1019904
14900669181	378974208	1019904
15000669484	378974208	1019904
15100662214	378974208	1019904
15200654444	378974208	1019904
15300652486	378974208	1019904
15400659401	378974208	1019904
15500662562	378974208	1019904
15600659487	378974208	1019904
