time	rss	kernel
0	544768	131072
100693359	13352960	241664
200713378	21024768	253952
300706996	32268288	278528
400712637	33538048	278528
500713460	38486016	290816
600715951	33083392	278528
700715267	35180544	282624
800718108	36360192	286720
900714328	36884480	286720
1000715832	41996288	294912
1100699314	42258432	311296
1200732602	42258432	311296
1300741935	42258432	311296
1400700555	42258432	311296
1500706005	42258432	311296
1600701911	42258432	311296
1700716750	42389504	311296
1800715858	42389504	311296
1900714214	42520576	311296
2000715894	42520576	311296
2100706502	42651648	311296
2200714377	42651648	311296
2300716328	42651648	311296
2400719299	42651648	311296
2500709394	42782720	311296
2600713930	44748800	315392
2700713996	45010944	315392
2800688026	45010944	315392
2900716473	49074176	323584
3000711586	52482048	331776
3100704805	52482048	331776
3200718056	52613120	331776
3300710618	52613120	331776
3400706915	52613120	331776
3500717457	52613120	331776
3600717765	52744192	331776
3700709663	53137408	331776
3800710534	53137408	331776
3900705644	53137408	331776
4000717554	53137408	331776
4100707915	53137408	331776
4200698678	53137408	331776
4300716979	53923840	335872
4400705360	59691008	344064
4500705279	67293184	364544
4600710107	67600384	360448
4700711472	74285056	372736
4800688876	74416128	372736
4900709205	82673664	389120
5000711397	72302592	368640
5100702501	72302592	368640
5200699156	76361728	376832
5300700739	77410304	380928
5400711972	79900672	385024
5500701053	79900672	385024
5600724215	79900672	385024
5700721246	79900672	385024
5800692260	79900672	385024
5900704583	79900672	385024
6000705763	79900672	385024
6100700221	80556032	385024
6200706913	83046400	389120
6300714731	89337856	401408
6400705387	89337856	401408
6500714799	89337856	401408
6600704511	89337856	401408
6700719893	89468928	401408
6800699679	89731072	401408
6900706661	89731072	401408
7000711057	80314368	385024
7100702607	80314368	385024
7200712436	80314368	385024
7300709278	80314368	385024
7400715987	80314368	385024
7500693728	83197952	389120
7600692353	87916544	397312
7700702109	87916544	397312
7800692561	87916544	397312
7900708945	87916544	397312
8000716013	87916544	397312
8100699851	87916544	397312
8200702278	87916544	397312
8300730782	87916544	397312
8400720330	87916544	397312
8500702913	87916544	397312
8600703998	88178688	397312
8700703686	88178688	397312
8800716889	88309760	397312
8900720122	88309760	397312
9000714258	88309760	397312
9100702693	88309760	397312
9200716338	88309760	397312
9300713939	88309760	397312
9400713653	88309760	397312
9500712320	88440832	397312
9600707036	88440832	397312
9700717228	88440832	397312
9800720042	88440832	397312
9900694903	88440832	397312
10000702241	96305152	417792
10100700053	96305152	417792
10200702956	90050560	401408
10300727991	100012032	421888
10400696180	96247808	413696
10500716910	99131392	421888
10600703730	99131392	421888
10700711890	99131392	421888
10800704644	99131392	421888
10900697104	99131392	421888
11000718532	99131392	421888
11100694553	99131392	421888
11200717709	107257856	438272
11300715134	107782144	438272
11400717622	107782144	438272
11500713882	107782144	438272
11600723504	107782144	438272
11700701008	98275328	417792
11800714303	98275328	417792
11900716052	98275328	417792
12000719985	98275328	417792
12100703912	98275328	417792
12200718854	98275328	417792
12300718480	98275328	417792
12400718696	98537472	417792
12500699866	98537472	417792
12600716033	98537472	417792
12700706727	98537472	417792
12800703713	98537472	417792
12900954367	98537472	417792
13000697317	98537472	417792
13100704596	98537472	417792
13200711152	98537472	417792
13300716126	98537472	417792
13400717187	101027840	421888
13500702452	101158912	421888
13600730158	104304640	430080
13700716512	104304640	430080
13800719713	104304640	430080
13900699754	104304640	430080
14000713560	104304640	430080
14100696254	104304640	430080
14200711173	104304640	430080
14300714516	104304640	430080
14400716699	107057152	434176
14500703092	111251456	442368
14600708452	111906816	442368
14700715722	111906816	442368
14800711233	112037888	442368
14900712748	112037888	442368
15000712144	112037888	442368
15100699055	112037888	442368
15200701424	112168960	442368
15300707496	112168960	442368
15400700684	112824320	446464
15500714792	112824320	446464
15600705974	112824320	446464
15700694214	112824320	446464
15800718479	112824320	446464
15900713688	112824320	446464
16000716317	112824320	446464
16100698335	122130432	462848
16200705479	122785792	462848
16300702751	126849024	471040
16400714351	126849024	471040
16500713941	126849024	471040
16600716544	126849024	471040
16700724559	126849024	471040
16800718970	126849024	471040
16900710551	126980096	471040
17000697331	126980096	471040
17100690900	128159744	475136
17200719270	128159744	475136
17300706033	128290816	475136
17400715347	128290816	475136
17500714989	128290816	475136
17600715888	128290816	475136
17700711678	128290816	475136
17800712609	128421888	475136
17900703916	128421888	475136
18000719228	128421888	475136
18100708485	128421888	475136
18200717473	128421888	475136
18300718964	128421888	475136
18400705837	128552960	475136
18500714636	128552960	475136
18600718907	128552960	475136
18700722583	128552960	475136
18800693678	128552960	475136
18900703495	128684032	475136
19000717809	128684032	475136
19100688152	128684032	475136
19200715906	128684032	475136
19300718046	128815104	475136
19400719056	128815104	475136
19500706120	128815104	475136
19600712610	128815104	475136
19700715944	128946176	475136
19800720491	128946176	475136
19900698988	128946176	475136
20000714991	128946176	475136
20100697950	128946176	475136
20200713848	128946176	475136
20300698117	129077248	475136
20400705529	129077248	475136
20500716296	129470464	475136
20600703106	130387968	475136
20700716590	131305472	479232
20800716003	133926912	483328
20900689339	133926912	483328
21000700033	134844416	483328
21100706246	134844416	483328
21200713798	135237632	487424
21300721825	135237632	487424
21400702312	135237632	487424
21500719082	136286208	487424
21600707882	136548352	487424
21700720757	136548352	487424
21800721936	136679424	487424
21900707910	136941568	487424
22000723708	137072640	487424
22100696388	137072640	487424
22200715665	139825152	495616
22300710812	140349440	495616
22400708155	140349440	495616
22500707621	140611584	495616
22600720622	143757312	503808
22700708711	143757312	503808
