time	rss	kernel
0	647168	151552
100670182	12095488	286720
200677884	12091392	286720
300684010	13008896	290816
400687683	13271040	290816
500689124	16547840	294912
600687272	17371136	299008
700685021	18812928	299008
800687704	18997248	319488
900685432	18997248	319488
1000684518	19128320	319488
1100683162	19128320	319488
1200683765	19128320	319488
1300686720	19128320	319488
1400680460	19521536	319488
1500686611	20570112	323584
1600686880	23846912	327680
1700685865	24240128	331776
1800682487	24371200	331776
1900680127	26075136	331776
2000683484	28827648	339968
2100685961	30531584	344064
2200682074	30531584	344064
2300680530	32030720	348160
2400684798	32026624	344064
2500686309	32681984	344064
2600688865	33992704	348160
2700677648	36089856	352256
2800689626	36220928	352256
2900688650	36220928	352256
3000684286	36220928	352256
3100686042	36352000	352256
3200682324	38055936	356352
3300682961	40677376	360448
3400684920	41201664	360448
3500670918	41725952	364544
3600677597	43429888	364544
3700689532	43560960	364544
3800686918	43823104	368640
3900688584	44216320	368640
4000680426	44347392	368640
4100677665	44347392	368640
4200684867	44347392	368640
4300686899	44347392	368640
4400687386	44609536	368640
4500674095	46706688	372736
4600684255	47362048	372736
4700687665	52006912	389120
4800688242	53637120	385024
4900686593	57724928	393216
5000684899	59166720	397312
5100686641	60870656	401408
5200678653	64540672	405504
5300683589	64802816	405504
5400688338	65064960	405504
5500686601	67182592	409600
5601916366	67182592	409600
5700683661	65003520	405504
5800669846	71245824	417792
5900684556	65994752	409600
6000688986	65994752	409600
6100688534	65994752	409600
6200686366	67829760	413696
6300681186	75825152	430080
6400687917	76218368	430080
6500689725	76349440	430080
6600686953	77922304	434176
6700678377	78053376	434176
6800682973	78315520	434176
6900687702	78315520	434176
7000677865	78315520	434176
7100681939	78315520	434176
7200683579	78446592	434176
7300683994	78446592	434176
7400689058	78577664	434176
7500684348	78577664	434176
7600680836	78577664	434176
7700686622	78577664	434176
7800692247	78577664	434176
7900682782	78708736	434176
8000686981	78708736	434176
8100695349	78708736	434176
8200684610	78839808	434176
8300687471	78839808	434176
8400686581	78839808	434176
8500674554	78839808	434176
8600687749	78970880	434176
8700686978	78970880	434176
8800686745	78970880	434176
8900683271	78970880	434176
9000699607	79888384	434176
9100690276	80412672	434176
9200675298	80412672	434176
9300695290	81592320	438272
9400680778	81723392	438272
9500684637	81723392	438272
9600683869	83689472	442368
9700683770	85131264	442368
9800679082	85917696	446464
9900684426	85917696	446464
10000683890	87621632	450560
10100680545	88408064	450560
10200681583	88539136	450560
10300685241	88539136	450560
10400685291	89718784	454656
10500683854	90243072	454656
10600684735	90636288	454656
10700682412	90636288	454656
10800682763	91815936	454656
10900685192	93782016	458752
11000682020	93782016	458752
11100685615	94568448	462848
11200674694	94699520	462848
11300693752	96403456	466944
11400687524	96665600	466944
11500681392	96796672	466944
11600683515	97452032	466944
11700691052	99942400	471040
11800684151	99942400	471040
11900683313	100204544	471040
