time	rss	kernel
0	528384	114688
100774656	25346048	270336
200797262	31637504	282624
300795224	46579712	315392
400794583	59162624	339968
500782666	59555840	339968
600790471	59949056	339968
700789660	60473344	339968
800786058	61128704	339968
900787403	61390848	339968
1000780544	62308352	344064
1100783909	62832640	344064
1200780632	65683456	360448
1300787840	66469888	360448
1400780598	67518464	364544
1500789951	68173824	364544
1600791856	68173824	364544
1700792895	68173824	364544
1800792717	68173824	364544
1900783510	69484544	368640
2000782555	70533120	368640
2100785807	70533120	368640
2200787835	70533120	368640
2300794030	70533120	368640
2400792317	70533120	368640
2500786325	70533120	368640
2600791386	70533120	368640
2700792424	70533120	368640
2800795889	70533120	368640
2900795393	70533120	368640
3000794294	70533120	368640
3100784213	70533120	368640
3200788664	70533120	372736
3300793716	70533120	372736
3400787280	70533120	372736
3500795808	70533120	372736
3600793914	70533120	372736
3700785984	70533120	372736
3800793380	70533120	372736
3900787116	70533120	372736
4000779855	70533120	372736
4100800439	70533120	372736
4200797615	70533120	372736
4300795912	70533120	372736
4400785205	70533120	372736
4500785143	70533120	372736
4600790252	70533120	372736
4700791563	70533120	372736
4800792509	70533120	372736
4900787349	70533120	372736
5000790105	70533120	372736
5100788373	70533120	372736
5200792984	70533120	372736
5301008212	70533120	372736
5400786876	70533120	372736
5500767645	70533120	372736
5601575296	70533120	372736
5700800078	70533120	372736
5800771476	70533120	372736
5900770329	70533120	372736
6000769776	70533120	372736
6100791259	70533120	372736
6200792276	70533120	372736
6300783088	70533120	372736
6400779836	70533120	372736
6500780446	71319552	376832
6600792553	71581696	376832
6700786093	71581696	376832
6800783152	71581696	376832
