time	rss
0	516096
101272337	13008896
201281941	36339712
301300106	65830912
401475003	74350592
501293793	82083840
601274175	88113152
701280207	98205696
801290512	98205696
901290915	98205696
1001295887	101220352
1101282419	104235008
1201469725	91742208
1301294959	97116160
1401289133	159449088
1501289582	159449088
1601290824	159449088
1701303996	303628288
1801290660	442433536
1901289598	442433536
2001292835	442433536
2101289061	442433536
2201293667	445710336
2301290833	448593920
2401301882	450953216
2501594613	173502464
2601276716	132685824
2701296367	168206336
2801297173	175022080
2901298318	177381376
3001298658	182886400
3101269540	184066048
3201289519	185245696
3301297225	186294272
3401297250	191012864
3501289085	191012864
3601292634	191012864
3701295331	182513664
3802288318	182513664
3901293916	182513664
4001294426	182513664
4101278664	185921536
4201296679	174886912
4301296077	174886912
4401291969	174886912
4501292561	174886912
4601285180	174886912
4701273273	174886912
4801286857	174886912
4901290382	174886912
5001292924	174886912
5101287331	174886912
5201292672	174886912
5301291241	174886912
5401286194	174886912
5501291088	174886912
5601298127	184193024
5701288061	184193024
5801288089	184193024
5901293205	184193024
6001290392	184193024
6101291282	184193024
6201310109	184193024
6301297286	187076608
6401303903	187994112
6501291943	188387328
6601279837	172306432
6701298430	172945408
6801298586	172945408
6901296302	172945408
7001458763	172945408
7101289464	172945408
7201295924	172945408
7301295542	172945408
7401289152	172945408
7501291277	172945408
7601285120	172945408
7701296266	172945408
7801287404	172945408
7901289677	172945408
8001300287	185528320
8101854912	185528320
8201300982	185528320
8301303595	185528320
8401303600	185528320
8501301143	185528320
8601303775	185528320
8701302480	188936192
8801295162	378335232
8901298355	378728448
9001297121	442167296
9101292280	442167296
9201292370	442167296
9301293888	442167296
9401294193	442167296
9501292969	442167296
9601286165	442167296
9701289158	442167296
9801289453	442167296
9901290462	442167296
10001292169	442167296
10101275795	442167296
10201295341	442167296
10301291943	442167296
10401295829	442167296
10501295616	442167296
10601272005	442167296
10701294858	442167296
10801297677	442167296
10901297059	442167296
11001296313	442167296
11101288950	442167296
11201290019	442167296
11301283015	442167296
11401288313	442167296
11501282138	442167296
11601282023	442167296
11701282286	442167296
11801282415	442167296
11901290777	543879168
12001283239	363917312
12101295729	184721408
12201284905	139493376
12301285892	140541952
12401283567	143032320
12501297213	142925824
12601285138	144859136
12701308046	145494016
12801478186	145518592
12902116560	145088512
13001503428	143654912
13101273629	143446016
13201298784	145596416
13301301422	144969728
13401295310	143974400
13501455241	145149952
13601291642	143466496
13701300867	145821696
13801289328	146014208
13901300467	146145280
14001300319	146145280
14101295311	144441344
14201284548	144482304
14301294742	145162240
14401295210	145039360
14501294817	146186240
14601294384	140275712
14701294796	141979648
14801300697	144076800
14901283349	144601088
15001302246	144863232
15101301404	144994304
15201287134	145256448
15301289455	145518592
15401290888	145780736
15501289923	146042880
15601288118	146305024
15701288879	146698240
15801290356	147222528
15901287598	147615744
16001292135	148140032
16101287234	148664320
16201295929	240807936
16301296648	150253568
16401294167	166637568
16501293506	187346944
16601288668	207794176
16701291606	230600704
16801297920	237809664
16901297726	241217536
17001292509	244625408
17101297738	247771136
17201293555	252489728
17301297599	252751872
17401298135	252751872
17501290380	282505216
17601296580	254537728
17701302160	179879936
17801299572	186433536
17901307857	188006400
18001293931	223789056
18101297093	256143360
18201292748	257847296
18301294466	237768704
18401294406	240652288
18501290761	241176576
18601288630	241176576
18701280942	242225152
18801280025	242225152
18901289098	242225152
19001283248	242225152
19101604782	223068160
19202064617	208875520
19301462447	208875520
19401289926	209924096
19501289109	209924096
19601435074	209924096
19701285858	209924096
19801286822	209924096
19901296116	209924096
20001297455	209924096
20101285298	209924096
20201279227	209924096
20301279474	209924096
20401291290	209924096
20501293937	211496960
20601296830	211628032
20701290082	213594112
20801296825	216346624
20901296920	218836992
21001296729	219492352
21101468847	219492352
21201285905	228929536
21301285418	256585728
21401281705	224628736
21501292050	225284096
21601292641	236687360
21701284584	237080576
21801289474	238653440
21901285107	228864000
22001295451	230174720
22101283132	233189376
22201299929	216657920
22301295938	219152384
22401295623	220987392
22501286578	221249536
22601295467	221511680
22701286033	221773824
22801298448	221904896
22901286165	222429184
23001291104	222822400
23101293851	222953472
23201304875	223608832
23301293991	224002048
