time	rss
0	462848
101167447	16637952
201181579	27779072
301176985	42844160
401173053	42737664
501178885	47022080
601164014	47546368
701360042	50298880
801179277	43745280
901178777	43876352
1001176864	44527616
1101183160	46211072
1201177949	48046080
1301178628	49487872
1401177145	53682176
1501179301	53813248
1601186206	54206464
1701177305	57352192
1801180478	57352192
1901180372	58138624
2001154065	58269696
2101175984	59187200
2201172412	60366848
2301176934	60497920
2401178719	60891136
2501156665	61284352
2601177644	69017600
2701178461	55443456
2801175686	57147392
2901178611	63569920
3001159087	66060288
3101178699	66060288
3201181916	66584576
3301178193	66977792
3401176472	67108864
3501177274	67764224
3601177878	72613888
3701179768	64237568
3801179630	59207680
3901178488	64188416
4001157237	64974848
4101177927	68382720
4201179227	69038080
4301180529	69038080
4401180386	81620992
4501180091	90402816
4601178643	106262528
4701178623	106393600
4801180728	114388992
4901178816	117665792
5001185126	117665792
5101178998	93413376
5201172921	95248384
5301173381	99835904
5401176015	99966976
5501177851	100098048
5601177830	100360192
5701173352	100491264
5801175558	100491264
5901178465	109273088
6001159627	110321664
6101178884	115171328
6201181319	120020992
6301178997	120020992
6401178423	120020992
6501156282	120414208
6601177926	122380288
6701179196	123166720
6801378217	123822080
6901177485	125263872
7001177570	125526016
7101189096	126050304
7201182469	126705664
7301180953	126705664
7401181232	127361024
7501174452	91099136
7601174914	91623424
7701174036	93732864
7801179210	98844672
7901179937	100024320
8001174176	107364352
8101185643	108281856
8201176028	111558656
8301344472	111558656
8401180264	111558656
8501154588	111951872
8601182193	112869376
8701177345	114573312
8801156829	114835456
8901179516	119554048
9001170169	119554048
9101177907	120209408
9201177115	120209408
9301178964	120209408
9401179465	120733696
9501178973	122306560
9601169197	122830848
9701179174	127025152
9801181328	127156224
9901180044	103989248
10001166440	106610688
10101184650	118013952
10201179181	118407168
10301179650	111726592
10401174463	113561600
10501175750	122867712
10601705257	124571648
10701176493	131911680
10801177789	132829184
10901180012	132829184
11001177541	132829184
11101188410	138334208
11201173938	140169216
11301174845	140169216
11401178459	140300288
11501177456	140824576
11601185355	141611008
11701180904	141611008
11801183320	146329600
11901178140	146853888
12001159069	147509248
12101185961	149868544
12201156695	150392832
12301180107	150523904
12401176868	150786048
12501181064	150917120
12601186913	150917120
12701180087	153014272
12801182169	154980352
12901158968	155373568
13001162652	155373568
13101178448	155897856
13201179056	159043584
13301184790	159830016
13401179622	159961088
13501159165	113438720
13601180406	115666944
13701179886	115929088
13801181920	121434112
13901182876	123400192
14001180695	124317696
14101182983	127856640
14201172789	129560576
14301179901	137949184
14401179838	139259904
14501149218	143060992
14601175913	143454208
14701176065	143847424
14801179616	144764928
14901160453	145289216
15001177473	145289216
15101346536	145289216
15202260640	145551360
15301669283	147124224
15401374109	147124224
15501158550	150138880
15601181595	150138880
15702006150	151449600
15801180865	151711744
15901181749	154333184
16001178817	158134272
16101186226	168095744
16201181874	169275392
16301179304	169275392
16401177379	169275392
16501156519	169668608
16601177810	169799680
16701176832	169799680
16801180427	169930752
16901179484	170455040
17001177971	170848256
17101188131	170848256
17201180184	170979328
17301178840	171372544
17401178996	171372544
17501158041	171503616
17601180236	171503616
17701203085	171634688
17801178127	171634688
17901179568	172158976
18001153329	172683264
18101179314	172683264
18201178854	172814336
18301178569	172814336
18401177458	173338624
18501178822	173600768
18601177525	173731840
18701178694	173993984
18801173996	174125056
18901178942	174256128
19001156106	174256128
19101177472	174256128
19201185133	174518272
19301177999	174911488
19401177521	174911488
19501177296	175042560
19601177826	175173632
19701179545	175304704
19801179361	175304704
19901177072	175566848
20001179285	175697920
20101188926	177270784
20201176162	177270784
20301180084	177401856
20401180429	180416512
20501156909	180547584
20601181212	181071872
20701180731	183955456
20801179621	185397248
20901179408	185397248
21001155983	185659392
21101177792	185921536
21201181442	186052608
21301179775	186183680
21401180429	187101184
21501177542	188411904
21601186646	188805120
21701179334	188805120
21801180192	188805120
21901179854	189198336
22001157708	189460480
22101183145	193392640
22201172767	193392640
22301176596	193654784
22401180281	194048000
22501176519	198897664
22601175959	198897664
22701178992	199028736
22801177091	199553024
22901179023	199553024
23001178076	199684096
23101188868	199684096
23201173124	199815168
23301177345	199946240
23401251696	200208384
23501153788	200208384
23601180135	204009472
23701180234	204009472
23801346359	204009472
23901179104	204140544
24001154967	204402688
24101178682	206761984
24201179619	206761984
24301181524	208465920
24401177934	208596992
24501156274	213708800
24601180574	217903104
24701178158	217903104
24801177320	217903104
24901178831	218165248
25001156494	218296320
25101176273	218296320
25201336919	226553856
25301177534	226553856
25401179781	234680320
25501175386	194633728
25601187110	200531968
25701183750	201449472
25801178653	202629120
25901181220	215080960
26001176643	221241344
26101178148	223600640
26201179345	229892096
26301180251	229892096
26401178224	231464960
26501158318	232120320
26601178646	235266048
26701179203	235790336
26801179797	235790336
26901176536	235790336
27001153660	236183552
27101179143	236314624
27201160453	237363200
27301180593	238542848
27401178130	238542848
27501158506	241819648
27601175803	245620736
27701177909	246407168
27801178700	246669312
27901181122	247062528
28001180960	247062528
28101181585	247062528
28201178222	247324672
28301180656	247586816
28401177342	205168640
28501177326	212901888
28601178428	213688320
28701178412	213688320
28801178723	213688320
28901177452	214736896
29001178677	214867968
29101177854	215785472
29201152019	220897280
29301176410	221552640
29401182669	221552640
29501156868	221945856
29601181290	228892672
29701178580	233086976
29801177195	233086976
29901177298	233086976
30001177592	252616704
30101180016	268738560
30201168314	280797184
30301175586	281321472
30401176935	281321472
30501177263	281714688
30601187191	293904384
30701179059	295346176
30801182012	296132608
30901181776	263770112
31001150812	270061568
31101177365	275173376
31201178086	297848832
31301179874	299552768
31401179947	299945984
31501160885	300470272
31601176988	300732416
31701174943	303353856
31801178619	316985344
31901179231	330878976
32001156256	331010048
32101179417	331010048
32201162700	332713984
32301180234	332713984
32401180398	338612224
32501158568	345296896
32601177252	346476544
32701569419	346476544
32801173600	346476544
32901178400	346476544
33001176945	346476544
33101187879	346476544
33201181251	346476544
33301160871	346476544
33401182422	346476544
33501158278	347787264
