time	rss
0	512000
101171257	53215232
201184575	73269248
301179230	73269248
401160776	73269248
501178569	78643200
602362615	110362624
701182141	133738496
801182290	181317632
901155999	332967936
1001172619	332967936
1101175621	332967936
1201178228	335327232
1301177107	337031168
1401174562	115048448
1501387470	141918208
1601170892	142573568
1701169927	143622144
1802188937	145326080
1901175837	146505728
2001171240	146505728
2101168896	146505728
2201171262	146505728
2301177541	148996096
2401176809	140451840
2501181159	140451840
2601176438	140451840
2701173742	140451840
2801178048	140451840
2901172244	140451840
3001185727	140451840
3101173105	140451840
3201174805	140451840
3301564855	140451840
3401914814	140451840
3501178835	140451840
3601175369	140451840
3701355598	152641536
3801190264	152641536
3901182275	152641536
4001192261	152641536
4101180847	155656192
4201184742	155918336
4301181403	157097984
4401177886	118702080
4501181809	118702080
4601176596	118702080
4701177638	118702080
4801170838	118702080
4901171618	118702080
5001169516	118702080
5101172684	118702080
5201304843	118702080
5301367891	118702080
5401170464	118702080
5501183721	118702080
5601946291	119226368
5701186819	132071424
5801179248	132202496
5901178438	132202496
6001193188	132333568
6101187133	214777856
6201182682	260915200
6301181135	305348608
6401162822	305348608
6501182896	305348608
6601181837	305348608
6701181994	305348608
6801179628	305348608
6901157252	305348608
7001183214	305348608
7101162863	305348608
7201180925	305348608
7301181251	305348608
7401160139	305348608
7501185355	305348608
7601178682	305348608
7701183046	305348608
7801183551	305348608
7901178493	305348608
8001181085	305348608
8101181229	305348608
8201178959	305348608
8301181694	305348608
8401158358	305348608
8501171883	305348608
8601171150	305348608
8701337910	305348608
8801178784	305348608
8901175020	305348608
9001190767	305348608
9101955022	305348608
9201344214	305348608
9301182080	305348608
9401159276	305348608
9501182850	305348608
9601174079	305348608
9701183416	327593984
9801183561	342556672
9901163862	120291328
10001181979	121339904
10101182395	122650624
10201182591	124157952
10301472257	125468672
10401165903	125468672
10501179832	125468672
10601171817	125468672
10701179103	125468672
10801178057	125468672
10901155614	125468672
11002120571	125468672
11101174501	125468672
11201175336	125468672
11301173283	125468672
11401162807	169639936
11501181726	195985408
11601176524	199393280
11701180026	202014720
11801179551	203587584
11901162379	206209024
12001183656	206209024
12101182764	206209024
12201179923	206209024
12301185667	146579456
12401154381	153526272
12501179694	180133888
12601178174	182755328
12701182442	175144960
12801179376	175407104
12901176724	175407104
13001176735	175407104
13101178897	175407104
13201175151	175407104
13301173521	175407104
13401155446	176455680
13501182333	176717824
13601174814	178159616
13701181201	179470336
13801181196	181698560
13901157098	199786496
14001180145	206602240
14101182735	212369408
14201179290	214073344
14301181227	216956928
14401180355	218660864
14501185979	218791936
14601179664	219840512
14701173099	220626944
14801326990	247758848
14901178594	248020992
15001189577	252215296
15101178718	252215296
15201196388	263356416
15301390976	263618560
15401177578	263618560
15501172322	263618560
15601174713	175144960
15701166074	198868992
15801171610	198868992
15901169738	198868992
16001191507	208175104
16101180834	182837248
16201182391	183361536
16301178481	183492608
16401156662	183492608
16501181694	192929792
16601178262	192929792
16701179629	193847296
16801181550	195813376
16901157138	200925184
17001181530	201318400
17101172479	201318400
17201184858	201580544
17301183481	201580544
17401173842	204857344
17501402977	205250560
17602205465	206430208
17701183855	208527360
17802018049	214687744
17901399717	216129536
18001182895	216260608
18101181448	217833472
18201181925	217833472
18301180501	218226688
18401183283	218226688
18501184292	218750976
18601182247	219013120
18701181768	220061696
18801181710	220061696
18901158037	220323840
19001179856	220585984
19101181306	221110272
19201178982	221110272
19301180816	221241344
