time	rss
0	524288
101167580	29679616
201190670	44359680
301191300	60350464
401191293	76734464
501191890	92987392
601190908	109240320
701186578	125231104
801185542	141090816
901189879	157081600
1001199746	173203456
1101192679	189587456
1201191273	205840384
1301192439	221700096
1402016530	238084096
1501191060	254074880
1601194641	270196736
1701190436	286580736
1801186783	302440448
1901192420	318693376
2001192147	334815232
2101192986	350806016
2201191415	367190016
2301191001	383049728
2401192046	399171584
2501190958	415293440
2601193610	431546368
2701190788	447668224
2801186673	463659008
2901191014	479911936
3001190987	495247360
3101191703	511500288
3201190040	527622144
3301190936	543744000
3401191168	559996928
3501191845	576249856
3601191706	592371712
3701187781	608493568
3801185914	624746496
3901189894	640868352
4001191341	656990208
4101192160	672980992
4201190388	676388864
4301189601	676388864
4401190746	676782080
4501191330	676913152
4601189236	676913152
4701185357	677830656
4801186629	678092800
4901182929	678617088
5001176804	678879232
5101177291	679272448
5201175490	679534592
5301172640	680058880
5401177056	680321024
5501181275	680845312
5601179446	681631744
5701173762	682156032
5801177047	682156032
5901180026	682418176
6001170976	682942464
6101192240	682942464
6201183272	683728896
6301181950	683728896
6401181627	684253184
6501187815	685826048
6601182238	685826048
6701176832	685826048
6801179338	686350336
6901185336	687398912
7001183111	689627136
7101183008	689627136
7201193418	689627136
7301182124	690151424
7401191987	690151424
7501192787	690151424
7601190365	690151424
7701191436	690675712
7801188069	690675712
7901189052	693821440
8002139552	693821440
8101188796	695918592
8201195052	696967168
8301170845	696967168
8401185718	696967168
8501190116	698015744
8601172659	700112896
8701185415	700112896
8801170771	700112896
8901181048	700112896
9001187175	700112896
9101336317	700112896
9201175248	702210048
9301326903	702210048
9401171300	702210048
9501410147	702210048
9601181780	704307200
9701341014	704307200
9801169315	704307200
9901188644	705355776
10001185342	710729728
10101191457	717021184
10201184309	717021184
10301183443	719118336
10401190525	721215488
10501186438	721215488
10601175782	721215488
10701185837	721215488
10801170329	721215488
10901178109	721215488
11001188789	721215488
11101185660	721215488
11201181862	725409792
11301168725	725409792
11401180822	727506944
11501202130	727506944
11601195896	727506944
11701360220	727506944
11801181510	678096896
11901384514	682291200
12001189151	682291200
12101194896	686485504
12201195718	686616576
12301170634	690810880
12401352699	700903424
12501190891	706015232
12601192003	711127040
12701191156	684355584
12801200392	688943104
12901177281	687022080
13001190584	691740672
13101191049	688758784
13201188248	690991104
13301185904	692264960
13401189500	690184192
13501183195	693067776
13601187766	692219904
13701187753	696545280
13801187908	692424704
13901188928	696881152
14001189817	700682240
14101189071	692924416
14201216582	694263808
14301184732	698064896
14401189988	695062528
14501189422	699125760
14601189817	699404288
14701190137	698363904
14801188199	702296064
14901187361	705048576
15001184860	707932160
15101183617	710684672
15201191307	712650752
15301181941	714878976
15401199017	715927552
15501193922	685297664
15601190765	686686208
15701191583	689963008
15801189828	688738304
15901190308	692944896
16001190666	695173120
16101192422	697270272
16201189576	692781056
16301190345	694353920
16401180325	697368576
16501199547	693116928
16601191359	696655872
16701192797	697573376
16801189305	695439360
16901180398	695955456
17001185660	697397248
17101188085	697835520
17201190814	701112320
17301190505	699088896
17401184595	701448192
17501185470	697638912
17601191872	703012864
17701190181	698900480
17801190379	704274432
17901187752	707026944
18001188444	705056768
18101189773	704593920
18201187284	702128128
18301180901	705404928
18401188879	705056768
18501191608	710430720
18601191612	708374528
18701190103	704978944
18801191591	709959680
18901188816	714022912
19001188769	709369856
19101189749	713957376
19201187957	717103104
19301181457	713056256
19401187359	715677696
19501190200	718168064
19601186570	715264000
19701188428	719327232
19801190809	723259392
19901188743	725356544
20001188751	727846912
20101182701	729812992
20201190101	732172288
20301181615	734269440
20401184096	736235520
20501182522	738463744
20601189069	740560896
20701186387	742658048
20801185176	743313408
20901188212	684986368
21001184365	688394240
21101169273	691671040
21201191321	688001024
21301186337	690360320
21401190023	688074752
21501188514	689590272
21601189677	694964224
21701183526	696406016
21801187590	694206464
21901189672	696565760
22001182035	692797440
22101186568	696074240
22201188066	698564608
22301184502	701448192
22401189410	685981696
22501188635	683831296
22601186970	685166592
22701176894	689098752
22801190044	694079488
22901189879	687296512
23001185618	688095232
23101191196	688566272
23201189735	694333440
23301181346	696430592
23401189935	692113408
23501186053	697225216
23601189751	693428224
23701190276	696705024
23801190072	694890496
23901190810	695455744
24001190726	699650048
24101191402	695533568
24201190434	699990016
24301193797	701825024
24401188174	704184320
24501183584	707592192
24601191547	702947328
24701190641	699789312
24801183811	700067840
24901188125	700248064
25001195203	703918080
25101194425	704274432
25201186215	707813376
25301188892	710172672
25401195999	707428352
25501170964	704561152
25601186348	708231168
25701188052	710590464
25801188985	714391552
25901189437	709988352
26001182870	714051584
26101191269	716804096
26201189894	718639104
26301179758	720605184
26401186696	723095552
26501184418	725192704
26601185974	727420928
26701187212	729255936
26801180950	731090944
26901180355	733188096
27001181796	735547392
27101186283	683147264
27201190524	687865856
27301181530	689438720
27401191943	689602560
27501185643	693141504
27601174836	686682112
27701189676	691007488
27801190719	687734784
27901190828	692715520
28001191842	689491968
28101192486	694603776
28201190896	696963072
28301179968	700108800
28401182608	701550592
28501189853	694358016
28601185538	697765888
28701189734	693854208
28801155432	699359232
28901180284	699432960
29001184658	696823808
29101191963	701280256
29201190176	700039168
29301180128	705019904
29401191584	707117056
29501190125	703057920
29601188018	705941504
29701183614	708038656
29801187663	710660096
29901184623	712626176
30001189302	715771904
30101185838	717869056
30201191900	719441920
30301181572	682856448
30401187339	687837184
30501188065	691113984
30601189136	687796224
30701185568	691335168
30801381941	690671616
30901180561	694079488
31001185671	692834304
31101181105	690130944
31201188245	689369088
31301180843	694611968
31401189609	692383744
31501185807	692469760
31601181576	692834304
31701197024	697290752
31801192108	699781120
31901189094	703582208
32001190921	698777600
32101189849	699109376
32201191220	698114048
32301184368	699826176
32401191692	704413696
32501186802	706510848
32601189178	703315968
32701181748	705150976
32801190170	701870080
32901191822	702623744
33001189576	701988864
33101191687	707100672
33201188702	703193088
33301182996	706736128
33401183245	710406144
33501188526	712896512
33601190496	709251072
33701185140	713183232
33801198843	715542528
33901185586	717770752
34001188220	720654336
34101193042	722751488
34201191746	724848640
34301190010	726945792
34401172010	728780800
34501183763	729960448
34601190403	686829568
34701191103	690106368
34801190504	689233920
34901191621	692117504
35001181407	693952512
