time	rss	kernel
0	651264	167936
100714488	3133440	335872
200725054	3133440	335872
300718358	3133440	335872
400718230	3133440	335872
500716877	3133440	335872
600717455	3133440	335872
700715872	3133440	335872
800719198	3133440	335872
900716186	3133440	335872
1000716575	3133440	335872
1100695455	3133440	335872
1200717547	3133440	335872
1300719252	3133440	335872
1400718490	3133440	335872
1500718186	3133440	335872
1600716218	3133440	335872
1700716893	3133440	335872
1800718293	3133440	335872
1900712553	3133440	335872
2000712374	3100672	335872
2100713666	3100672	335872
2200721788	3743744	335872
2300720446	3874816	335872
2400719047	3874816	335872
2500717631	3874816	335872
2600718810	3874816	335872
2700720371	3874816	335872
2800721488	4136960	335872
2900718685	4136960	335872
3000720688	4268032	335872
3100717176	4268032	335872
3200720433	4268032	335872
3300717796	4268032	335872
3400720181	4399104	335872
3500735031	3227648	339968
3600723236	3227648	339968
3700715925	3227648	339968
3800715207	3227648	339968
3900721385	3227648	339968
4000718996	3227648	339968
4100715644	3227648	339968
4200718745	3227648	339968
4300718131	3227648	339968
4400718306	3227648	339968
4500717759	3227648	339968
4600716205	3227648	339968
4700718279	3227648	339968
4800719259	3227648	339968
4900718220	3227648	339968
5000715122	3227648	339968
5100714722	3227648	339968
5200717278	3227648	339968
5300718473	3227648	339968
5400716197	3227648	339968
5500717172	3227648	339968
5600716134	3227648	339968
5700717456	3358720	339968
5800718176	3358720	339968
5900717512	3358720	339968
6000713333	3358720	339968
6100712451	3358720	339968
6200720144	3358720	339968
6300717901	3358720	339968
6400717584	3358720	339968
6500715748	3358720	339968
6600715001	3358720	339968
6700717299	3358720	339968
6800717745	3358720	339968
