time	rss	kernel
0	581632	151552
100715037	12967936	372736
200731450	13000704	376832
300737192	12525568	376832
400739306	14352384	376832
500737292	18014208	380928
600732723	16883712	385024
700736579	19165184	385024
800735935	17285120	405504
900733859	17203200	405504
1000731971	17297408	405504
1100738224	17223680	405504
1200731782	18501632	405504
1300735247	19419136	405504
1400717521	20664320	405504
1500734555	21843968	405504
1600739075	25513984	413696
1700736485	23146496	413696
1800730495	24825856	413696
1900729727	27611136	417792
2000728322	30101504	421888
2100731401	29720576	425984
2200735997	29978624	425984
2300748651	31817728	430080
2400720121	31449088	430080
2500734343	32239616	430080
2600733732	34992128	430080
2700735713	37089280	434176
2800735786	36937728	434176
2900735858	37199872	434176
3000735855	37330944	434176
3100736134	37330944	434176
3200731897	39690240	438272
3300732706	42573824	446464
3400729415	42835968	446464
3500732974	43491328	446464
3600735669	45064192	450560
3700734989	45195264	450560
3800735076	45195264	450560
3900732156	45981696	450560
4000738968	45981696	450560
4100727980	46112768	450560
4200731731	46112768	450560
4300733885	46112768	450560
4400734804	46505984	450560
4500718873	48209920	454656
4600734114	50438144	458752
4700730603	57384960	471040
4800736862	57036800	487424
4900735316	55812096	487424
5000737823	60923904	487424
5100737478	65642496	487424
5200737814	65642496	487424
5300737861	67084288	491520
5400726505	63352832	491520
5500733983	67960832	507904
5600734972	66564096	524288
5700734731	66535424	528384
5800735754	70373376	528384
5900730593	70504448	528384
6000729255	70635520	528384
6100735027	72339456	528384
6200731941	74305536	528384
6300731254	77320192	528384
6400726383	77320192	528384
6500735218	77320192	528384
6600732890	80334848	528384
6700735634	71278592	528384
6800733962	71446528	528384
6900742472	66682880	528384
7000734672	69697536	528384
7100735170	72269824	528384
7200735051	73711616	528384
7300726899	73588736	528384
7400728791	74752000	528384
7500733973	75014144	528384
7600734952	75079680	528384
7700733962	75210752	528384
7800738688	75735040	528384
7900733522	76128256	528384
8000738279	76259328	528384
8100732793	76390400	528384
8200737490	78880768	528384
8300735670	79273984	528384
8400738941	79405056	528384
8500726636	80191488	528384
8600734486	80191488	528384
8700735459	80846848	528384
8800734686	81240064	528384
8900735822	82288640	528384
9000735350	83730432	528384
9100735484	83992576	528384
9200738016	84516864	528384
9300736013	84779008	528384
9400722968	85041152	528384
9500741777	87400448	528384
9600733058	88186880	528384
9700734875	88711168	528384
9800734695	89628672	532480
9900731617	90415104	532480
10000732503	91070464	536576
10100734610	91070464	536576
10200736815	91725824	536576
10300733361	93167616	536576
10400735709	93429760	540672
10500735911	93691904	540672
10600734672	94085120	540672
10700735078	96444416	544768
10800730896	96444416	544768
10900734133	97099776	544768
11000734348	97624064	544768
11100731897	99065856	548864
11200731519	99328000	548864
11300733514	99328000	548864
11400736075	99721216	548864
11500737183	102342656	557056
11600721320	102604800	557056
11700733812	102735872	557056
