time	rss	kernel
0	569344	131072
100688662	14630912	352256
200697283	19795968	360448
300705625	31907840	397312
400694175	33337344	421888
500711457	37892096	421888
600711195	26734592	421888
700705657	36171776	421888
800709016	34054144	421888
900709143	31850496	421888
1000706122	41943040	421888
1100706781	34148352	438272
1200705623	34902016	438272
1300707594	33411072	438272
1400710965	35368960	438272
1500706060	36286464	438272
1600705338	37990400	438272
1700707748	39809024	438272
1800704377	40333312	438272
1900703040	39055360	438272
2000706376	38862848	438272
2100707115	38846464	438272
2200697559	40202240	438272
2300708638	36007936	438272
2400705329	38236160	438272
2500701131	39284736	438272
2600708242	45031424	438272
2700709097	46366720	438272
2800714162	47226880	438272
2900697944	49848320	438272
3000705326	53256192	442368
3100707357	47022080	442368
3200695120	44007424	442368
3300700674	40517632	442368
3400701341	41828352	442368
3500690044	44056576	442368
3600706945	53100544	446464
3700723319	47435776	450560
3800721572	48832512	454656
3900709428	51224576	454656
4000700774	51355648	454656
4100710837	52535296	454656
4200701337	53846016	454656
4300709250	54546432	454656
4400701364	60289024	458752
4500711569	70119424	483328
4600711512	76476416	503808
4700704096	76607488	503808
4800711537	84996096	516096
4900702011	74506240	516096
5000698194	74637312	516096
5100708168	77291520	516096
5200703745	80699392	516096
5300693386	78368768	516096
5400700354	78499840	516096
5500694367	78917632	516096
5600710617	78888960	516096
5700701918	78888960	516096
5800708380	78921728	516096
5900706683	84951040	516096
6000696880	85082112	516096
6100708590	88227840	516096
6200689591	90456064	520192
6300699543	90456064	520192
6400701158	89759744	520192
6500704925	89759744	520192
6600709591	82714624	520192
6700705057	80769024	520192
6800707634	78487552	520192
6900695699	71749632	520192
7000709201	74240000	520192
7100702345	75550720	520192
7200698888	69709824	520192
7300705065	75345920	520192
7400710551	76804096	520192
7500691817	71995392	532480
7600711582	74633216	532480
7700710350	78958592	532480
7800724796	74850304	532480
7900710416	75767808	532480
8000704036	81272832	532480
8100710058	82190336	532480
8200703811	87957504	532480
8300710847	87957504	532480
8400705745	82829312	532480
8500707478	79671296	532480
8600703830	80982016	532480
8700705894	74289152	532480
8800713115	76517376	532480
8900716814	81498112	532480
9000700796	82284544	532480
9100704812	75726848	532480
9200697615	78610432	532480
9300703674	83197952	532480
9400709867	81936384	532480
9500701898	77471744	532480
9600705436	80748544	532480
9700707652	86908928	532480
9800707248	88612864	532480
9900703437	99885056	536576
10000699611	102375424	540672
10100694831	99491840	548864
10200720679	97800192	548864
10300703103	100745216	548864
10400703861	102973440	548864
10500709562	91639808	557056
10600701421	94523392	557056
10700707658	99373056	557056
10800707482	100421632	557056
10900697110	100421632	557056
11000710473	100421632	557056
11100713836	104091648	557056
11200705621	108679168	557056
11300705630	108810240	557056
11400708875	108810240	557056
11500703368	103223296	557056
11600709087	105058304	557056
11700707380	87199744	573440
11800708205	91787264	573440
11900708434	94015488	573440
12000704826	94670848	573440
12100707470	94801920	573440
12200695983	99127296	573440
12300709066	97542144	573440
12400710173	97542144	573440
12500699932	98066432	573440
12600708975	98103296	573440
12700711098	100331520	573440
12800712301	99663872	573440
12900710302	99028992	573440
13000708594	99352576	573440
13100712086	100007936	573440
13200701173	105312256	573440
13300709153	104857600	573440
13400710196	105512960	573440
13500711182	107347968	573440
13600709312	107872256	573440
13700707608	103383040	573440
13800707799	102887424	573440
13900707400	105652224	573440
14000700336	101842944	573440
14100705022	102105088	573440
14200695031	104857600	573440
14300706440	105512960	573440
14400709438	109260800	573440
14500703169	116600832	581632
14600708876	117387264	581632
14700709448	117518336	581632
14800711006	117518336	581632
14900698182	117518336	581632
15000704281	117780480	581632
15100707335	117780480	581632
15200701848	117911552	581632
15300708598	118042624	581632
15400710953	118042624	581632
15500708077	118042624	581632
15600711738	118042624	581632
15700713809	118042624	581632
15800707748	118042624	581632
15900707251	118042624	581632
16000694788	118173696	581632
16100706321	124727296	598016
16200696472	129839104	606208
16300702488	130101248	606208
16400698429	130232320	606208
16500699069	130232320	606208
16600698809	130232320	606208
16700707243	130232320	606208
16800704435	130363392	606208
16900703713	130363392	606208
17000703129	131411968	610304
17100710971	133509120	614400
17200704368	134688768	614400
17300708414	134688768	614400
17400712745	134688768	614400
17500711151	134688768	614400
17600710038	134688768	614400
17700695724	130789376	614400
17800707459	130789376	614400
17900711774	130789376	614400
18000704215	130920448	614400
18100709937	130920448	614400
18200698933	130920448	614400
18300709480	130920448	614400
18400709565	130920448	614400
18500709642	131051520	614400
18600705670	131051520	614400
18700713838	131051520	614400
18800705461	131182592	614400
18900694957	131182592	614400
19000698225	131182592	614400
19100706902	131182592	614400
19200696214	131313664	614400
19300708327	131313664	614400
19400705611	131313664	614400
19500704762	131444736	614400
19600710329	131444736	614400
19700709773	131444736	614400
19800697792	131444736	614400
19900695128	131575808	614400
20000704247	131575808	614400
20100704927	131575808	614400
20200700514	131706880	614400
20300707351	132493312	614400
20400692767	132493312	614400
20500700248	133410816	614400
20600704625	135376896	614400
20700701631	137080832	618496
20800688232	137342976	618496
20900706088	138260480	622592
21000706340	138391552	622592
21100711175	138391552	622592
21200702249	138391552	622592
21302129586	138391552	622592
21400716391	140226560	622592
21500711458	140357632	622592
21600707303	140357632	622592
21700700815	140357632	622592
21800715758	140488704	622592
21900709570	140619776	622592
22000703858	142979072	630784
22100710985	142979072	630784
22200703891	144945152	630784
22300708299	145076224	630784
22400714546	147042304	634880
22500708474	147042304	634880
22600708414	147304448	638976
22700719207	148221952	638976
22800710029	149401600	638976
22901119726	149401600	638976
23000711214	149401600	638976
23100714270	149401600	638976
23200702725	149532672	638976
23300709877	149532672	638976
23401152759	149532672	638976
23500704006	153464832	647168
23600702709	153464832	647168
23700710733	153595904	647168
23800708474	153595904	647168
23900703208	154775552	651264
24000696192	154906624	651264
24100708147	157921280	655360
24200701916	158052352	655360
24300696965	158052352	655360
24400708976	162377728	663552
24500703263	164868096	671744
24600701232	164868096	671744
24700707812	166572032	671744
