time	rss	kernel
0	692224	204800
100605514	20676608	417792
200619131	42172416	458752
300623313	44212224	466944
400621019	37392384	466944
500620460	31961088	483328
600621321	32616448	483328
700623662	44544000	483328
800602373	44027904	483328
900616424	35303424	483328
1000630201	35565568	483328
1100625083	35565568	483328
1200626729	35282944	483328
1300629652	43134976	483328
1400617740	41938944	483328
1500637423	47230976	483328
1600618130	44994560	483328
1700621307	47210496	483328
1800607967	28262400	483328
1900619090	27000832	483328
2000627452	26628096	483328
2100630011	27254784	483328
2200636045	27824128	483328
2300628502	28610560	483328
2400637397	31887360	483328
2500617970	33923072	483328
2600617018	30330880	499712
2700619380	28618752	499712
2800628697	29347840	499712
2900626476	31707136	499712
3000629023	27623424	499712
3100627333	25460736	499712
3200624907	26509312	499712
3300629536	27852800	499712
3400627615	31653888	499712
3500623481	27189248	499712
3600628322	32088064	499712
3700622428	28581888	499712
3800615721	31772672	499712
3900623649	34955264	499712
4000626987	38756352	499712
4100624530	36925440	499712
4200628341	37900288	499712
4300629899	36765696	499712
4400614980	80207872	548864
4500626751	85975040	561152
4600619009	91955200	712704
4700610224	91955200	712704
4800606542	91955200	712704
4900604795	91955200	712704
5000607629	91955200	712704
5100615264	91955200	712704
5200623057	91955200	712704
5300606213	96935936	712704
5400616883	99164160	712704
5500619360	99164160	712704
5600613938	115679232	716800
5700611910	155394048	716800
5800609623	155394048	716800
5900623353	306388992	1011712
6000609077	457383936	1306624
6100615998	457383936	1306624
6200621002	457383936	1306624
6300616746	457383936	1306624
6400622216	457383936	1306624
6500619034	457383936	1306624
6600617967	457383936	1306624
6700613085	460660736	1306624
6800620356	461971456	1306624
6900608791	464461824	1306624
7000622719	126615552	1306624
7100612183	144441344	1310720
7200599842	157679616	1310720
7300614054	158728192	1310720
7400615455	160038912	1310720
7500599765	160956416	1310720
7600618907	165281792	1310720
7700609970	165543936	1310720
7800615799	164102144	1310720
7900603223	164102144	1310720
8000606576	164102144	1310720
8100612840	164102144	1310720
8200609001	164102144	1310720
8300612140	165150720	1310720
8400618404	160182272	1310720
8500622639	160444416	1310720
8600625656	160444416	1310720
8700615045	160444416	1310720
8800610475	160444416	1310720
8900613950	160444416	1310720
9000620365	160444416	1310720
9100618640	160444416	1310720
9200615753	160444416	1310720
9300618648	160444416	1310720
9400610724	160444416	1310720
9500605745	160444416	1310720
9600609538	160444416	1310720
9700609164	160444416	1310720
9800621564	160444416	1310720
9900608967	160444416	1310720
10000621779	160444416	1310720
10100621880	160444416	1310720
10200618289	160444416	1310720
10300615591	160444416	1310720
10400630309	169881600	1310720
10500617725	169881600	1310720
10600615509	169881600	1310720
10700617052	169881600	1310720
10800619453	169881600	1310720
10900606437	169881600	1310720
11000618988	169881600	1310720
11100618912	169881600	1310720
11200612708	168247296	1310720
11300613507	168640512	1310720
11400621846	169033728	1310720
11500624141	167256064	1310720
11600626103	167256064	1310720
11700614068	167256064	1310720
11800626297	167256064	1310720
11900623013	167256064	1310720
12000608822	167256064	1310720
12100619723	167256064	1310720
12200623230	167256064	1310720
12300620554	167256064	1310720
12400616938	167256064	1310720
12500617281	167256064	1310720
12600614595	167256064	1310720
12700613640	167256064	1310720
12800611924	167256064	1310720
12900620952	170532864	1310720
13000622885	170532864	1310720
13100624899	170532864	1310720
13200619204	170532864	1310720
13300617491	166326272	1310720
13400616289	138166272	1310720
13500617120	291913728	1310720
13600597226	337264640	1310720
13700617538	337264640	1310720
13800615339	337264640	1310720
13900606662	337264640	1310720
14000615144	337264640	1310720
14100616508	337264640	1310720
14200617362	337264640	1310720
14300623648	337264640	1310720
14400619784	337264640	1310720
14500617846	337264640	1310720
14600617425	337264640	1310720
14700610387	337264640	1310720
14800621641	337264640	1310720
14900607633	337264640	1310720
15000607665	337264640	1310720
15100621138	337264640	1310720
15200617063	337264640	1310720
15300619578	337264640	1310720
15400621873	360955904	1310720
15500619859	346087424	1310720
15600627035	291135488	1310720
15700616588	151175168	1310720
15800611556	152223744	1310720
15900619276	152616960	1310720
16000627040	150331392	1310720
16100623081	150593536	1310720
16200632697	150593536	1310720
16300641595	150593536	1310720
16400626260	150593536	1310720
16500629630	150593536	1310720
16600871894	150593536	1310720
16700626154	150593536	1310720
16800628046	150593536	1310720
16900614459	150593536	1310720
17000633824	150593536	1310720
17100635157	150593536	1310720
17200630184	150593536	1310720
17300608503	150593536	1310720
17400608592	150593536	1310720
17500602466	150593536	1310720
17600609237	150593536	1310720
17700609422	150593536	1310720
17800621383	152166400	1310720
17900631496	152297472	1310720
18000654189	152297472	1310720
18100718813	152297472	1310720
18200622642	152297472	1310720
18300629458	152297472	1310720
18400630330	152297472	1310720
18500630531	152297472	1310720
18600625861	152297472	1310720
18700613749	152297472	1310720
18800627790	152297472	1310720
18900619458	152297472	1310720
19000616718	152297472	1310720
19100616503	152297472	1310720
19200611660	152297472	1310720
19300611888	152297472	1310720
