time	rss	kernel
0	528384	114688
100636694	12812288	360448
200663001	30277632	393216
300660717	34861056	409600
400670561	69070848	471040
500666812	57929728	471040
600657641	61468672	471040
700678310	61534208	471040
800686180	69791744	479232
900683507	57667584	479232
1000682309	57667584	479232
1100675515	60866560	479232
1200662975	65585152	479232
1300665811	47284224	495616
1400671598	47611904	495616
1500677278	45494272	495616
1600666739	45887488	495616
1700662999	54259712	495616
1800652396	72609792	495616
1900657589	76804096	495616
2000657974	56311808	495616
2100663668	65875968	495616
2200666558	61517824	495616
2300672566	61517824	495616
2400659325	62173184	495616
2500655873	64270336	495616
2600657548	71860224	495616
2700672452	44122112	512000
2800655376	58146816	520192
2900665426	49049600	520192
3000667745	45879296	520192
3100650711	55783424	520192
3200670394	45404160	532480
3300672215	47370240	532480
3400670447	51023872	532480
3500661953	55480320	532480
3600667917	55140352	532480
3700673409	55320576	532480
3800662903	55844864	532480
3900671619	48447488	532480
4000670638	82132992	532480
4100671443	96419840	540672
4200676748	98254848	544768
4300674217	100089856	544768
4400673742	104939520	557056
4500670880	113459200	749568
4600664940	113459200	749568
4700670036	113459200	749568
4800661038	113459200	749568
4900667886	113459200	749568
5000667197	113459200	749568
5100661716	113459200	749568
5200660311	113459200	749568
5300670301	113459200	749568
5400661070	120012800	749568
5500672890	120668160	749568
5600664100	121323520	749568
5700660950	126828544	749568
5800654307	195117056	749568
5900659711	195117056	749568
6000649764	195117056	749568
6100660057	298401792	954368
6200667989	581910528	1511424
6300668195	581910528	1511424
6400663013	581910528	1511424
6500665923	581910528	1511424
6600653991	581910528	1511424
6700664810	581910528	1511424
6800656355	586498048	1515520
6900666162	587022336	1515520
7000666087	587415552	1515520
7100674238	155136000	1515520
7200675354	160116736	1515520
7300667071	190132224	1515520
7400664850	204681216	1515520
7500652286	205729792	1515520
7600661224	207302656	1515520
7700669591	208220160	1515520
7800652894	213331968	1515520
7900661563	213331968	1515520
8000665220	213987328	1515520
8100664734	215691264	1515520
8200665630	209661952	1515520
8300665351	209661952	1515520
8400655912	210186240	1515520
8500663081	210317312	1515520
8600649669	211496960	1515520
8700661879	211759104	1515520
8800650263	212152320	1515520
8900667383	212283392	1515520
9000671750	207052800	1515520
9100674300	207446016	1515520
9200672440	207446016	1515520
9300667332	207446016	1515520
9400683376	207446016	1515520
9500661440	207446016	1515520
9600668038	207446016	1515520
9700661346	207446016	1515520
9800653586	207446016	1515520
9900659336	207446016	1515520
10000664315	207446016	1515520
