time	rss	kernel
0	626688	151552
100642821	12898304	368640
200655089	13062144	372736
300663389	12587008	372736
400661693	14413824	372736
500648271	16322560	376832
600667767	17121280	380928
700663640	19386368	380928
800661955	17022976	401408
900663468	16728064	401408
1000659636	16949248	401408
1100661904	17707008	401408
1200664210	18694144	401408
1300667218	19480576	401408
1400659678	20762624	401408
1500664883	21942272	401408
1600662843	25481216	409600
1700638352	23650304	409600
1800663325	25145344	409600
1900659488	27398144	413696
2000660098	30150656	417792
2100652606	30142464	421888
2200665674	30068736	421888
2300666769	32813056	425984
2400661398	31715328	425984
2500662332	32792576	425984
2600643164	35282944	430080
2700661086	37117952	430080
2800656119	37060608	430080
2900664140	37322752	430080
3000665316	37322752	430080
3100660513	37453824	430080
3200661494	39682048	434176
3300662774	42565632	442368
3400664143	43220992	442368
3500648733	44531712	442368
3600670688	45449216	446464
3700662915	45449216	446464
3800655760	45449216	446464
3900660796	45580288	446464
4000666301	45580288	446464
4100652307	45580288	446464
4200665723	45711360	446464
4300659168	46235648	446464
4400660592	46628864	446464
4500666770	48332800	450560
4600649232	50561024	454656
4700664440	57376768	466944
4800665394	54665216	483328
4900647284	60956672	483328
5000666459	61874176	483328
5100651937	65413120	483328
5200666011	65806336	483328
5300661385	67117056	487424
5400657303	61112320	487424
5500663451	71290880	507904
5600650476	71241728	507904
5700650485	64688128	520192
5800656978	74293248	520192
5900651177	70549504	520192
6000661478	70680576	520192
6100664929	71467008	520192
6200661148	75005952	520192
6300656149	78807040	520192
6400656097	78807040	520192
6500668958	78807040	520192
6600661054	80510976	520192
6700655658	69242880	536576
6800658834	70946816	536576
6900651534	64757760	536576
7000647796	68558848	536576
7100660592	73105408	536576
7200662220	72884224	536576
7300661798	74063872	536576
7400664712	73281536	536576
7500665458	74199040	536576
7600662459	75509760	536576
7700659876	75771904	536576
7800647513	76427264	536576
7900656959	78524416	536576
8000659857	78655488	536576
8100657109	78655488	536576
8200657993	79441920	536576
8300659715	79441920	536576
8400658178	79572992	536576
8500655401	79704064	536576
8600657545	80228352	536576
8700656338	80883712	536576
8800651340	81014784	536576
8900657211	81801216	536576
9000665837	83505152	536576
9100845344	83767296	536576
9200659973	84422656	540672
9300664882	84553728	540672
9400662017	84684800	540672
9500659133	87175168	544768
9600663623	88092672	544768
9700661905	88748032	544768
9800663023	88879104	544768
9900658440	90451968	548864
10000649389	90976256	548864
10100654433	91107328	548864
10200658252	91107328	548864
10300665963	92942336	552960
10400651934	93204480	552960
10500661830	93597696	557056
10600659287	93728768	557056
10700663258	96219136	561152
10800649835	96350208	561152
10900647615	96612352	561152
11000662914	97005568	561152
11100664037	99102720	565248
11200647303	99233792	565248
11300656543	99364864	565248
11400659987	99758080	565248
11500662699	102379520	573440
11600649354	102641664	573440
11700662481	102772736	573440
