time	rss	kernel
0	684032	208896
100653697	26906624	446464
200662244	26906624	446464
300657397	26906624	446464
400654337	26906624	446464
500663779	26906624	446464
600657549	26906624	446464
700654281	26906624	446464
800662932	27168768	446464
900655930	27430912	446464
1000650645	27430912	446464
1100660951	27430912	446464
1200664289	27824128	446464
1300656663	27824128	446464
1400653631	27955200	446464
1500662238	27955200	446464
1600658586	27955200	446464
1700655974	27955200	446464
1800649878	27955200	446464
1900692180	27955200	446464
2000672925	27955200	446464
2100658644	27955200	446464
2200648801	27955200	446464
2300655138	27955200	446464
2400650282	27955200	446464
2500655748	27955200	446464
2600657701	27955200	446464
2700648977	27955200	446464
2800646596	27955200	446464
2900652140	27955200	446464
3000654334	27955200	446464
3100656811	27955200	446464
3200659919	27955200	446464
3300656830	27955200	446464
3400658612	27955200	446464
3500656551	27955200	446464
3600655525	27955200	446464
3700656399	27955200	446464
3800660702	27955200	446464
3900655155	27955200	446464
4000644971	27955200	446464
4100650018	27955200	446464
4200658341	27955200	446464
4300661077	27955200	446464
4400657768	27955200	446464
4500659136	27955200	446464
