time	rss	kernel
0	507904	98304
100788645	26357760	335872
200801066	27013120	335872
300810279	27013120	335872
400808015	27013120	335872
500811017	27013120	335872
600809814	27013120	335872
700812862	27144192	335872
800815760	27144192	335872
900810946	27144192	335872
1000805060	27144192	335872
1100812206	27144192	335872
1201005713	27275264	335872
1300801699	27275264	335872
1400802794	27275264	335872
1500804913	27537408	335872
1600806203	27537408	335872
1700810400	27537408	335872
1800811129	27537408	335872
1900806405	27537408	335872
2000810172	27537408	335872
2100810307	27537408	335872
2200810134	27537408	335872
2300810220	27537408	335872
2400813053	27537408	335872
2500809799	27537408	335872
2600810454	27537408	335872
2700815173	27537408	335872
2800811670	27537408	335872
2900810118	27537408	335872
3000811654	27537408	335872
3100814943	27537408	335872
3200815089	27537408	335872
3300815421	27537408	335872
3400811893	27537408	335872
3500814937	27537408	335872
