time	rss	kernel
0	491520	151552
100648406	8007680	376832
200664053	8007680	376832
300666527	8138752	376832
400671886	8138752	376832
500670738	8138752	376832
600667494	8138752	376832
700676580	11575296	389120
800679664	11575296	389120
900676154	11575296	389120
1000682784	11575296	389120
1100673939	11575296	389120
1200666274	11575296	389120
1300682035	11575296	389120
1400673775	15773696	430080
1500676257	15773696	430080
1600677227	15773696	430080
1700671663	15773696	430080
1800677967	15773696	430080
1900669025	15773696	430080
2000674356	15773696	430080
2100677465	15773696	430080
2200674300	15577088	430080
2300669852	15577088	430080
2400668031	15577088	430080
2500662603	15577088	430080
2600673901	15839232	430080
2700678408	15839232	430080
2800678128	15839232	430080
2900667467	15839232	430080
3000666505	15839232	430080
3100678488	15839232	430080
3200680194	15839232	430080
3300681539	15839232	430080
3400666407	15839232	430080
3500679493	15839232	430080
3600690680	15970304	430080
3700686546	16363520	430080
3800679292	16363520	430080
3900668220	16363520	430080
4000673387	16363520	430080
4100671016	16363520	430080
4200666212	16363520	430080
4300666494	16363520	430080
4400667399	16363520	430080
4500676363	16363520	430080
4600671953	16363520	430080
4700675339	16363520	430080
4800673839	16363520	430080
4900677125	18198528	430080
5000674643	18198528	430080
5100674081	18198528	430080
5200676399	18198528	430080
5300678592	18853888	430080
5400683661	18853888	430080
5500683387	18853888	430080
5600682360	18853888	430080
5700669428	18853888	430080
5800670859	18853888	430080
5900668736	18747392	430080
6000665845	18747392	430080
6100659241	18747392	430080
6200681454	18747392	430080
6300672806	18747392	430080
6400906383	18747392	430080
6500669192	18546688	430080
6600674306	18546688	430080
6700671600	18546688	430080
6800677645	18677760	430080
6900674633	18677760	430080
7000663885	18677760	430080
7100681028	18677760	430080
7200684342	18677760	430080
7300680626	18677760	430080
7400674505	18677760	430080
7500678140	18677760	430080
7600678327	18677760	430080
7700669478	18677760	430080
7800663825	18677760	430080
7900663160	18677760	430080
8000810761	18677760	430080
8100661832	18677760	430080
8200660885	18677760	430080
8300672802	18677760	430080
8400677189	18677760	430080
8500678274	18677760	430080
8600676743	18677760	430080
8700683120	18685952	430080
8800687958	25583616	442368
8900686752	25583616	442368
9000684796	25583616	442368
9100682508	25583616	442368
9200677117	25583616	442368
9300679593	25583616	442368
9400674955	25583616	442368
9500683403	25583616	442368
9600681811	25583616	442368
9700679622	25309184	442368
9800688088	25309184	442368
9900671725	25309184	442368
10000681583	25309184	442368
10100674233	25440256	442368
10200676523	25440256	442368
10300676096	25440256	442368
10400681271	25440256	442368
10500667408	25440256	442368
10600677933	25440256	442368
10700673934	25440256	442368
10800674888	25440256	442368
10900673932	25440256	442368
11000667415	25440256	442368
11100670730	25440256	442368
11200674622	25440256	442368
11300688646	25440256	442368
11400684756	25571328	442368
11500686181	25571328	442368
11600683299	25571328	442368
11700682901	25571328	442368
11800675149	25571328	442368
11900672181	25571328	442368
12000674295	25571328	442368
12100672462	25571328	442368
12200677628	25571328	442368
12300670012	25571328	442368
12400675522	25571328	442368
12500681746	25571328	442368
12600677552	25571328	442368
12700679350	25571328	442368
12800677163	25571328	442368
12900665364	25571328	442368
13000667346	25571328	442368
13100674768	25571328	442368
13200697986	25571328	442368
13300682531	25571328	442368
13400675794	25571328	442368
13500683836	25571328	442368
13600681086	25571328	442368
13700673826	25571328	442368
13800671315	25571328	442368
13900672856	25571328	442368
14000667066	25571328	442368
14100670411	25571328	442368
14200825983	25571328	442368
14300669321	25571328	442368
14400681313	25571328	442368
14500670332	25522176	442368
14600687630	25522176	442368
14700676483	25522176	442368
14800670306	25522176	442368
14900658189	25522176	442368
15000659989	25346048	442368
15100661015	25346048	442368
15200670965	25346048	442368
15300684460	25477120	442368
15400668142	25477120	442368
15500844750	25477120	442368
15600670001	25477120	442368
15700670810	25477120	442368
15800678428	25477120	442368
15900681979	25477120	442368
16001190282	25477120	442368
16100681892	25477120	442368
16200669569	25477120	442368
16300667709	25477120	442368
16401157979	25477120	442368
16500681422	25477120	442368
16600674430	25477120	442368
16700672560	25477120	442368
16800678193	25477120	442368
16900676347	25608192	442368
17000671399	25608192	442368
17100672450	25608192	442368
17200670135	25608192	442368
17300678805	25608192	442368
17400670388	25608192	442368
17500677670	25608192	442368
17600664793	25608192	442368
17700665077	25608192	442368
17800669151	25608192	442368
17900666472	25608192	442368
18000671994	25608192	442368
18100676310	25608192	442368
18200670986	25608192	442368
18300662659	25608192	442368
18400663180	25608192	442368
18500658299	25608192	442368
18600689003	25436160	442368
18700660236	25436160	442368
18800662295	25436160	442368
18900658014	25436160	442368
19000661534	25436160	442368
19100668535	25436160	442368
19200666698	25436160	442368
19300669920	25436160	442368
19400665235	25436160	442368
19500672781	25436160	442368
19600673849	25436160	442368
19700669068	25436160	442368
19800675431	25436160	442368
19900673928	25436160	442368
20000675001	25436160	442368
20100676924	25436160	442368
20200670779	25436160	442368
20300683734	25436160	442368
20400678848	25436160	442368
20500679495	25436160	442368
20600670145	25436160	442368
20700677766	25436160	442368
20800681678	25436160	442368
20900669216	25436160	442368
21000664623	25436160	442368
21100653239	25436160	442368
21200656821	25436160	442368
21300658689	25436160	442368
21400657727	25436160	442368
21500661425	25436160	442368
21600663720	25436160	442368
21700678740	25436160	442368
21800671589	25436160	442368
