time	rss	kernel
0	622592	139264
100764721	33026048	413696
200780144	38793216	421888
300796299	42463232	430080
400793131	45740032	434176
500793098	47706112	438272
600793380	50327552	450560
700792619	52031488	454656
800794204	53866496	458752
900794056	55046144	462848
1000792715	57798656	466944
1100789843	59109376	471040
1200792875	60157952	471040
1300793322	61730816	479232
1400792395	62648320	479232
1500791922	63959040	483328
1600787136	65794048	487424
1700787726	66711552	487424
1800789960	68022272	491520
1900790095	69070848	491520
2000790968	70119424	495616
2100791354	71036928	495616
2200794425	72085504	499712
2300787603	73396224	499712
2400795537	74313728	507904
2500790786	75100160	507904
2600789751	76017664	512000
2700790311	77066240	512000
2800785863	77721600	512000
2900787132	78114816	516096
3000791231	78901248	516096
3100788149	80080896	520192
3200791026	81129472	520192
3300789003	82046976	520192
3400791004	85454848	528384
3500788627	85454848	528384
3600785568	86372352	532480
3700791877	86896640	532480
3800790778	87289856	532480
3900790182	88076288	532480
4000791056	89387008	536576
4100791308	90173440	536576
4200779019	90435584	536576
4300781153	91484160	540672
4400779676	92270592	540672
4500811015	93188096	544768
4600798149	122679296	606208
4700793529	103792640	815104
4800784460	103792640	815104
4900788170	103792640	815104
5000784851	103792640	815104
5100774595	103792640	815104
5200781975	103792640	815104
5300792249	107462656	815104
5400790123	115326976	815104
5500783211	115326976	815104
5600785225	118734848	815104
5700791210	162373632	839680
5800789031	225796096	839680
5900785355	301555712	991232
6000781417	301555712	991232
6100784262	301686784	991232
6200772115	301686784	991232
6300790128	398811136	1179648
6400794745	653746176	1679360
6500787754	881942528	2125824
6600787773	881942528	2125824
6700789283	881942528	2125824
6800786612	881942528	2125824
6900783403	881942528	2125824
7000784646	881942528	2125824
7100800708	881942528	2125824
7200774790	881942528	2125824
7300776262	885612544	2129920
7400785850	886398976	2134016
7500784207	886923264	2138112
7600783375	888233984	2138112
7700784575	888233984	2138112
7800784480	866627584	2146304
7900786362	243712000	2146304
8000789446	288636928	2146304
8100783261	366886912	2146304
8200793750	381698048	2146304
8300788959	382746624	2146304
8400783919	384319488	2146304
8500789543	385105920	2146304
8600787196	389562368	2146304
8700786242	390217728	2146304
8800789074	391528448	2146304
8900787849	392708096	2146304
9000788755	393887744	2146304
9100785705	395067392	2146304
9200791826	396378112	2146304
9300785810	414990336	2146304
9400782012	416432128	2146304
9500775976	416432128	2146304
9600780309	416432128	2146304
9700784811	416432128	2146304
9800782039	416432128	2146304
9900777677	416432128	2146304
