time	rss	kernel
0	638976	208896
100612858	21180416	466944
200624132	42676224	532480
300634441	47525888	548864
400627118	36167680	548864
500631201	43642880	569344
600627237	33308672	569344
700631882	34947072	569344
800629034	54337536	602112
900636146	37490688	626688
1000644079	37502976	626688
1100631963	36392960	626688
1200618372	34500608	626688
1300629052	44421120	626688
1400634627	48820224	626688
1500635387	51441664	630784
1600635440	49254400	630784
1700635821	52006912	630784
1800626311	52531200	630784
1900633957	29937664	630784
2000635613	32788480	630784
2100639407	38342656	630784
2200625361	39575552	638976
2300629339	31608832	638976
2400635277	34590720	638976
2500630293	38014976	638976
2600643909	39981056	655360
2700638761	34811904	655360
2800624893	31178752	659456
2900632314	34586624	659456
3000631328	31383552	659456
3100634200	33071104	659456
3200623847	28532736	659456
3300633120	32542720	659456
3400640674	32100352	659456
3501242249	32067584	667648
3600632673	31784960	667648
3700632225	34799616	671744
3800632390	35844096	671744
3900632800	34664448	671744
4000630545	39899136	671744
4100631332	41734144	675840
4200618754	36962304	675840
4300628929	39153664	675840
4400632585	77950976	724992
4500602657	90140672	749568
4600624352	96313344	901120
4700629374	96313344	901120
4800625159	96313344	901120
4900619504	96313344	901120
5000621229	96313344	901120
5100627646	96313344	901120
5200620716	96313344	901120
5300619567	101556224	901120
5400628068	102879232	901120
5500620920	102879232	901120
5600626393	119525376	901120
5700626364	159764480	901120
5800616259	159764480	901120
5900641413	310890496	1200128
6000633832	462016512	1490944
6100628382	462016512	1490944
6200615398	462016512	1490944
6300628068	462016512	1490944
6400631478	462016512	1490944
6500627822	462016512	1490944
6600628135	462016512	1490944
6700622677	465293312	1490944
6800614190	465948672	1490944
6900620672	391163904	1490944
7000627599	133214208	1490944
7100614373	162050048	1490944
7200613567	164409344	1490944
7300621925	164933632	1490944
7400618570	166113280	1490944
7500626871	167030784	1490944
7600619180	171225088	1490944
7700626836	172666880	1490944
7800626980	174108672	1490944
7900620365	174108672	1490944
8000616926	174108672	1490944
8100615794	174108672	1490944
8200610477	174108672	1490944
8300622377	174108672	1490944
8400628034	174108672	1490944
8500626337	154468352	1490944
8600619755	154398720	1490944
8700623880	154857472	1490944
8800631647	154824704	1490944
8900629166	154431488	1490944
9000620449	154464256	1490944
9100627884	154533888	1490944
9200613753	154435584	1490944
9300628977	154537984	1490944
9400626990	154505216	1490944
9500623980	154472448	1490944
9600628667	154537984	1490944
9700626714	154537984	1490944
9800617108	154472448	1490944
9900616040	154505216	1490944
10000629145	154505216	1490944
10100627091	154570752	1490944
10200619437	154472448	1490944
10300637660	154472448	1490944
10400627964	154537984	1490944
10500635204	169676800	1490944
10600647539	169676800	1490944
10700634878	169676800	1490944
10800624123	169676800	1490944
10900632969	169676800	1490944
11000630156	169676800	1490944
11100621891	169676800	1490944
11200619271	163467264	1490944
11300627577	154574848	1490944
11400630040	154566656	1490944
11500630522	153833472	1490944
11600646296	153182208	1490944
11700627984	152559616	1490944
11800631572	153542656	1490944
11900626046	153149440	1490944
12000629891	153247744	1490944
12100627803	153214976	1490944
12200617042	153247744	1490944
12300628782	153214976	1490944
12400619639	153149440	1490944
12503213969	153149440	1490944
12600620508	153214976	1490944
12700625606	153247744	1490944
12800623523	153247744	1490944
12900621725	153182208	1490944
13000630257	165208064	1503232
13100644810	165208064	1503232
13200629490	165208064	1503232
13300632650	165208064	1503232
13400630410	155193344	1503232
13500632816	155193344	1503232
13600629656	306450432	1503232
13700629623	351801344	1503232
13800616787	351801344	1503232
13900613768	351801344	1503232
14000623365	351801344	1503232
14100627318	351801344	1503232
14200615455	351801344	1503232
14300628559	351801344	1503232
14400626830	351801344	1503232
14500635182	351801344	1503232
14600629611	351801344	1503232
14700619553	351801344	1503232
14800621699	351801344	1503232
14900625241	351801344	1503232
15000625700	351801344	1503232
15100631271	351801344	1503232
15200616099	351801344	1503232
15300624609	351801344	1503232
15400629673	351801344	1503232
15500629069	351801344	1503232
15600630616	382472192	1503232
15700625913	361443328	1503232
15800634016	235237376	1798144
15900636855	148361216	1798144
16000629088	143429632	1798144
16100630204	146309120	1798144
16200612926	143360000	1798144
16300637961	149438464	1798144
16400626357	149430272	1798144
16500636023	149487616	1798144
16600625887	150245376	1798144
16700645112	150908928	1798144
16800639714	149397504	1798144
16900647497	147259392	1798144
17000620034	150327296	1798144
17100639394	150859776	1798144
17200625408	150953984	1798144
17300623868	150953984	1798144
17400635307	150929408	1798144
17500632963	150360064	1798144
17600625833	150962176	1798144
17700623372	150962176	1798144
17800615753	150962176	1798144
17900616959	150962176	1798144
18000620911	150962176	1798144
18100631695	154632192	1798144
18200626457	148856832	1798144
18300634749	149549056	1798144
18400628727	148914176	1798144
18500628769	148914176	1798144
18600632801	149610496	1798144
18700638027	149528576	1798144
18800630979	149524480	1798144
18900631183	150429696	1798144
19000629670	147398656	1798144
19100622638	147398656	1798144
19200623156	151031808	1798144
19300634633	151097344	1798144
19400628370	151109632	1798144
19500622474	151109632	1798144
19600624284	151109632	1798144
19700620164	151109632	1798144
19800622983	151109632	1798144
19900633718	150876160	1798144
20000626830	143482880	1798144
20100630191	142348288	1798144
20200618514	142045184	1798144
20300623543	142008320	1798144
20400628962	142360576	1798144
20500625585	141967360	1798144
20600624691	141688832	1798144
20700622350	142327808	1798144
20800627779	142032896	1798144
20900626093	142004224	1798144
21000617487	141602816	1798144
21100622479	142053376	1798144
21200616603	142024704	1798144
21300643988	142016512	1798144
21400624014	141987840	1798144
21500632014	205438976	1798144
21600630537	164458496	1798144
21700632203	164450304	1798144
21800632780	174424064	1798144
21900624357	175783936	1798144
22000632716	177885184	1798144
22100633817	179507200	1798144
22200619507	180674560	1798144
22300629760	183689216	1798144
22400630060	183689216	1798144
22500634119	178397184	1798144
22600632951	178397184	1798144
22700632984	178397184	1798144
22800621808	178397184	1798144
22900615718	184295424	1798144
23000629674	194650112	1798144
23100631286	194650112	1798144
23200618540	203169792	1798144
23300640258	206970880	1798144
23400634587	189243392	1798144
23500627864	189243392	1798144
23600627853	189243392	1798144
23700619536	189243392	1798144
23800629850	189243392	1798144
23900627314	189243392	1798144
24000620377	189243392	1798144
24100618779	189243392	1798144
24200633051	189243392	1798144
24300637162	181719040	1798144
24400630466	182951936	1798144
24500622268	184184832	1798144
24600622407	185417728	1798144
24700628585	185827328	1798144
24800635428	185827328	1798144
24900635633	208502784	1798144
25000623542	211779584	1798144
25100633962	211779584	1798144
25200620151	211910656	1798144
25300626997	168587264	1798144
25400630256	124276736	1798144
25500627293	136073216	1798144
25600631537	136073216	1798144
25700635319	125313024	1798144
25800636664	125284352	1798144
25900634592	135856128	1798144
26000623453	142147584	1798144
26100626877	134590464	1798144
26200616034	127119360	1798144
26300629935	126849024	1798144
26400627919	125497344	1798144
26500621438	129036288	1798144
26600632098	132182016	1798144
26700625479	136507392	1798144
26800628145	137293824	1798144
26900630030	134160384	1798144
27000622010	126500864	1798144
27100635921	126763008	1798144
27200619071	123191296	1798144
27300632927	127385600	1798144
27400637439	127516672	1798144
27500636097	126840832	1798144
27600627123	122363904	1798144
27700632700	127193088	1798144
27800634883	122404864	1798144
27900633002	125104128	1798144
28000629220	132182016	1798144
28100622946	128577536	1798144
28200619688	128352256	1798144
28300632966	136355840	1798144
28400632189	129552384	1798144
28500631195	130564096	1798144
28600631420	131620864	1798144
28700602358	130187264	1798144
28800632975	132481024	1798144
