time	rss	kernel
0	614400	184320
100688052	12693504	401408
200704636	32223232	450560
300701033	58568704	499712
400699643	69840896	528384
500706514	74035200	536576
600708996	79933440	548864
700689696	89632768	565248
800695982	89632768	565248
900702951	89632768	565248
1000720470	95268864	577536
1100703369	90841088	585728
1200690889	93655040	589824
1300716850	103354368	602112
1400688874	160501760	712704
1500700028	160501760	712704
1600699856	160501760	712704
1700690615	405606400	1191936
1800698490	443748352	1265664
1900687231	443748352	1265664
2000697342	443748352	1265664
2100696193	443748352	1265664
2200697408	446894080	1273856
2300695634	447418368	1273856
2400694211	448598016	1273856
2500704527	129548288	1282048
2600699397	144359424	1298432
2700701055	170311680	1298432
2800698704	171753472	1298432
2900693253	173588480	1298432
3000696098	178307072	1298432
3100692416	178962432	1298432
3200695176	179879936	1298432
3300700703	183672832	1298432
3400680521	184983552	1298432
3500693953	184983552	1298432
3600698481	184983552	1298432
3700697447	184983552	1298432
3800696775	184983552	1298432
3900696590	184983552	1298432
4000701974	184983552	1298432
4100692418	163356672	1298432
4200705167	163401728	1298432
4300695965	163721216	1298432
4400692710	163364864	1298432
4500705247	163741696	1298432
4600701775	163311616	1298432
4700703160	163356672	1298432
4800691451	163340288	1298432
4900707427	163397632	1298432
5000706896	163356672	1298432
5100704371	163315712	1298432
5200698026	163405824	1298432
5300697068	163364864	1298432
5400698265	163332096	1298432
5500705146	163422208	1298432
5600713011	163414016	1298432
5700701888	172457984	1298432
5800695867	172457984	1298432
5900696822	172457984	1298432
6000703900	172457984	1298432
6100694747	172457984	1298432
6200699974	172457984	1298432
6300693520	165253120	1298432
6400684857	162615296	1298432
6500706561	162607104	1298432
6600702850	164044800	1298432
6700695589	161566720	1298432
6800706766	161550336	1298432
6900700865	161619968	1298432
7000706257	161603584	1298432
7100706124	161587200	1298432
7200703590	161570816	1298432
7300701556	161554432	1298432
7400695964	161583104	1298432
7500700135	161611776	1298432
7600703722	161640448	1298432
7700706117	161624064	1298432
7800701146	161652736	1298432
7900706516	161681408	1298432
8000703581	161579008	1298432
8100700797	173903872	1314816
8200695317	173903872	1314816
8300694694	173903872	1314816
8400686202	173903872	1314816
8500692835	173903872	1314816
8600693026	159260672	1314816
8700696253	159522816	1314816
8800687669	283648000	1626112
8900699521	352854016	1626112
9000694461	352854016	1626112
9100702424	416161792	1626112
9200690560	416161792	1626112
9300692220	416161792	1626112
9400692097	416161792	1626112
9500697602	416161792	1626112
9600700815	416161792	1626112
9700686973	416161792	1626112
9800690215	416161792	1626112
9900689168	416161792	1626112
10000689639	416161792	1626112
10100691003	416161792	1626112
10200679990	416161792	1626112
10300694564	416161792	1626112
10400693069	416161792	1626112
10500699514	416161792	1626112
10600683571	416161792	1626112
10700703307	416161792	1626112
10800692133	416161792	1626112
10900688400	416161792	1626112
11000699433	416161792	1626112
11100688969	416161792	1626112
11200689374	416161792	1626112
11300686890	416161792	1626112
11400682586	416161792	1626112
11500688253	416161792	1626112
11600690815	416161792	1626112
11700692612	416161792	1626112
11800693561	416161792	1626112
11900684684	403410944	1626112
12000692481	393969664	1679360
12100685454	297570304	2002944
12200703087	131002368	2002944
12300694162	127647744	2002944
