time	rss	kernel
0	630784	151552
100693830	41349120	450560
200711135	92598272	557056
300692621	93253632	557056
400697628	93777920	561152
500703269	101249024	573440
600703394	101249024	573440
700703324	101249024	573440
800701616	101249024	573440
900705002	112259072	593920
1000714079	114044928	602112
1100710516	116928512	614400
1200784035	159657984	700416
1300696071	159657984	700416
1400713893	254291968	884736
1500711129	484061184	1335296
1600705869	702558208	1757184
1700709115	702558208	1757184
1800701522	702558208	1757184
1900701097	702558208	1757184
2000693708	702558208	1757184
2100702684	702558208	1757184
2200692376	702558208	1757184
2300693396	702558208	1757184
2400698641	702558208	1757184
2500697496	702558208	1757184
2600702100	702558208	1757184
2700707823	706228224	1765376
2800700245	708194304	1765376
2900694987	713961472	1773568
3000697270	141381632	1777664
3100695966	145707008	1777664
3200689939	174280704	1777664
3300679572	176377856	1777664
3400689089	177557504	1777664
3500674014	178999296	1777664
3600696010	183848960	1777664
3700678946	183980032	1777664
3800689730	184897536	1777664
3900688680	185815040	1777664
4000676645	186863616	1777664
4100685844	188043264	1777664
4200690154	189091840	1777664
4300682337	190001152	1777664
4400685015	190918656	1777664
4500697759	191967232	1777664
4600694643	209268736	1777664
4700683747	209268736	1781760
4800688272	209268736	1781760
4900687778	209268736	1781760
5000682280	209268736	1781760
5100686283	209268736	1781760
5200692722	209268736	1781760
5300683654	209268736	1781760
5400693015	209268736	1781760
5500694765	209268736	1781760
5600698771	209268736	1781760
5700698606	209268736	1781760
5800688938	209268736	1781760
5900693102	209268736	1781760
6000688637	209268736	1781760
6100700968	209268736	1781760
6200695879	172167168	1781760
6300689560	160829440	1781760
6400701020	161361920	1781760
6500698177	160763904	1781760
6600682810	160833536	1781760
6700702550	159911936	1781760
6800685863	160899072	1781760
6900692454	160837632	1781760
7000693831	160776192	1781760
7100696438	160903168	1781760
7200703634	161304576	1781760
7300685946	160841728	1781760
7400702334	161435648	1781760
7500691143	161431552	1781760
7600697341	161435648	1781760
7700705332	160800768	1781760
7800697512	160849920	1781760
7900694803	160501760	1781760
8000685106	160813056	1781760
8100696001	160862208	1781760
8200715206	160911360	1781760
8300688873	160825344	1781760
8400688398	160874496	1781760
8500700969	160919552	1781760
8600699878	160837632	1781760
8700701867	160882688	1781760
8800695889	160931840	1781760
8900700141	160845824	1781760
9000690281	164593664	1781760
9100708051	170622976	1781760
9200701401	170622976	1781760
9300700358	170622976	1781760
9400706462	170622976	1781760
9500706381	170622976	1781760
9600701118	170622976	1781760
9700703011	170622976	1781760
9800695957	170622976	1781760
9900724160	170622976	1781760
10000715776	170622976	1781760
10100712105	170622976	1781760
10200709386	170622976	1781760
10300706058	170622976	1781760
10400705432	161632256	1781760
10500699543	161628160	1781760
10600681832	161619968	1781760
10700699046	161615872	1781760
10800702297	161611776	1781760
10900708135	159301632	1781760
11000701532	159268864	1781760
11100700067	159367168	1781760
11200702985	159334400	1781760
11300693914	158113792	1781760
11400701228	159260672	1781760
11500689619	159358976	1781760
11600698442	159318016	1781760
11700700365	159285248	1781760
11800683591	159375360	1781760
11900698589	159342592	1781760
12000696447	159301632	1781760
12100692412	159399936	1781760
12200695793	158179328	1781760
12300695709	159326208	1781760
12400687925	159285248	1781760
12500940213	159375360	1781760
12600698419	159342592	1781760
12700695945	159301632	1781760
12800702364	159391744	1781760
12900698624	159358976	1781760
13000689037	159318016	1781760
13100707768	159416320	1781760
13200694051	159375360	1781760
13300694120	159342592	1781760
13400695881	159432704	1781760
13500690754	159391744	1781760
13600708687	171622400	1781760
13700693330	171622400	1781760
13800710832	171622400	1781760
13900696853	171622400	1781760
14000691728	171622400	1781760
14100704589	171622400	1781760
14200707178	171622400	1781760
14300699402	171622400	1781760
14400706465	171622400	1781760
14500704050	171622400	1781760
14600693904	171622400	1781760
14700697697	171622400	1781760
14800706292	171622400	1781760
14900947263	341622784	2338816
15000699819	443064320	2338816
15100701891	447389696	2338816
15200709114	641900544	2338816
15300697232	641900544	2338816
15400706730	641900544	2338816
15500693549	641900544	2338816
15600704797	641900544	2338816
15700704122	641900544	2338816
15800697262	641900544	2338816
15900700487	641900544	2338816
16000690288	641900544	2338816
16100697824	641900544	2338816
16200704568	641900544	2338816
16300689547	641900544	2338816
16400689610	641900544	2338816
16500701919	641900544	2338816
16600702359	641900544	2338816
16700702383	641900544	2338816
16800703142	641900544	2338816
16900718804	641900544	2338816
17000681565	641900544	2338816
17100703645	641900544	2338816
17200702760	641900544	2338816
17300687060	641900544	2338816
17400698293	641900544	2338816
17500699210	641900544	2338816
17600694848	641900544	2338816
17700679471	641900544	2338816
17800699927	641900544	2338816
17900698170	641900544	2338816
18000702124	641900544	2338816
18100698746	641900544	2338816
18200696459	641900544	2338816
18300687357	641900544	2338816
18400700822	641900544	2338816
18500702168	641900544	2338816
18600687362	641900544	2338816
18700704263	641900544	2338816
18800687969	641900544	2338816
18900713275	739155968	2338816
19000700372	869703680	2498560
19100703860	839610368	2756608
19200710676	755908608	2756608
19300700837	159727616	2756608
19400706075	458833920	3334144
19500691831	164458496	3334144
19600697118	154603520	3334144
19700703324	154730496	3334144
19800699960	153698304	3334144
19900702555	154607616	3334144
20000717455	160133120	3334144
20100714754	170561536	3334144
20201137363	164679680	3334144
20300702482	165765120	3334144
20400711818	161128448	3334144
20500716875	159870976	3334144
20600734746	163356672	3334144
20700721697	173363200	3334144
20800718272	170921984	3334144
20900740582	170573824	3334144
21000717085	166903808	3334144
21100723223	163405824	3334144
21200710082	177627136	3334144
21300704436	175267840	3334144
21400719640	174047232	3334144
21500710603	167202816	3334144
21600725507	160301056	3334144
21700718025	164409344	3334144
21800723913	170672128	3334144
21900705821	172908544	3334144
22000713614	159903744	3334144
22100721281	170881024	3334144
22200711069	165916672	3379200
22300705077	163622912	3485696
22400709580	172347392	3588096
22500729890	173572096	3694592
22600725358	176095232	3809280
22700709081	171356160	3919872
22800711873	169336832	4042752
22900713982	168443904	4157440
23000729653	168501248	4280320
23100729111	162205696	4399104
23200710615	177156096	4530176
23300711379	170233856	4640768
23400722845	170340352	4763648
23500727495	177803264	4874240
23600730457	176828416	4997120
23700716458	174551040	5128192
23800714145	171139072	5251072
23900701866	153051136	5332992
24000686657	160391168	5337088
24100693845	157757440	5337088
24200694714	157749248	5337088
24300690840	157741056	5337088
24400706287	155164672	5337088
24500701919	155156480	5337088
24600700087	155049984	5337088
24700686152	155172864	5337088
