time	rss	kernel
0	634880	167936
100722599	45236224	479232
200784297	62930944	516096
300734908	66600960	520192
400768058	69615616	532480
500754748	82722816	569344
600744334	196755456	794624
700753608	196755456	794624
800719324	199114752	798720
900731300	135745536	802816
1000731708	135876608	811008
1100733409	135876608	811008
1200741746	135876608	811008
1300754603	135876608	811008
1400754758	135876608	811008
1500718500	99655680	811008
1600764536	90071040	811008
1700742076	90284032	811008
1800747636	90124288	811008
1900716306	90091520	811008
2000757223	101658624	811008
2100774083	101658624	811008
2200750675	101658624	811008
2300788473	90071040	811008
2400727541	90062848	811008
2500762571	89133056	811008
2600752760	100593664	815104
2700754833	100593664	815104
2800731596	88506368	815104
2900774482	157843456	929792
3001084341	187334656	929792
3100720579	187334656	929792
3200790482	187334656	929792
3300728643	187334656	929792
3400803958	187334656	929792
3500723721	187334656	929792
3600717050	187334656	929792
3700716448	187334656	929792
3800727588	187334656	929792
3900748374	187334656	929792
4000731683	210530304	929792
4100754657	155779072	1048576
4200759850	94711808	1048576
4300748989	91041792	1048576
4400745644	91693056	1048576
4500751844	94982144	1048576
4600748117	95477760	1048576
4700753855	95580160	1048576
4800729988	93265920	1048576
4900746908	93388800	1048576
5000722826	94355456	1048576
5100727038	94842880	1048576
5200760998	122458112	1048576
5300756356	122458112	1048576
5400730103	118796288	1060864
5500748438	121409536	1060864
5600748597	122875904	1060864
5700755733	124841984	1060864
5800730159	124841984	1060864
5900760620	133230592	1060864
6000752667	133230592	1060864
6100748899	133230592	1060864
6200754299	133230592	1060864
6300748769	133230592	1060864
6400767931	133230592	1060864
6500723790	133230592	1060864
6600772103	133230592	1060864
6700724320	133230592	1060864
6800775790	133230592	1060864
6900726701	133230592	1060864
7000777735	133230592	1060864
7100725815	133230592	1060864
7200758857	133230592	1060864
7300764857	133230592	1060864
7400769235	133230592	1060864
7500717500	133230592	1060864
7600745544	133230592	1060864
7700733459	133230592	1060864
7800753701	133230592	1060864
7900748866	133230592	1060864
8000755724	133230592	1060864
8100719532	133230592	1060864
8200768161	133230592	1060864
8300721789	133230592	1060864
8400774874	133230592	1060864
8500764201	133230592	1060864
8600721889	133230592	1060864
8700767752	133230592	1060864
8800734271	133230592	1060864
8900752827	110678016	1060864
9000729938	140816384	1060864
9100749541	143962112	1060864
9200734524	144486400	1060864
9300750089	145272832	1060864
9400730321	145272832	1060864
9500734308	145272832	1060864
9600745602	145272832	1060864
9700734604	145272832	1060864
9800750791	145272832	1060864
9900733401	145272832	1060864
10000753525	123043840	1060864
10100734816	123633664	1060864
10200755368	133332992	1060864
10300749625	133332992	1060864
10400733793	111071232	1077248
10500758254	111071232	1077248
10600728477	74244096	1077248
10700745454	76341248	1077248
10800730117	79486976	1077248
10900767921	144891904	1187840
11000760385	199680000	1294336
11100755741	201908224	1294336
11200753765	138731520	1294336
11300724091	138731520	1294336
11400748539	138731520	1294336
11500748068	138731520	1294336
11600726058	97718272	1294336
11700743134	97718272	1294336
11800756188	97718272	1294336
11900729730	84254720	1294336
12000755865	84074496	1294336
12100721399	84058112	1294336
12200722167	84082688	1294336
12300754672	95600640	1302528
12400748317	95600640	1302528
12500720702	84000768	1302528
12600731759	83992576	1302528
12700734446	83988480	1302528
12800728955	83136512	1302528
12900775421	94457856	1302528
13000752140	94457856	1302528
13100755144	94457856	1302528
13200726670	153833472	1413120
13300767735	181096448	1413120
13400718095	181096448	1413120
13500770143	181096448	1413120
13600715726	181096448	1413120
13700767391	181096448	1413120
13800717340	181096448	1413120
13900773834	181096448	1413120
14000713642	181096448	1413120
14100731479	181096448	1413120
14200732558	181096448	1413120
14300762788	198377472	1413120
14400773012	211472384	1531904
14500725498	86089728	1531904
14600767427	86130688	1531904
14700723640	88006656	1531904
14800763742	88993792	1531904
14900725949	85430272	1531904
15000735055	84475904	1531904
15100748134	84500480	1531904
15200717997	84525056	1531904
15300734453	109297664	1531904
15400754082	109297664	1531904
15500718443	92557312	1531904
15600728941	92549120	1531904
15700757052	94474240	1531904
15800731827	94474240	1531904
15900753120	94474240	1531904
16000749080	102469632	1531904
16100733336	102469632	1531904
16200753979	102469632	1531904
16300746947	102469632	1531904
16400746011	102469632	1531904
16500748226	102469632	1531904
16600730806	102469632	1531904
16700814160	102469632	1531904
16800725699	102469632	1531904
16900802263	102469632	1531904
17000714736	102469632	1531904
17100766072	102469632	1531904
17200707920	102469632	1531904
17300759675	102469632	1531904
17400765560	102469632	1531904
17500791476	102469632	1531904
17600728404	102469632	1531904
17700763971	102469632	1531904
17800747130	102469632	1531904
17900766946	102469632	1531904
18000745474	102469632	1531904
18100760489	102469632	1531904
18200747879	102469632	1531904
18300765353	108630016	1531904
18400721982	108781568	1536000
18500766315	128966656	1536000
18600750361	128966656	1536000
18700728723	130277376	1536000
18800732918	130408448	1536000
18900751624	130408448	1536000
19000731942	130408448	1536000
19100743457	130408448	1536000
19200746351	130408448	1536000
19300766913	130539520	1536000
19400718880	105975808	1536000
19500758153	106041344	1536000
19600753714	110235648	1536000
19700731089	115871744	1536000
19800745771	115871744	1536000
