time	rss	kernel
0	565248	151552
100675391	45867008	438272
200705754	65134592	479232
300699180	65134592	479232
400706799	65134592	479232
500699535	70508544	491520
600707575	99999744	565248
700706186	131457024	634880
800710381	149544960	667648
900708652	330817536	1024000
1000698808	330817536	1024000
1100708137	330817536	1024000
1200711096	333307904	1028096
1300706378	334356480	1028096
1400707185	113262592	1032192
1500707708	137502720	1032192
1600696329	138944512	1032192
1700706891	139730944	1032192
1800710210	141303808	1032192
1900707908	141828096	1032192
2000703886	141828096	1032192
2100705714	141828096	1032192
2200705170	141828096	1032192
2300709262	142352384	1032192
2400713134	135553024	1040384
2500713029	135499776	1044480
2600705208	135483392	1044480
2700704844	135286784	1044480
2800703723	135258112	1044480
2900702848	135258112	1044480
3000711629	135524352	1044480
3100711434	135331840	1048576
3200708982	135348224	1048576
3300698785	135282688	1048576
3400713383	135331840	1048576
3500707076	135266304	1048576
3600702182	135315456	1048576
3700710186	135282688	1048576
3800716164	147275776	1048576
3900716564	147275776	1048576
4000723002	147275776	1048576
4100717330	147275776	1048576
4200723226	124063744	1048576
4300713276	115978240	1048576
4400709089	115970048	1048576
4500716201	115085312	1048576
4601055769	115068928	1048576
4701109361	115167232	1048576
4800710789	115052544	1048576
4900713247	115118080	1048576
5000700834	115068928	1048576
5100700197	115134464	1048576
5200708362	115134464	1048576
5300709295	115150848	1048576
5400706827	115068928	1048576
5500706065	115134464	1048576
5600699899	115052544	1048576
5700706557	115118080	1048576
5800706996	115609600	1048576
5900718201	128143360	1048576
6000720637	128143360	1048576
6100726363	128143360	1048576
6200716677	128143360	1048576
6300720201	128274432	1048576
6400718050	246763520	1269760
6500715506	291065856	1269760
6600701267	291065856	1269760
6700707185	291065856	1269760
6800705931	291065856	1269760
6900695929	291065856	1269760
7000700616	291065856	1269760
7100699581	291065856	1269760
7200701144	291065856	1269760
7300704674	291065856	1269760
7400706403	291065856	1269760
7500701207	291065856	1269760
7600693555	291065856	1269760
7700697591	291065856	1269760
7800701621	291065856	1269760
7900705182	291065856	1269760
8000706545	291065856	1269760
8100689852	291065856	1269760
8200701029	291065856	1269760
8300699055	291065856	1269760
8400702956	291065856	1269760
8500698616	291065856	1269760
8600699608	291065856	1269760
8700705090	291065856	1269760
8800706129	291065856	1269760
8900699470	291065856	1269760
9000696282	291065856	1269760
9100702571	291065856	1269760
9200703586	291065856	1269760
9300700576	291065856	1269760
9400704724	291065856	1269760
9500701164	291065856	1269760
9600696415	291065856	1269760
9700704563	291065856	1269760
9800716442	348430336	1269760
9900714670	141733888	1351680
10000712562	118517760	1503232
10100700228	116350976	1503232
10200712463	116301824	1503232
10300711794	120107008	1503232
10400714002	120578048	1503232
10500706345	116297728	1503232
10600699494	115363840	1503232
10700707817	115351552	1503232
10800702200	115318784	1503232
10900704231	115585024	1503232
11000703978	115269632	1503232
11100700817	115359744	1503232
11200694153	115372032	1503232
11300707908	115384320	1503232
11400703046	115396608	1503232
11500710285	115277824	1503232
11600713909	158355456	1503232
11700707579	147611648	1503232
11800711437	149110784	1503232
11900708965	151994368	1503232
12000708179	153616384	1503232
12100703657	155713536	1503232
12200715094	155713536	1503232
12300702742	155713536	1503232
12400695781	170131456	1503232
12500708605	170131456	1503232
12600701403	139927552	1503232
12700715110	169140224	1503232
12800708367	172023808	1503232
12902639445	172023808	1503232
13000705362	172023808	1503232
13100705710	172023808	1503232
13200705265	172023808	1503232
13300709969	172023808	1503232
13400706488	172023808	1503232
13500702568	172023808	1503232
13600701337	172023808	1503232
13700709140	156237824	1503232
13800715079	157421568	1503232
13900711288	159105024	1503232
14000710024	159105024	1503232
14100700430	166051840	1503232
14200709537	178896896	1503232
14300716171	170483712	1503232
14400697160	170483712	1503232
14500712710	88743936	1523712
14600706756	83578880	1523712
14700711377	87379968	1523712
14800709280	85852160	1523712
14900711648	89522176	1523712
15000709582	119275520	1523712
15100713387	121110528	1523712
15200694843	121110528	1523712
15300711041	94629888	1523712
15400712221	94609408	1523712
15500713101	105746432	1523712
15600705317	94326784	1523712
15700703656	94093312	1523712
15800709734	94068736	1523712
15900708072	118996992	1523712
16000699428	120438784	1523712
16100690836	120438784	1523712
16200693074	120438784	1523712
16300705329	129011712	1523712
16400717606	96591872	1523712
16500710164	96382976	1523712
16600706920	94638080	1523712
16700702443	94535680	1523712
16800713575	104038400	1523712
16900709629	101203968	1523712
17000710531	105136128	1523712
17100709851	107495424	1523712
17200710810	114573312	1523712
17300713014	114573312	1523712
17400714276	114966528	1523712
17500706802	111464448	1523712
17600703615	114479104	1523712
17700703040	115396608	1523712
17800698978	103956480	1523712
17900710739	107495424	1523712
18000712163	95178752	1523712
18100702441	94699520	1523712
18200713703	89714688	1523712
18300707667	91930624	1523712
18400709383	94101504	1523712
18500709248	95936512	1523712
18600708635	86450176	1523712
18700710020	86974464	1523712
18800710402	88862720	1523712
18900709469	90349568	1523712
19000709786	90742784	1523712
19100711166	90742784	1523712
19200706251	87937024	1523712
19300711540	89042944	1523712
19400713287	90484736	1523712
19500710533	90877952	1523712
19600713255	91316224	1523712
