time	rss	kernel
0	577536	151552
101004741	12713984	405504
201015711	29097984	446464
301024143	58589184	503808
401025883	66846720	524288
501024362	74055680	540672
601020220	79953920	552960
701018505	89653248	569344
801021709	89653248	569344
901013126	89653248	569344
1001024155	95289344	581632
1101021894	98304000	589824
1201019331	93675520	593920
1301018778	98787328	606208
1401020674	160391168	716800
1501021614	160391168	716800
1601024795	160391168	716800
1701015428	358834176	1105920
1801017049	443637760	1269760
1901004582	443637760	1269760
2001017529	443637760	1269760
2101017463	443637760	1269760
2201012496	446914560	1277952
2301018262	447438848	1282048
2401017413	448618496	1282048
2501016685	129286144	1286144
2601017923	140689408	1302528
2701011266	169918464	1302528
2801011270	171622400	1302528
2901023626	173326336	1302528
3000998784	178176000	1302528
3100997238	178700288	1302528
3201004330	179748864	1302528
3301011928	182493184	1302528
3401003537	184983552	1302528
3501007957	184983552	1302528
3601005815	184983552	1302528
3701002843	184983552	1302528
3801008419	184983552	1302528
3901007520	184983552	1302528
4001011173	184983552	1302528
4101015322	163598336	1302528
4201020021	163573760	1302528
4301019120	163684352	1302528
4401019155	163667968	1302528
4501019057	163241984	1302528
4601021440	163684352	1302528
4701013086	163319808	1302528
4801008164	163311616	1302528
4901008929	163291136	1302528
5001013766	163381248	1302528
5101016449	163340288	1302528
5201017754	163299328	1302528
5301014108	163389440	1302528
5401010639	163348480	1302528
5501009459	163307520	1302528
5601016765	163282944	1302528
5701015559	172457984	1302528
5801014192	172457984	1302528
5901010420	172457984	1302528
6001008922	172457984	1302528
6101006681	172457984	1302528
6201032915	172457984	1302528
6301028364	165253120	1302528
6401033969	162619392	1302528
6501021477	162611200	1302528
6601024395	162603008	1302528
6701008941	161554432	1302528
6801018695	161492992	1302528
6901027245	161476608	1302528
7001009213	161546240	1302528
7101012124	161529856	1302528
7201015487	161513472	1302528
7301012072	161542144	1302528
7401239491	161525760	1302528
7501010825	161554432	1302528
7601015933	161583104	1302528
7701006388	161611776	1302528
7801007312	161595392	1302528
7901001306	161624064	1302528
8001021434	161521664	1302528
8101000329	173903872	1323008
8201016255	173903872	1323008
8301062474	173903872	1323008
8401019877	173903872	1323008
8501009407	173903872	1323008
8601014424	173903872	1323008
8701009618	159260672	1323008
8801011717	162275328	1323008
8900994692	326246400	1634304
9001018653	352854016	1634304
9101001002	352854016	1634304
9201018794	416161792	1634304
9300992110	416161792	1634304
9401015780	416161792	1634304
9501002889	416161792	1634304
9601015485	416161792	1634304
9701000969	416161792	1634304
9801002174	416161792	1634304
9900998684	416161792	1634304
10001018938	416161792	1634304
10101019300	416161792	1634304
10201011408	416161792	1634304
10301001551	416161792	1634304
10401013086	416161792	1634304
10501001028	416161792	1634304
10601003649	416161792	1634304
10700996008	416161792	1634304
10801004971	416161792	1634304
10900991977	416161792	1634304
11001004332	416161792	1634304
11100998959	416161792	1634304
11201016160	416161792	1634304
11301013572	416161792	1634304
11401014882	416161792	1634304
11501004349	416161792	1634304
11601004778	416161792	1634304
11701001127	416161792	1634304
11801006431	416161792	1634304
