time	rss	kernel
0	507904	98304
100670853	14233600	327680
200681049	15261696	348160
300690889	18014208	352256
400692612	18501632	356352
500698353	20295680	372736
600697489	20463616	376832
700688083	23810048	376832
800694977	21168128	401408
900695392	20656128	401408
1000681594	22228992	401408
1100690883	18509824	405504
1200685047	21655552	409600
1300690737	23023616	413696
1400684834	25382912	417792
1500689277	27348992	421888
1600690188	30584832	425984
1700675656	25989120	434176
1800677057	26607616	438272
1900683222	32112640	446464
2000679394	35139584	450560
2100689126	34631680	454656
2200690327	31948800	458752
2300690952	37584896	462848
2400693628	35495936	466944
2500693085	39915520	471040
2600683646	36233216	475136
2700686008	40124416	483328
2800680836	40255488	483328
2900680222	39063552	483328
3000694385	42340352	487424
3100694772	43257856	491520
3200691637	42631168	499712
3300691299	45645824	503808
3400687230	46444544	507904
3500674578	48136192	512000
3600682225	49319936	516096
3700685841	51548160	520192
3800698553	51523584	520192
3900690813	52834304	524288
4000691424	50077696	528384
4100692429	49864704	528384
4200690275	51568640	528384
4300692364	48263168	532480
4400692406	49111040	532480
4500682773	51601408	536576
4600698978	54616064	544768
4700687327	60907520	552960
4800699805	65384448	565248
4900695708	61747200	569344
5000693297	66650112	569344
5100693907	71237632	573440
5200686645	72417280	573440
5300686629	72998912	577536
5400696048	74047488	577536
5500696824	81125376	593920
5600704275	79532032	614400
5700675279	76238848	614400
5800696100	85020672	626688
5900694525	69730304	626688
6000691965	70610944	626688
6100693422	70422528	626688
6200683151	74121216	626688
6300682282	82247680	626688
6400693815	83689472	626688
6500666808	83689472	626688
6600690438	83103744	626688
6700674953	85331968	626688
6800678668	71069696	626688
6900696766	73560064	626688
7000683102	73195520	626688
7100692232	74805248	626688
7200689611	76390400	626688
7300675696	71917568	626688
7400679372	75063296	630784
7500681600	75325440	630784
7600679556	75759616	634880
7700677438	77725696	634880
7800687227	76980224	634880
7900688846	78815232	638976
8000689596	80519168	638976
8100693157	75874304	638976
8200692641	78495744	643072
8300684742	80986112	651264
8400682319	81375232	651264
8500679989	81899520	651264
8600677601	84783104	651264
8700668576	85954560	655360
8800684949	86347776	655360
8900692303	87547904	659456
9000680604	88088576	663552
9100688573	85008384	663552
9200682333	86188032	663552
9300685337	87629824	667648
9400693182	87298048	667648
9500692808	88477696	667648
9600693605	92143616	675840
9700678005	92930048	675840
9800692694	93061120	675840
9900692621	94986240	679936
10000687613	95903744	684032
10100689946	96952320	684032
10200693108	96780288	684032
10300689795	99008512	688128
10400691158	100188160	692224
10500674196	100843520	692224
10600688927	100069376	692224
10700681332	102690816	696320
10800690004	104525824	700416
10900679998	104525824	700416
11000688108	105549824	700416
11100690199	106336256	700416
11200687869	108040192	704512
11300678872	103448576	704512
11400688296	104103936	708608
11500683387	105545728	708608
11600678083	108560384	712704
11700678995	108216320	716800
11800691124	108871680	716800
