time	rss	kernel
0	577536	151552
100780480	27062272	405504
200793934	27062272	405504
300791229	27062272	405504
400789558	27062272	405504
500790120	27062272	405504
600792881	27062272	405504
700789720	27193344	405504
800791588	27455488	405504
900789009	27586560	405504
1000787687	27586560	405504
1100793011	27717632	413696
1200795078	28241920	421888
1300791030	28241920	421888
1400792438	28241920	421888
1500798743	28372992	430080
1600790560	28372992	430080
1700794904	28372992	430080
1800793222	28372992	430080
1900792456	28372992	430080
2000792801	28372992	430080
2100799001	28372992	430080
2200796587	28372992	430080
2300798380	28372992	430080
2400796498	28372992	430080
2500790631	28372992	438272
2600790000	28372992	438272
2700787970	28372992	438272
2800788856	28372992	438272
2900789696	28372992	438272
3000790169	28372992	438272
3100800215	28372992	438272
3200797047	28372992	438272
3300799909	28372992	438272
3400796056	28372992	438272
3500792688	28372992	442368
3600790168	28504064	442368
3700795115	28504064	442368
3800786263	28504064	442368
3900789461	28504064	442368
4000784481	28504064	442368
4100783347	28504064	442368
4200796251	28504064	442368
4300792884	28504064	442368
4400801149	28504064	442368
4500792049	28504064	442368
