time	rss	kernel
0	544768	131072
100757435	18874368	286720
200773119	18874368	286720
300772894	18874368	286720
400769842	18874368	286720
500761054	18874368	286720
600764231	18874368	286720
700766118	18874368	286720
800758286	18874368	286720
900762939	18874368	286720
1000767743	18874368	286720
1100762454	18874368	286720
1200763696	18874368	286720
1300766409	18874368	286720
1400756992	18874368	286720
1500762907	18874368	286720
1600755768	57540608	376832
1700762132	152698880	561152
1800767787	224657408	704512
1900757514	224657408	704512
2000764592	224657408	704512
2100749170	224657408	704512
2200762240	224657408	704512
2300774260	224657408	704512
2400764225	224657408	704512
2500764726	224657408	704512
2600764681	224657408	704512
2700760470	224657408	704512
2800767611	224657408	704512
2900764109	224657408	704512
3000766486	224657408	704512
3100767151	224657408	704512
3200776451	224657408	704512
3300766285	224657408	704512
3400758999	224657408	704512
3500763715	224657408	704512
3600763643	224657408	704512
3700764020	224657408	704512
3800767693	224657408	704512
3900761590	224657408	704512
4000772759	224657408	704512
4100765832	224657408	704512
4200769698	224657408	704512
4300767929	224657408	704512
4400770102	224657408	704512
4500770074	224657408	704512
4600768761	224657408	704512
4700771740	224657408	704512
4800756268	224657408	704512
4900764883	224657408	704512
5000770293	224657408	704512
5100760449	224657408	704512
5200764019	224657408	704512
5300765364	224657408	704512
5400764706	224657408	704512
5500764817	224657408	704512
5600765733	224657408	704512
5700764730	224657408	704512
5800771379	224657408	704512
5900766923	224657408	704512
6000752671	224657408	704512
6100770276	224657408	704512
6200765744	224657408	704512
6300780528	224657408	704512
6400765074	224657408	704512
6500765262	224657408	704512
6600767489	231342080	720896
6700764685	212406272	1101824
6800762657	212406272	1101824
6900763981	212406272	1101824
7000758020	253038592	1183744
7100761379	321982464	1318912
7200754349	341643264	1355776
7300765806	355143680	1380352
7400765010	361959424	1396736
7500758170	362090496	1396736
7600759052	362090496	1396736
7700801394	362221568	1396736
7800779888	362221568	1396736
7900758812	362221568	1396736
8000761601	362221568	1396736
8100781715	362221568	1396736
8200791104	362221568	1396736
8300768235	362221568	1396736
8400760602	362221568	1396736
8500766219	362221568	1396736
8600764802	362221568	1396736
8700770729	362221568	1396736
8800767120	362221568	1396736
8900771747	362221568	1396736
9000772949	362221568	1396736
9100747311	362221568	1396736
9200772254	362221568	1396736
9300767957	362221568	1396736
9400770051	362221568	1396736
9500772315	362221568	1396736
9600772004	362221568	1396736
9700754329	362221568	1396736
9800745687	362221568	1396736
9900743274	362221568	1396736
10000750137	362221568	1396736
10100751578	362221568	1396736
10200756116	362221568	1396736
10300757356	362221568	1396736
10400762537	362221568	1396736
10500770826	362221568	1396736
10600759800	362221568	1396736
10700745648	362221568	1396736
10800751886	362221568	1396736
10900750272	362221568	1396736
11000747720	362221568	1396736
11100758764	362221568	1396736
11200757825	362221568	1396736
11300756879	362221568	1396736
11400759842	362221568	1396736
11500763662	362221568	1396736
11600751394	362221568	1396736
11700743543	362221568	1396736
11800735573	362221568	1396736
11900739931	362221568	1396736
12000749488	362221568	1396736
12100752900	362221568	1396736
12200757088	362221568	1396736
12300753800	362221568	1396736
12400759218	362221568	1396736
