time	rss	kernel
0	647168	167936
100690172	4055040	364544
200691449	4055040	364544
300688985	4055040	364544
400691318	4055040	364544
500691272	4055040	364544
600691736	4055040	364544
700692382	4055040	364544
800669364	4055040	364544
900687119	4055040	364544
1000688705	4055040	364544
1100687689	4055040	364544
1200686146	4055040	364544
1300689912	4055040	364544
1400690311	4055040	364544
1500690026	4055040	364544
1600689160	4055040	364544
1700690380	4055040	364544
1800690448	4055040	364544
1900690146	4055040	364544
