time	rss	kernel
0	593920	167936
100633606	123940864	987136
200640687	170799104	1179648
300644729	207630336	1327104
400644121	251400192	1527808
500641908	285741056	1671168
600648782	321654784	1822720
700644213	321654784	1822720
800646039	322052096	1822720
900649125	344326144	1912832
1000655823	344326144	1912832
1100633353	344363008	1912832
1200641858	346017792	1912832
1300647184	347697152	1925120
1400654378	345722880	2162688
1500639602	358305792	2228224
1600646444	358305792	2228224
1700634751	353951744	2584576
1800644502	353337344	2613248
1900642616	353095680	2621440
2000656515	353095680	2621440
2100639389	358207488	2625536
2200643929	358207488	2625536
2300643557	358207488	2625536
2400632846	358219776	2625536
2500649338	358113280	2629632
2600644383	358113280	2629632
2700643636	358113280	2629632
2800640988	358113280	2629632
2900643278	358113280	2629632
3000639807	358113280	2629632
3100639404	358113280	2629632
3200643927	358113280	2629632
3300640269	358113280	2629632
3400643937	358113280	2629632
3500642923	358113280	2629632
3600636180	358113280	2629632
3700628351	358113280	2629632
3800641905	358113280	2629632
3900644545	358113280	2629632
4000640549	358113280	2629632
4100629554	358113280	2629632
4200641522	358113280	2629632
4300637358	358113280	2629632
4400639655	358113280	2629632
4500640592	358113280	2629632
4600638686	358113280	2629632
4700643662	358113280	2629632
4800643754	358113280	2629632
4900645502	358113280	2629632
5000644423	358113280	2629632
5100640328	358113280	2629632
5200643271	358113280	2629632
5300641188	358113280	2629632
5400645336	358113280	2629632
5500640477	358113280	2629632
5600653592	358113280	2629632
5700633763	358113280	2629632
5800644302	358113280	2629632
5900646762	358113280	2629632
6000642686	358113280	2629632
6100639556	358113280	2629632
6200658464	358113280	2629632
6300631365	358113280	2629632
6400643418	358113280	2629632
6500644772	358113280	2629632
6600641311	358113280	2629632
6700643577	358113280	2629632
6800627317	358113280	2629632
6900641308	358113280	2629632
7000642257	358113280	2629632
7100639757	358113280	2629632
7200643514	358113280	2629632
7300640882	358113280	2629632
7400642764	358113280	2629632
7500642701	358113280	2629632
7600632879	358113280	2629632
7700632992	358113280	2629632
7800642871	358113280	2629632
7900648512	358113280	2629632
8000647482	358113280	2629632
8100634433	358113280	2629632
8200638370	358113280	2629632
8300640945	358113280	2629632
8400644417	358113280	2629632
8500639231	358113280	2629632
8600640337	358113280	2629632
8700641375	358113280	2629632
8800642275	358113280	2629632
8900641642	358113280	2629632
9000644724	358113280	2629632
9100642630	358113280	2629632
9200642382	358113280	2629632
9300642450	358113280	2629632
9400644020	358113280	2629632
9500637559	358113280	2629632
9600639100	358113280	2629632
9700643628	358113280	2629632
9800642680	358113280	2629632
9900645780	358113280	2629632
10000640988	358113280	2629632
10100638761	358113280	2629632
10200640968	358113280	2629632
10300639823	358113280	2629632
10400639968	358113280	2629632
10500636714	358113280	2629632
10600639146	358113280	2629632
10700640101	358113280	2629632
10800629789	358113280	2629632
10900639817	358113280	2629632
11000640651	358113280	2629632
11100640523	358113280	2629632
11200640901	358113280	2629632
11300639135	358113280	2629632
11400644234	358113280	2629632
11500642580	358113280	2629632
11600632392	358113280	2629632
11700637993	358113280	2629632
11800642037	358113280	2629632
11900639736	358113280	2629632
12000637660	358113280	2629632
12100637251	358113280	2629632
12200640730	358113280	2629632
12300641585	358113280	2629632
12400643612	358113280	2629632
12500640634	358113280	2629632
12600637447	358113280	2629632
12700641521	358113280	2629632
12800640732	358113280	2629632
12900643364	358113280	2629632
13000642573	358113280	2629632
13100639269	358113280	2629632
13200643932	358113280	2629632
13300637889	358113280	2629632
13400641643	358113280	2629632
13500640096	358113280	2629632
13600639406	358113280	2629632
13700644325	358113280	2629632
13800645631	358113280	2629632
13900630684	358113280	2629632
14000638914	358113280	2629632
14100640388	358113280	2629632
14200635595	358113280	2629632
14300639696	358113280	2629632
14400642462	358113280	2629632
14500646753	358113280	2629632
14600642780	358113280	2629632
14700642347	358113280	2629632
14800634343	358113280	2629632
14900641457	358113280	2629632
15000637198	358113280	2629632
15100637963	358113280	2629632
15200640958	358113280	2629632
15300638667	358113280	2629632
15400641517	358113280	2629632
15500643211	358113280	2629632
15600636486	358113280	2629632
15700639377	358113280	2629632
15800642592	358113280	2629632
15900642698	358113280	2629632
16000642721	358113280	2629632
16100635343	358113280	2629632
16200629102	358113280	2629632
16300640218	358113280	2629632
16400642389	358113280	2629632
16500638006	358113280	2629632
16600636229	358113280	2629632
16700641073	358113280	2629632
16800642827	358113280	2629632
16900641339	358113280	2629632
17000642759	358113280	2629632
17100642426	358113280	2629632
17200639728	358113280	2629632
17300636574	358113280	2629632
17400640513	358113280	2629632
17500637258	358113280	2629632
17600636663	358113280	2629632
17700639616	358113280	2629632
17800640323	358113280	2629632
17900637430	358113280	2629632
18000644703	358113280	2629632
18100643141	358113280	2629632
18200641065	358113280	2629632
18300638637	358113280	2629632
18400639751	358113280	2629632
18500641803	358113280	2629632
18600637070	358113280	2629632
18700643935	358113280	2629632
18800635638	358113280	2629632
18900643509	358113280	2629632
19000641177	358113280	2629632
19100641974	358113280	2629632
19200640347	358113280	2629632
19300639760	358113280	2629632
19400640979	358113280	2629632
19500643857	358113280	2629632
19600633345	358113280	2629632
19700637074	358113280	2629632
19800640887	358113280	2629632
19900643373	358113280	2629632
20000639733	358113280	2629632
20100641592	358113280	2629632
20200641447	358113280	2629632
20300639818	358113280	2629632
20400644778	358113280	2629632
20500637979	358113280	2629632
20600641297	358113280	2629632
20700644998	358113280	2629632
20800641667	358113280	2629632
20900642055	358113280	2629632
21000630968	358113280	2629632
21100642098	358113280	2629632
21200640729	358113280	2629632
21300640295	358113280	2629632
21400642497	358113280	2629632
21500640082	358113280	2629632
21600634896	358113280	2629632
21700640649	358113280	2629632
21800641779	358113280	2629632
21900633217	358113280	2629632
22000644371	358113280	2629632
22100659211	358113280	2629632
22200650679	358244352	2629632
22300632869	358244352	2629632
22400635058	358244352	2629632
22500634213	358244352	2629632
22600635364	358244352	2629632
22700634322	358244352	2629632
22800632653	358244352	2629632
22900634882	358244352	2629632
23000641295	358244352	2629632
23100652407	358244352	2629632
23200650593	358244352	2629632
23300637657	358244352	2629632
23400636824	358244352	2629632
23500633596	358244352	2629632
23600630328	358244352	2629632
23700648013	358244352	2629632
23800653164	358244352	2629632
23900636575	358244352	2629632
24000637797	358244352	2629632
24100633702	358244352	2629632
24200638088	358244352	2629632
24300633211	358244352	2629632
24400637526	358244352	2629632
24500627005	358244352	2629632
24600655384	358244352	2629632
24700674071	358244352	2629632
24800665378	358244352	2629632
24900645028	358244352	2629632
25000642896	358244352	2629632
25100649717	358244352	2629632
25200638956	358244352	2629632
25300636026	358244352	2629632
25400657564	358244352	2629632
25500655400	358244352	2629632
25600625299	358244352	2629632
25700654379	358244352	2629632
25800651229	358244352	2629632
25900633298	358244352	2629632
26000638742	358244352	2629632
26100633342	358244352	2629632
26200637213	358244352	2629632
26300632589	358244352	2629632
26400637830	358244352	2629632
26500640233	358244352	2629632
26600635632	358244352	2629632
26700640282	358244352	2629632
26800637606	358244352	2629632
26900636357	358244352	2629632
27000634807	358244352	2629632
27100636199	358244352	2629632
27200632715	358244352	2629632
27300631370	358244352	2629632
27400634656	358244352	2629632
27500633687	358244352	2629632
27600629440	358244352	2629632
27700633633	358244352	2629632
27800636107	358244352	2629632
27900633925	358244352	2629632
28000633387	358244352	2629632
28100622538	358244352	2629632
28200633430	358244352	2629632
28300630299	358244352	2629632
28400660894	358244352	2629632
28500653314	358244352	2629632
28600650992	358244352	2629632
28700639237	358244352	2629632
28800636568	358244352	2629632
28901195312	358244352	2629632
29000635345	358244352	2629632
29100853293	358244352	2629632
29200654434	358244352	2629632
29300653133	358244352	2629632
29400638077	358244352	2629632
29500634747	358244352	2629632
29600631401	358244352	2629632
29700635154	358244352	2629632
29800647219	358244352	2629632
29900647950	358244352	2629632
30000639545	358244352	2629632
30100634376	358244352	2629632
30200636660	358244352	2629632
30300632586	358244352	2629632
30400633634	358244352	2629632
30500634028	358244352	2629632
30600635759	358244352	2629632
30700635796	358244352	2629632
30800637708	358244352	2629632
30900638180	358244352	2629632
31000639278	358244352	2629632
31100634857	358244352	2629632
31200638991	358244352	2629632
31300646474	358244352	2629632
31400655893	358244352	2629632
31500637036	358244352	2629632
31600634863	358244352	2629632
31700635454	358244352	2629632
31800637997	358244352	2629632
31900637864	358244352	2629632
32000637607	358244352	2629632
32100629537	358244352	2629632
32200638248	358244352	2629632
32300632882	358244352	2629632
32400659144	358244352	2629632
32500646370	358244352	2629632
32600635341	358244352	2629632
32700636474	358244352	2629632
32800634306	358244352	2629632
32900632747	358244352	2629632
33000634163	358244352	2629632
33100633065	358244352	2629632
33200631373	358244352	2629632
33300632582	358244352	2629632
33400657790	358244352	2629632
33500666428	358244352	2629632
33600645712	358244352	2629632
33700637019	358244352	2629632
33800639505	358244352	2629632
33900632425	358244352	2629632
34000637576	358244352	2629632
34100632453	358244352	2629632
34200634037	358244352	2629632
34300632321	358244352	2629632
34400634691	358244352	2629632
34500638090	358244352	2629632
34600632741	358244352	2629632
34700651459	358244352	2629632
34800650426	358244352	2629632
34900636518	358244352	2629632
35000635639	358244352	2629632
35100636944	358244352	2629632
35200625856	358244352	2629632
35300636189	358244352	2629632
35400637405	358244352	2629632
35500639301	358244352	2629632
35600647402	358244352	2629632
35700651664	358244352	2629632
35800637567	358244352	2629632
35900634084	358244352	2629632
36000635877	358244352	2629632
36100629581	358244352	2629632
36200649386	358244352	2629632
36300644286	358244352	2629632
36400647090	358244352	2629632
36500647000	358244352	2629632
36600633986	358244352	2629632
36700637805	358244352	2629632
36800637543	358244352	2629632
36900636659	358244352	2629632
37000633153	358244352	2629632
37100639100	358244352	2629632
37200636452	358244352	2629632
37300648936	358244352	2629632
37400652091	358244352	2629632
37500658921	358244352	2629632
37600647380	358244352	2629632
37700636485	358244352	2629632
37800638941	358244352	2629632
37900635975	358244352	2629632
38000656573	358244352	2629632
38100648215	358244352	2629632
38200635542	358244352	2629632
38300636039	358244352	2629632
38400634804	358244352	2629632
38500656029	358244352	2629632
38600660433	358244352	2629632
38700637585	358244352	2629632
38800630366	358244352	2629632
38900631104	358244352	2629632
39000632636	358244352	2629632
39100639247	358244352	2629632
39200629212	358244352	2629632
39300635942	358244352	2629632
39400638412	358244352	2629632
39500639398	358244352	2629632
39600655807	358244352	2629632
39700651443	358244352	2629632
39800639716	358244352	2629632
39900638931	358244352	2629632
40000637179	358244352	2629632
40100635225	358244352	2629632
40200636763	358244352	2629632
40300636511	358244352	2629632
40400643916	358244352	2629632
40500676805	358244352	2629632
40600645975	358244352	2629632
40700653882	358244352	2629632
40800647700	358244352	2629632
40900654220	358244352	2629632
41000647968	358244352	2629632
41100649068	358244352	2629632
41200667671	358244352	2629632
41300655046	358244352	2629632
41400652500	358244352	2629632
41500651906	358244352	2629632
41600647812	358244352	2629632
41700652018	358244352	2629632
41800653114	358244352	2629632
41900653905	358244352	2629632
42000654216	358244352	2629632
42100654642	358244352	2629632
42200646637	358244352	2629632
42300624238	358244352	2629632
42400619696	358244352	2629632
42500622635	358244352	2629632
42600646221	358244352	2629632
42700657898	358244352	2629632
42800648634	358244352	2629632
42900634625	358244352	2629632
43000636170	358244352	2629632
43100633735	358244352	2629632
43200624295	358244352	2629632
43300649377	358244352	2629632
43400655219	358244352	2629632
43500633781	358244352	2629632
43600627933	358244352	2629632
43700628424	358244352	2629632
43800647652	358244352	2629632
43900638772	358244352	2629632
44000642417	358203392	2629632
44100631627	358715392	2629632
44200648485	358498304	2043904
44300644288	358748160	2043904
44400638838	359522304	2043904
44500626586	359510016	2043904
44600648788	359510016	2043904
44700644904	359903232	2043904
44800631107	359903232	2043904
44900640772	359903232	2043904
45000636650	359903232	2043904
45100639349	359903232	2043904
45200643739	359903232	2043904
45300631982	359903232	2043904
45400645087	359903232	2043904
45500643063	360034304	2043904
45600634066	360034304	2043904
45700640285	360034304	2043904
45800631211	360034304	2043904
45900642062	360034304	2043904
46000642681	360034304	2043904
46100639711	360034304	2043904
46200633212	360034304	2043904
46300635250	360034304	2043904
46400650377	360165376	2043904
46500650986	360165376	2043904
46600636406	360165376	2043904
46700821863	360165376	2043904
46800629380	360165376	2043904
46900642831	360165376	2043904
47000643646	360165376	2043904
47100637404	360165376	2043904
47200625890	360165376	2043904
47300634785	360165376	2043904
47400639179	360165376	2043904
47500638494	360165376	2043904
47600620349	360165376	2043904
47700630902	360165376	2043904
47800643551	360165376	2043904
47900641782	360165376	2043904
48000896854	360165376	2043904
48100629382	360165376	2043904
48200645640	360165376	2043904
48300638159	360165376	2043904
48400634038	360165376	2043904
48500640487	360165376	2043904
48600641386	360165376	2043904
48700632525	360165376	2043904
48800640162	360165376	2043904
48900641409	360165376	2043904
49000626870	360165376	2043904
49100635920	360165376	2043904
49200638426	360165376	2043904
49300622782	360296448	2043904
49400632370	360296448	2043904
49500643830	360296448	2043904
49600628856	360296448	2043904
49700641924	360296448	2043904
49800644240	360296448	2043904
49900639463	360296448	2043904
50000641072	360296448	2043904
50100629015	360296448	2043904
50200642865	360296448	2043904
50300635993	360296448	2043904
50400645539	360296448	2043904
50500637773	360296448	2043904
50600632160	360296448	2043904
50700635914	360296448	2043904
50800641293	360296448	2043904
50900644751	360296448	2043904
51000640481	360296448	2043904
51100631490	360296448	2043904
51200641830	360296448	2043904
51300641611	360296448	2043904
51400628073	360296448	2043904
51500643212	360296448	2043904
51600635220	360296448	2043904
51700756565	360296448	2043904
51800640787	360296448	2043904
51900642709	360296448	2043904
52000630526	360296448	2043904
52100637549	360296448	2043904
52200644576	360296448	2043904
52300638170	360296448	2043904
52400640096	360296448	2043904
52500627804	360296448	2043904
52600640251	360296448	2043904
52700642394	360296448	2043904
52800640548	360296448	2043904
52900641071	360296448	2043904
53000637330	360296448	2043904
53100638282	360296448	2043904
53200642089	360296448	2043904
53300638569	360296448	2043904
53400633258	360296448	2043904
53500642632	360296448	2043904
53600624800	360296448	2043904
53700638387	360296448	2043904
53800633505	360296448	2043904
53900643333	360296448	2043904
54000642628	360296448	2043904
54100639158	360296448	2043904
54200630236	360296448	2043904
54300635716	360296448	2043904
54400639542	360296448	2043904
54500631658	360296448	2043904
54600621826	360296448	2043904
54700638854	360296448	2043904
54800637509	360296448	2043904
54900641621	360296448	2043904
55000639143	360296448	2043904
55100627836	360296448	2043904
55200637435	360296448	2043904
55300642021	360296448	2043904
55400630538	360296448	2043904
55500636261	360296448	2043904
55600639055	360296448	2043904
55700641119	360296448	2043904
55800632316	360296448	2043904
55900644519	360296448	2043904
56000640761	360296448	2043904
56100628632	360296448	2043904
56200640222	360296448	2043904
56300637489	360427520	2043904
56400642419	360427520	2043904
56500631955	360427520	2043904
56600639948	360427520	2043904
56700641106	360427520	2043904
56800634556	360427520	2043904
56900645498	360427520	2043904
57000642383	360427520	2043904
57100627934	360427520	2043904
57200643630	360427520	2043904
57300636604	360427520	2043904
57400639549	360427520	2043904
57500641622	360402944	2043904
57600639907	360402944	2043904
57700641269	360402944	2043904
57800640505	360402944	2043904
57900640566	360402944	2043904
58000642713	360402944	2043904
58100642395	360402944	2043904
58200642559	360402944	2043904
58300638773	360402944	2043904
58400640436	360402944	2043904
58500642092	360402944	2043904
58600631513	360402944	2043904
58700642959	360402944	2043904
58800633859	360402944	2043904
58900642297	360402944	2043904
59000641294	360402944	2043904
59100641229	360402944	2043904
59200638123	360402944	2043904
59300630726	360402944	2043904
59400640702	360402944	2043904
59500642135	360402944	2043904
59600629555	360402944	2043904
59700641898	360402944	2043904
59800640628	360402944	2043904
59900644193	360402944	2043904
60000639083	360402944	2043904
60100639870	360402944	2043904
60200641089	360402944	2043904
60300638395	360402944	2043904
60400643119	360402944	2043904
60500641952	360402944	2043904
60600638035	360402944	2043904
60700632368	360402944	2043904
60800642594	360402944	2043904
60900644462	360402944	2043904
61000627954	360402944	2043904
61100636576	360402944	2043904
61200644732	360402944	2043904
61300637626	360402944	2043904
61400627699	360402944	2043904
61500639780	360402944	2043904
61600636710	360402944	2043904
61700628484	360402944	2043904
61800641944	360402944	2043904
61900640749	360402944	2043904
62000643865	360402944	2043904
62100639358	360796160	2043904
62200641744	362106880	2060288
62300640915	362631168	2060288
62400641625	362631168	2060288
62500641591	362631168	2060288
62600636246	362631168	2060288
62700639764	362631168	2060288
62800639830	365907968	2068480
62900640934	368136192	2088960
63000643923	368136192	2088960
63100641381	368136192	2088960
63200638604	368136192	2088960
63300635860	368136192	2088960
63400644471	368136192	2088960
63500643855	368136192	2088960
63600627643	368136192	2088960
63700630212	368136192	2088960
63800628780	368136192	2088960
63900640668	368136192	2088960
64000641651	368136192	2088960
64100636977	368136192	2088960
64200642664	368136192	2088960
64300635740	368136192	2088960
64400641043	368136192	2088960
64500639211	368136192	2088960
64600639972	368136192	2088960
64700639437	368136192	2088960
64800629385	368136192	2088960
64900641109	368136192	2088960
65000642093	368136192	2088960
65100637907	368136192	2088960
65200640838	368136192	2088960
65300638515	368136192	2088960
65400640105	368136192	2088960
65500642865	368136192	2088960
65600637618	368136192	2088960
65700641992	368136192	2088960
65800641316	368136192	2088960
65900640994	368136192	2088960
66000641426	368136192	2088960
66100642109	368136192	2088960
66200640448	368136192	2088960
66300638886	368136192	2088960
66400639914	368136192	2088960
66500640735	368136192	2088960
66600634061	368136192	2088960
66700626765	368136192	2088960
66800642617	368136192	2088960
66900640385	368136192	2088960
67000640300	368136192	2088960
67100637612	368136192	2088960
67200639150	368136192	2088960
67300634058	368136192	2088960
67400639451	368136192	2088960
67500639241	368136192	2088960
67600633632	368136192	2088960
67700641339	368398336	2088960
67800638648	368398336	2088960
67900638415	368398336	2088960
68000640237	368398336	2088960
68100633304	368398336	2088960
68200639355	368398336	2088960
68300635025	368398336	2088960
68400640759	368398336	2088960
68500637416	368398336	2088960
68600641102	368398336	2088960
68700638861	368398336	2088960
68800638354	368398336	2088960
68900638829	368398336	2088960
69000639232	368398336	2088960
69100636194	368398336	2088960
69200638812	368398336	2088960
69300634671	368398336	2088960
69400635727	368398336	2088960
69500641270	368398336	2088960
69600638260	368398336	2088960
69700639421	368398336	2088960
69800632751	368398336	2088960
69900639604	368398336	2088960
70000640091	368398336	2088960
70100641603	368398336	2088960
70200641853	368398336	2088960
70300638983	368398336	2088960
70400635126	368398336	2088960
70500638626	368398336	2088960
70600632235	368398336	2088960
70700631868	368398336	2088960
70800638770	368398336	2088960
70900639723	368398336	2088960
71000639268	368398336	2088960
71100639368	368398336	2088960
71200639134	368398336	2088960
71300652578	368398336	2088960
71400630578	368398336	2088960
71500638386	368398336	2088960
71600636625	368398336	2088960
71700639038	368398336	2088960
71800639553	368398336	2088960
71900639725	368398336	2088960
72000639907	368398336	2088960
72100628100	368398336	2088960
72200641021	368398336	2088960
72300640760	368398336	2088960
72400640515	368398336	2088960
72500638889	368398336	2088960
72600640941	368398336	2088960
72700640436	368398336	2088960
72800637177	368398336	2088960
72900637186	368398336	2088960
73000637337	368398336	2088960
73100639820	368398336	2088960
73200639708	368398336	2088960
73300636030	368398336	2088960
73400638382	368398336	2088960
73500638976	368398336	2088960
73600638826	368398336	2088960
73700639056	368398336	2088960
73800624763	368398336	2088960
73900634554	368398336	2088960
74000642558	368398336	2088960
74100639068	368398336	2088960
74200640679	368398336	2088960
74300638074	368398336	2088960
74400638726	368398336	2088960
74500641317	368398336	2088960
74600640373	368398336	2088960
74700632876	368398336	2088960
74800640372	368398336	2088960
74900640603	368398336	2088960
75000643788	368398336	2088960
75100639485	368398336	2088960
75200635382	368398336	2088960
75300636724	368398336	2088960
75400638843	368398336	2088960
75500638687	368398336	2088960
75600638074	368398336	2088960
75700640200	368398336	2088960
75800642851	368398336	2088960
75900640157	368398336	2088960
76000642559	368398336	2088960
76100629503	368398336	2088960
76200642879	368398336	2088960
76300637419	368398336	2088960
76400642106	368398336	2088960
76500641339	368398336	2088960
76600643264	368398336	2088960
76700637198	368398336	2088960
76800645484	368398336	2088960
76900645628	368398336	2088960
77000639408	368398336	2088960
77100637860	368398336	2088960
77200639082	368398336	2088960
77300637525	368398336	2088960
77400640465	368398336	2088960
77500642021	368398336	2088960
77600638717	368398336	2088960
77700637934	368398336	2088960
77800629511	368398336	2088960
77900643497	368398336	2088960
78000640863	368398336	2088960
78100642253	368398336	2088960
78200641162	368398336	2088960
78300638229	368398336	2088960
78400639792	368398336	2088960
78500633232	368398336	2088960
78600641292	368398336	2088960
78700639901	368398336	2088960
78800660189	368398336	2088960
78900651018	368398336	2088960
