time	rss	kernel
0	647168	151552
100802215	299429888	1581056
200809621	625143808	2953216
300820920	637988864	3014656
400822619	637988864	3014656
500812620	637988864	3014656
600823889	637988864	3014656
700821172	637988864	3014656
800823058	637988864	3014656
900810504	637988864	3014656
1000818849	637988864	3014656
1100824645	637988864	3014656
1200821732	637988864	3014656
1300824652	637988864	3014656
1400820456	637988864	3014656
1500821232	637988864	3014656
1600823039	637988864	3014656
1700823254	637988864	3014656
1800822511	637988864	3014656
1900822612	637988864	3014656
2000818738	637988864	3014656
2100817552	637988864	3014656
2200820503	637988864	3014656
2300812533	637988864	3014656
2400820228	637988864	3014656
2500809365	637988864	3014656
2600818690	637988864	3014656
2700816337	637988864	3014656
2800823087	637988864	3014656
2900813250	637988864	3014656
3000808123	637988864	3014656
3100817636	637988864	3014656
3200815292	637988864	3014656
3300820201	637988864	3014656
3400815533	637988864	3014656
3500815737	637988864	3014656
3600806391	637988864	3014656
3700833195	637988864	3014656
3800817345	637988864	3014656
3900808357	637988864	3014656
4000809013	637988864	3014656
4100818594	637988864	3014656
4200817668	637988864	3014656
4300811902	637988864	3014656
4400816030	637988864	3014656
4500805546	637988864	3014656
4600811006	637988864	3014656
4700806584	637988864	3014656
4800821162	637988864	3014656
4900808322	637988864	3014656
5000811317	637988864	3014656
5100809711	637988864	3014656
5200804226	637988864	3014656
5300818234	637988864	3014656
5400807672	637988864	3014656
5500805160	637988864	3014656
5600818058	637988864	3014656
5700820837	637988864	3014656
5800820262	637988864	3014656
5900805661	637988864	3014656
6000808424	637988864	3014656
6100817845	637988864	3014656
6200816718	637988864	3014656
6300814369	637988864	3014656
6400820201	637988864	3014656
6500811033	637988864	3014656
6600823266	637988864	3014656
6700806093	637988864	3014656
6800828197	637988864	3014656
6900814010	637988864	3014656
7000813690	637988864	3014656
7100815040	637988864	3014656
7200820308	637988864	3014656
7300817436	637988864	3014656
7400821656	637988864	3014656
7500811553	637988864	3014656
7600806509	637988864	3014656
7700815860	637988864	3014656
7800814430	637988864	3014656
7900804475	637988864	3014656
8000818083	637988864	3014656
8100814585	638382080	3014656
8200814332	638382080	3014656
8300813942	638382080	3014656
8400817091	638382080	3014656
8500812224	638382080	3014656
8600815395	638382080	3014656
8700811653	638382080	3014656
8800809355	638382080	3014656
8900806567	638382080	3014656
9000803874	638382080	3014656
9100804959	638382080	3014656
9200806483	638382080	3014656
9300816412	638382080	3014656
9400809871	638382080	3014656
9500814037	638382080	3014656
9600817002	638382080	3014656
9700818511	638382080	3014656
9800823285	638382080	3014656
9900815911	638382080	3014656
10000815911	638382080	3014656
10100813931	638382080	3014656
10200819695	638382080	3014656
10300816495	638382080	3014656
10400821047	638382080	3014656
10500813465	638382080	3014656
10600814216	638382080	3014656
10700809145	638382080	3014656
10800816238	638382080	3014656
10900812592	638382080	3014656
11000817329	638382080	3014656
11100819339	638382080	3014656
11200817975	638382080	3014656
11300818865	638382080	3014656
11400818579	638382080	3014656
11500818397	638382080	3014656
11600817804	638382080	3014656
11700826092	638382080	3014656
11800826388	638382080	3014656
11900822874	638382080	3014656
12000820169	638382080	3014656
12101206971	638382080	3014656
12200824823	638382080	3014656
12300820324	638382080	3014656
12400822713	638382080	3014656
12500811749	638382080	3014656
12600818922	638382080	3014656
12700820477	638382080	3014656
12800823074	638382080	3014656
12900812056	638382080	3014656
13000806597	638382080	3014656
13100818257	638382080	3014656
13200820327	638382080	3014656
13300814911	638382080	3014656
13400810455	638382080	3014656
13500818831	638382080	3014656
13600821246	638382080	3014656
13700817498	638382080	3014656
13800803220	638382080	3014656
13900808418	638382080	3014656
14000801193	638382080	3014656
14100814100	638382080	3014656
14200814729	638382080	3014656
14300816439	638382080	3014656
14400818775	638369792	3014656
14500817649	638369792	3014656
14600818870	638369792	3014656
14700820467	638369792	3014656
14800812513	638369792	3014656
14900813654	638369792	3014656
15000813119	638369792	3014656
15100818288	638369792	3014656
