time	rss	kernel
0	581632	131072
100737287	14426112	425984
200745204	15077376	458752
300753352	15839232	458752
400754975	17268736	462848
500755947	21065728	479232
600756127	23400448	503808
700751784	23400448	503808
800753628	24449024	503808
900751401	24571904	503808
1000753871	24571904	503808
1100756844	24571904	503808
1200755530	24559616	503808
1300747104	24690688	503808
1400739151	25079808	507904
1500765342	26243072	524288
1600752328	29118464	532480
1700753162	29904896	536576
1800750879	30158848	536576
1900753910	33173504	557056
2000752330	35270656	561152
2100755995	36184064	565248
2200751132	36827136	573440
2300750581	38924288	577536
2400754839	38916096	577536
2500756436	40095744	598016
2600762958	42192896	602112
2700756128	43241472	602112
2800753725	43368448	606208
2900754230	44539904	610304
3000752717	45326336	610304
3100751611	45846528	610304
3200736549	47927296	630784
3300752058	50806784	638976
3400748999	52117504	638976
3500752710	53166080	643072
3600753423	53952512	643072
3700753062	53948416	643072
3800751700	54722560	659456
3900754046	55500800	667648
4000748941	55496704	667648
4100750955	55627776	667648
4200750576	55627776	667648
4300755905	56020992	667648
4400744859	56541184	667648
4500739004	57696256	671744
4600756186	59924480	675840
4700757781	65687552	704512
4800761889	72634368	745472
4900762419	72765440	745472
5000753833	73682944	745472
5100754632	75911168	765952
5200757209	76173312	765952
5300743694	77873152	770048
5400751488	78004224	770048
5500754072	84803584	798720
5600751247	85327872	802816
5700753661	96075776	839680
5800751463	98426880	860160
5900754716	101834752	864256
6000755370	101830656	864256
6100757435	101830656	864256
6200752127	101830656	864256
6300754225	101830656	864256
6400753528	101830656	864256
6500748808	101830656	864256
6600756524	104189952	888832
6700750165	104714240	888832
6800742361	105230336	892928
6900745007	105361408	892928
7000744191	105353216	892928
7100750219	105349120	892928
7200740990	105480192	892928
7300751923	105476096	892928
7400747000	105476096	892928
7500753657	105603072	892928
7600752920	105603072	892928
7700754486	105734144	892928
7800753028	105725952	892928
7900753858	105725952	892928
8000754393	105725952	892928
8100751260	105857024	892928
8200755288	105857024	892928
8300756684	105857024	892928
8400743197	105979904	897024
8500752575	105979904	897024
8600745295	105979904	897024
8700750762	105979904	897024
8800754428	106110976	897024
8900752381	106110976	897024
9000754600	106110976	897024
9100755999	106242048	897024
9200754837	106242048	897024
9300753233	106242048	897024
9400746337	106225664	897024
9500756736	106344448	897024
9600749818	106344448	897024
9700749508	106344448	897024
9800753274	106475520	897024
9900754972	106475520	897024
10000743383	106475520	897024
10100755761	106475520	897024
10200753120	106606592	897024
10300756572	108703744	901120
10400743406	108703744	901120
10500750833	109096960	901120
10600752446	109096960	901120
10700754648	112373760	925696
10800743459	112373760	925696
10900756273	112898048	925696
11000753149	113549312	925696
11100757057	115384320	929792
11200746303	115515392	929792
11300758514	116039680	929792
11400754968	116301824	929792
11500742152	119316480	954368
11600743137	119316480	954368
11700753473	119971840	954368
