time	rss	kernel
0	536576	131072
100674598	27004928	462848
200686425	28053504	466944
300687580	28053504	471040
400690057	28053504	479232
500694671	28053504	479232
600692064	28053504	479232
700691496	28053504	479232
800691904	28053504	479232
900688227	28184576	479232
1000686191	28184576	479232
1100685746	28184576	479232
1200683028	28184576	479232
1300683403	28184576	479232
1400696277	28184576	479232
1500695231	28184576	479232
1600687006	28184576	479232
1700691739	28184576	479232
1800686013	28184576	479232
1900694248	28184576	479232
2000675722	28184576	479232
2100689744	28184576	479232
2200677759	28184576	479232
2300699403	28184576	479232
2400681636	28184576	479232
2500686654	28184576	479232
2600687044	28184576	479232
2700686590	28184576	479232
2800691904	28184576	479232
2900690658	28184576	479232
3000677253	28184576	479232
3100679208	28184576	479232
3200686964	28184576	479232
3300685700	28315648	479232
3400693504	28315648	479232
3500681740	28315648	479232
3600697284	28315648	479232
3700721164	28315648	479232
3800712654	28315648	479232
3900694553	28315648	479232
4000679116	28315648	479232
4100684450	28315648	479232
4200691722	28315648	479232
4300690628	28315648	479232
4400688523	28315648	479232
4500693267	28315648	479232
4600693108	28315648	479232
4700692640	28315648	479232
4800691128	28315648	479232
4900684722	28315648	479232
5000677582	28315648	479232
5100686703	28315648	479232
5200688628	28315648	479232
5300680468	28315648	479232
5400693342	28315648	479232
5500693160	28315648	479232
5600692638	28315648	479232
5700685470	28315648	479232
5800679758	28315648	479232
5900673350	28315648	479232
6000665628	28315648	479232
6100676840	28315648	479232
6200680804	28315648	479232
6300679564	28315648	479232
6400673301	28315648	479232
6500672147	28315648	479232
6600676162	28315648	479232
