time	rss	kernel
0	614400	172032
100655019	2023424	327680
200670749	2023424	327680
300670405	2023424	327680
400698086	2023424	327680
501063606	2023424	327680
600673095	2023424	327680
700663902	2023424	327680
800661386	2023424	327680
900670997	2023424	327680
1000672342	2023424	327680
1100674842	2023424	327680
1200664733	2023424	327680
1300668731	2023424	327680
1400670334	2023424	327680
1500665909	2023424	327680
1600669659	2023424	327680
1700671437	2023424	327680
1800670689	2023424	327680
1900670201	2023424	327680
2000670329	2023424	327680
2100667256	2023424	327680
2200663672	2023424	327680
