time	rss	kernel
0	638976	151552
100651020	15175680	372736
200667053	16617472	389120
300669875	16617472	397312
400668906	16617472	397312
500668001	16617472	397312
600659328	16617472	397312
700673188	32608256	466944
800761295	32608256	466944
900679444	32608256	466944
1000709350	32608256	475136
1100675842	32608256	475136
1200681183	32608256	475136
1300730522	32608256	479232
1400676934	44142592	516096
1500685332	44142592	516096
1600685259	44142592	516096
1700673000	44142592	516096
1800715930	44142592	516096
1900654912	44142592	516096
2000673117	44142592	516096
2101134774	44142592	516096
2200668146	44142592	516096
2300667483	44142592	516096
2400662273	44142592	516096
2500660743	44142592	516096
2600673289	44404736	516096
2700674778	44404736	516096
2800670472	44404736	516096
2900666982	44404736	516096
3000667811	44404736	516096
3100671937	44404736	516096
3200675834	44404736	516096
3300698907	44404736	516096
3400681844	44404736	516096
3500725978	44404736	516096
3600682554	44666880	532480
3700685726	44666880	532480
3800682213	44666880	532480
3900670603	44666880	532480
4000673542	44666880	532480
4100672423	44666880	532480
4200673134	44666880	532480
4300715845	44666880	532480
4400646787	44666880	532480
4500668481	44666880	532480
4600673180	44666880	532480
4700671442	44666880	532480
4800677932	44666880	532480
4900681915	46501888	536576
5000713721	46501888	536576
5100672837	46501888	536576
5200670001	46501888	536576
5300670124	46501888	536576
5400678344	46501888	536576
5500679688	46501888	536576
5600682597	46501888	536576
5700685744	46501888	536576
5800669315	46501888	536576
5900663828	46501888	536576
6000660930	46501888	536576
6100662226	46501888	536576
6200669199	46501888	536576
6300667069	46501888	536576
6400661393	46501888	536576
6500661285	46501888	536576
6600661760	46501888	536576
6700669266	46501888	536576
6800664309	46501888	536576
6900661884	46501888	536576
7000664180	46501888	536576
7100668478	46501888	536576
7200678939	46501888	536576
7300697894	46501888	536576
7400673585	46501888	536576
7500667355	46501888	536576
7600668343	46501888	536576
7700662778	46501888	536576
7800659502	46501888	536576
7900659972	46501888	536576
8000658645	46501888	536576
8100659732	46501888	536576
8200658543	46501888	536576
8300678001	46501888	536576
8400668721	46501888	536576
8500665516	46501888	536576
8600673316	46501888	536576
8700680427	75468800	671744
8800705119	92639232	733184
8900677939	92639232	733184
9000687111	92639232	733184
9100714659	92639232	733184
9200679984	92639232	733184
9300742414	92639232	733184
9400674537	92639232	733184
9500654359	92639232	749568
9600673420	92639232	749568
9700678354	92770304	753664
9800682223	92770304	753664
9900681054	92770304	753664
10000685809	92770304	753664
10100684854	92770304	753664
10200672375	92770304	753664
10300730527	92770304	753664
10400664982	92770304	753664
10500667563	92770304	753664
10600657723	92770304	753664
10700675811	92770304	753664
10800676637	92770304	753664
10900854727	92770304	753664
11000672960	92770304	753664
11100762263	92770304	753664
11200679187	92770304	753664
11300679544	92901376	753664
11400702834	92901376	753664
11500675520	92901376	753664
11600675349	92901376	753664
11700676775	92901376	753664
11800675542	92901376	753664
11900671164	92901376	753664
12000677147	92901376	753664
12100681973	92901376	753664
12200716402	92901376	753664
12300669683	92901376	753664
12400683900	92901376	753664
12500719390	92901376	753664
12600675269	92901376	753664
12700705469	92901376	753664
12800669023	92901376	753664
12900656478	92901376	753664
13000664582	92901376	753664
13100670002	92901376	753664
13200681586	92901376	753664
13300680399	92901376	753664
13400683117	92901376	753664
13500713766	92901376	753664
13600679520	92901376	753664
13700677762	92901376	753664
13800679024	92901376	753664
13900709503	92901376	753664
14000679802	92901376	753664
14100669028	92901376	753664
14200666064	92901376	753664
14300676017	92901376	753664
14400698005	92901376	753664
14500676792	93032448	757760
14600672436	93032448	757760
14700670712	93032448	757760
14800671050	93032448	757760
14900664383	93032448	757760
15000656181	93032448	757760
15100656831	93032448	757760
15200668763	93032448	757760
15300673340	93032448	757760
15400762648	93032448	757760
15500659440	93032448	757760
15600668355	93032448	757760
15700682248	93032448	757760
15800680596	93032448	757760
15900678526	93032448	757760
16000677325	93032448	757760
16100682946	93032448	757760
16200709805	93032448	757760
