time	rss	kernel
0	548864	131072
100774633	16297984	479232
200788209	16142336	495616
300777961	16142336	495616
400770910	16142336	495616
500769632	16142336	495616
600773000	16142336	495616
700770185	16142336	495616
800769574	16142336	495616
900768760	16142336	495616
1000768702	16142336	495616
1100767987	16142336	495616
1200768392	16142336	495616
1300768698	16142336	495616
1400768400	16142336	495616
1500765584	16142336	495616
1600767238	16142336	495616
1700779852	16142336	495616
1800762320	16142336	495616
1900766825	16142336	495616
2000768692	16142336	495616
2100769094	16142336	495616
2200768702	16142336	495616
2300768269	16142336	495616
2400766107	16142336	495616
2500768692	16142336	495616
2600769042	16142336	495616
2700770093	16142336	495616
2800770096	16142336	495616
2900768909	16142336	495616
3000780776	16142336	495616
3100761325	16142336	495616
3200759170	16142336	495616
3300768804	16142336	495616
3400768264	16142336	495616
3500769956	16142336	495616
3600768037	16142336	495616
3700769658	16142336	495616
3800769006	16142336	495616
3900768273	16142336	495616
4000770024	16142336	495616
4100769838	16142336	495616
4200769685	16142336	495616
4300769301	16142336	495616
4400768488	16142336	495616
4500765049	16142336	495616
4600769029	16142336	495616
4700770577	16142336	495616
4800770311	16142336	495616
4900768965	16142336	495616
5000769803	16142336	495616
5100767758	16142336	495616
5200769469	16142336	495616
5300780098	16142336	495616
5400761572	16142336	495616
5500765394	16142336	495616
5600763191	16142336	495616
5700772874	16142336	495616
5800768132	16142336	495616
5900768128	16142336	495616
6000767554	16142336	495616
6100768960	16142336	495616
6200772542	16142336	495616
6300775280	16142336	495616
6400783876	16142336	495616
6500762687	16142336	495616
6601656871	16142336	495616
6700781126	16121856	495616
6800779348	16121856	495616
6900777171	16121856	495616
7000775340	16121856	495616
7100776388	16121856	495616
7200776705	16121856	495616
7300776375	16121856	495616
7400774364	16121856	495616
7500775050	16121856	495616
7600777739	16121856	495616
7700777519	16121856	495616
7800776547	16121856	495616
7900776569	16121856	495616
8000778289	16121856	495616
8100774971	16121856	495616
8200776804	16121856	495616
8300773488	16121856	495616
8400776411	16121856	495616
8500771880	16121856	495616
8600775439	16121856	495616
8700760352	16121856	495616
8800767510	16121856	495616
8900773760	16121856	495616
9000775035	16121856	495616
9100770327	16121856	495616
9200767937	16121856	495616
9300770187	16121856	495616
9400769106	16121856	495616
9500767925	16252928	495616
9600769584	16252928	495616
9700767638	16252928	495616
9800768214	16252928	495616
9900770859	16252928	495616
10000768292	16252928	495616
10100769599	16252928	495616
10200765921	16252928	495616
10300762948	16252928	495616
10400759101	16252928	495616
10500769157	16252928	495616
10600767683	16252928	495616
10700768017	16252928	495616
10800768289	16252928	495616
10900767206	16252928	495616
11000768880	16252928	495616
11100767961	16252928	495616
11200767413	16252928	495616
11300768008	16252928	495616
11400768811	16252928	495616
11500768688	16252928	495616
11600763620	16252928	495616
11700766962	16252928	495616
11800767878	16252928	495616
11900767924	16252928	495616
12000767707	16252928	495616
12100767300	16252928	495616
12200766911	16252928	495616
12300766634	16252928	495616
12400766581	16252928	495616
12500764744	16252928	495616
12600766218	16252928	495616
12700768573	16252928	495616
12800766778	16252928	495616
12900769335	16252928	495616
13000766067	16252928	495616
13100767705	16252928	495616
13200766865	16252928	495616
13300767802	16252928	495616
13400767508	16252928	495616
13500767692	16252928	495616
13600765970	16252928	495616
13700764981	16252928	495616
13800774321	16338944	507904
13900778017	16224256	512000
14000773045	16158720	512000
14100771482	16158720	512000
14200771670	16158720	512000
14300769321	16158720	512000
14400765031	16158720	512000
14500771257	16158720	512000
14600771644	16158720	512000
14700768414	16158720	512000
14800768851	16158720	512000
14900767333	16158720	512000
15000771634	16158720	512000
15100764998	16158720	512000
15200770117	16158720	512000
15300768704	16158720	512000
15400770680	16158720	512000
15500784914	16158720	512000
15600776141	16158720	512000
15700778059	16158720	512000
15800777316	16158720	512000
15900777312	16158720	512000
16000777039	16158720	512000
16100777328	16158720	512000
16200778018	16158720	512000
16300776761	16158720	512000
16400777610	16158720	512000
16500776121	16158720	512000
16600781755	16158720	512000
16700779346	16158720	512000
16800772282	16289792	512000
16900770857	16289792	512000
17000769254	16289792	512000
17100767215	16289792	512000
17200768855	16289792	512000
17300768826	16289792	512000
