time	rss	kernel
0	417792	114688
100740756	36724736	495616
200736550	36724736	495616
300751575	36724736	495616
400754425	36724736	495616
500748947	36724736	495616
600752587	36724736	495616
700753725	36724736	495616
800745644	37249024	495616
900742540	37249024	495616
1000740566	37249024	495616
1100753442	42229760	507904
1200745253	42229760	507904
1300748265	42229760	507904
1400753976	42229760	507904
1500754639	42229760	507904
1600750627	42229760	507904
1700755165	42229760	507904
1800756928	42229760	507904
1900750344	42885120	512000
2000738199	42885120	512000
2100741140	42885120	512000
2200753494	49176576	544768
2300754041	49176576	544768
2400752486	49176576	544768
2500752399	49176576	544768
2600756559	49176576	544768
2700757683	49176576	544768
2800751136	49176576	544768
2900750846	49176576	544768
3000745103	50094080	552960
3100742807	50094080	552960
3200735693	50094080	552960
