time	rss	kernel
0	643072	167936
100803275	21102592	405504
200825442	21102592	405504
300826280	21102592	405504
400821745	21102592	405504
500826973	21102592	405504
600827565	21102592	405504
700820669	21626880	421888
800826329	21626880	421888
900821711	21626880	421888
1000831875	26476544	430080
1100836282	26476544	430080
1200830209	26476544	430080
1300833678	26476544	430080
1400832619	26476544	430080
1500830963	26476544	430080
1600825556	26476544	430080
1700826875	27262976	442368
1800816993	27262976	442368
1900841560	27262976	442368
2000827399	27262976	442368
2100836839	33554432	471040
2200841896	33554432	471040
2300838051	33554432	471040
2400839705	33554432	471040
2500832462	33554432	471040
2600839854	33554432	471040
2700837527	33554432	471040
2800837581	34471936	475136
2900839788	34471936	475136
3000835330	34471936	475136
3100833727	34471936	475136
3200824060	34471936	483328
3300825494	34471936	483328
3400826206	34471936	483328
