time	rss	kernel
0	626688	155648
100756001	21184512	454656
200771946	42418176	565248
300769566	52772864	606208
400765494	52903936	606208
500767666	52903936	606208
600761276	52903936	606208
700758520	52903936	606208
800767123	65224704	663552
900767372	77545472	720896
1000766090	77545472	724992
1100741877	77545472	724992
1200763391	77545472	724992
1300765203	77938688	724992
1400768038	77938688	724992
1500763068	78856192	729088
1600755812	78839808	729088
1700761837	78962688	729088
1800765303	80797696	729088
1900778090	80920576	733184
2000763487	80912384	733184
2100769350	81039360	733184
2200765979	85757952	761856
2300768170	85757952	761856
2400767197	85757952	761856
2500768375	86274048	761856
2600770973	86265856	761856
2700767123	86265856	761856
2800765758	86638592	761856
2900767526	86634496	765952
3000775617	87027712	765952
3100766540	87023616	765952
3200767104	87142400	765952
3300764293	87142400	765952
3400766761	87142400	765952
3500773739	87138304	765952
3600759244	87130112	765952
3700762911	87248896	770048
3800765487	87248896	770048
3900768036	87248896	770048
4000770226	87248896	770048
4100777896	87240704	770048
4200766884	87240704	770048
4300767426	87363584	770048
4400768187	87363584	770048
4500765782	90378240	794624
4600756195	166531072	1110016
4700752389	166531072	1110016
4800756849	166531072	1110016
4900748320	166531072	1110016
5000754222	166531072	1110016
5100744028	166531072	1110016
5200754246	166531072	1110016
5300761731	166531072	1110016
5400761714	166522880	1110016
5500754120	166522880	1110016
5600756584	166514688	1110016
5700757097	166514688	1110016
5800753599	166514688	1110016
5900759716	229560320	1380352
6000765332	466800640	2383872
6100767218	469422080	2387968
6200761152	469422080	2387968
6300759961	469422080	2387968
6400758063	469422080	2387968
6500756054	469422080	2387968
6600758910	469422080	2387968
6700760598	469422080	2387968
6800762062	469929984	2387968
6900757701	470044672	2387968
7000761426	470028288	2387968
7100757951	470011904	2387968
7200760311	469995520	2392064
7300751890	469995520	2392064
7400756417	469995520	2392064
7500751115	469995520	2392064
7600748849	469995520	2392064
7700743623	469995520	2392064
7800757247	470110208	2392064
7900751945	470110208	2392064
8000740786	470110208	2392064
8100748954	470110208	2392064
8200744359	470110208	2392064
8300748010	470110208	2392064
8400758437	470077440	2392064
8500762587	470077440	2392064
8600763871	470077440	2392064
8700754827	470077440	2392064
8800762184	470077440	2392064
8900759353	470077440	2392064
9000764832	470044672	2392064
9100754438	470028288	2392064
9200761993	470011904	2392064
9300765754	470126592	2392064
9400757915	470110208	2392064
9500755468	470089728	2392064
9600753316	470073344	2392064
9700753688	470052864	2392064
9800758533	470036480	2392064
9900760602	470020096	2392064
10000755529	469999616	2392064
10100738471	470114304	2392064
10200758359	470097920	2392064
10300762983	470077440	2392064
10400759159	470061056	2392064
10500761324	470044672	2392064
10600771541	470044672	2392064
10700760636	470044672	2392064
10800759258	470044672	2392064
10900765016	470044672	2392064
11000768679	470044672	2392064
11100759817	470044672	2392064
11200764027	470044672	2392064
11300768399	470044672	2392064
11400764666	470028288	2392064
11500750625	470011904	2392064
11600762534	469995520	2392064
11700756076	470110208	2392064
11800762841	470093824	2392064
11900759620	470077440	2392064
12000760551	470061056	2392064
12100759027	470044672	2392064
12200749797	470028288	2392064
12300763826	470011904	2392064
12400759355	469995520	2392064
12500759095	470110208	2392064
12600754593	470093824	2392064
12700755388	470077440	2392064
12800759300	470061056	2392064
12900745897	470044672	2392064
13000759135	470028288	2392064
13100760664	470011904	2392064
13200755447	470011904	2392064
13300762772	470011904	2392064
13400771152	470011904	2392064
13500760248	470011904	2392064
13600750579	469995520	2392064
13700762213	469995520	2392064
13800762817	470093824	2392064
13900760244	470093824	2392064
14000754222	470093824	2392064
14100756415	470093824	2392064
14200755047	470093824	2392064
14300752723	470093824	2392064
14400754360	470093824	2392064
14500755876	470093824	2392064
14600759256	470093824	2392064
14700754058	470093824	2392064
14800754533	470093824	2392064
14900754670	470093824	2392064
15000756357	470093824	2392064
15100753246	470093824	2392064
15200758434	470093824	2392064
15300766067	470093824	2392064
15400758166	470093824	2392064
15500757849	470093824	2392064
15600745967	470093824	2392064
15700767993	470093824	2392064
15800760479	489361408	2478080
15900762684	566153216	3096576
16000764521	638373888	3096576
16100753884	638332928	3096576
16200764705	639774720	3100672
16300764010	639774720	3100672
16400769212	644976640	3129344
16500772813	644956160	3129344
16600788459	644956160	3129344
16700763373	644935680	3129344
16800768162	644935680	3129344
16900768941	644915200	3129344
17000779004	644894720	3129344
17100765045	645005312	3129344
17200765508	645005312	3129344
17300752099	644984832	3129344
17400757732	644984832	3129344
17500758384	644964352	3129344
17600780903	644943872	3129344
17700756501	644943872	3129344
17800764407	644943872	3129344
17900757930	644943872	3129344
18000756890	644943872	3129344
18100761698	644923392	3129344
18200760148	644923392	3129344
18300765530	644902912	3129344
18400793291	644882432	3129344
18500777618	644882432	3129344
18600760458	644882432	3129344
18700782177	644993024	3129344
18800768844	644993024	3129344
18900777775	644972544	3129344
19000785534	644972544	3129344
19100783212	644952064	3129344
19200760141	644952064	3129344
19300767352	644931584	3129344
19400762887	644931584	3129344
19500769071	644911104	3129344
19600757073	644911104	3129344
19700750599	644911104	3129344
19800748588	644911104	3129344
19900756335	644911104	3129344
20000760532	644890624	3129344
20100755392	644890624	3129344
20200765060	644890624	3129344
20300761331	644890624	3129344
20400762013	644890624	3129344
20500761890	644890624	3129344
20600763789	644890624	3129344
20700751467	644890624	3129344
20800768734	644890624	3129344
20900765749	645001216	3129344
21000759102	644980736	3129344
21100748975	644960256	3129344
21200753805	644939776	3129344
21300758858	644915200	3129344
21400758718	644894720	3129344
21500754734	645001216	3129344
21600760017	644980736	3129344
21700763384	644960256	3129344
21800761515	644894720	3133440
21900763259	644874240	3133440
22000761868	644984832	3133440
22100757789	644964352	3133440
22200760264	644943872	3133440
22300759347	644943872	3133440
22400767935	644923392	3133440
22500761308	644923392	3133440
22600762929	644923392	3133440
22700764261	644923392	3133440
22800762762	644923392	3133440
22900767884	644923392	3133440
23000782275	644902912	3133440
23100744303	648048640	3133440
23200759801	648028160	3133440
23300761206	648028160	3133440
23400758706	648421376	3133440
23500763141	648421376	3133440
23600756009	648495104	3133440
23700751315	648495104	3133440
23800764910	648495104	3133440
23900760280	648441856	3133440
24000759571	648413184	3133440
24100749722	648404992	3133440
24200759193	648404992	3133440
24300762542	648404992	3133440
24400761326	648507392	3133440
24500756201	648486912	3133440
24600753640	648466432	3133440
24700740924	648445952	3133440
24800755965	648425472	3133440
24900761847	648425472	3133440
25000762149	648425472	3133440
25100768385	648425472	3133440
25200763933	648404992	3133440
25300756419	648404992	3133440
25400762966	648646656	3133440
25500764276	649396224	3149824
25600763083	649351168	3149824
25700759907	649441280	3149824
25800767058	649441280	3149824
25900770704	649441280	3149824
26000767745	649412608	3149824
26100757091	649392128	3149824
26200766991	649371648	3149824
26300762499	649330688	3149824
26400765769	649330688	3149824
26500766265	649310208	3149824
26600757579	649420800	3149824
26700765991	649375744	3149824
26800764260	649375744	3149824
26900765099	649351168	3149824
27000763980	649351168	3149824
27100767553	649572352	3153920
27200754579	649531392	3153920
27300769038	649617408	3153920
27400765581	649707520	3153920
27500768957	649707520	3153920
27600757456	649707520	3153920
27701197769	649666560	3153920
27800841238	649625600	3153920
27900774635	649715712	3153920
28001280364	649793536	3153920
28100766132	649752576	3153920
28200768946	649752576	3153920
28300768308	649752576	3153920
28400764959	649707520	3153920
28500765918	649797632	3153920
28600758381	649797632	3153920
28700760400	649777152	3153920
28800765445	649732096	3153920
28900762881	649732096	3153920
29000769268	649822208	3153920
