time	rss	kernel
0	593920	167936
100655875	21098496	466944
200682304	41807872	573440
301233523	52817920	618496
400688109	52817920	618496
500691729	52817920	618496
600676940	52817920	618496
700685505	52817920	618496
800690531	64352256	671744
900690326	76804096	733184
1000699998	76804096	737280
1100686522	76804096	737280
1200685486	76804096	737280
1300691710	77983744	737280
1400698044	77979648	737280
1500692653	78766080	737280
1600691407	78749696	737280
1700694672	79265792	745472
1800690173	80707584	745472
1900686751	80822272	745472
2000705164	80809984	745472
2100693543	86818816	778240
2200692085	86818816	778240
2300683493	86818816	778240
2400690402	86818816	778240
2500694733	86814720	778240
2600690571	86933504	778240
2700684845	86933504	778240
2800687611	86929408	778240
2900688520	86929408	778240
3000682349	87060480	778240
3100706642	87060480	778240
3200713199	87048192	778240
3300694383	87048192	778240
3400682724	87048192	778240
3500688750	87175168	778240
3600686697	87171072	778240
3700690163	87171072	778240
3800691905	87158784	782336
3900692783	87158784	782336
4000687930	87158784	782336
4100683794	87281664	782336
4200686392	87277568	782336
4300694052	87277568	782336
4400692959	87277568	782336
4500696827	90554368	806912
4600689290	166838272	1118208
4700685420	166838272	1118208
4800668664	166838272	1118208
4900674182	166838272	1118208
5000663004	166838272	1118208
5100654585	166838272	1118208
5200680848	166838272	1118208
5300941917	166838272	1118208
5400689048	166830080	1118208
5500679856	166830080	1118208
5600690448	166817792	1118208
5700691302	166817792	1118208
5800693805	166817792	1118208
5900694158	263680000	1536000
6000685536	469856256	2396160
6100695366	469856256	2396160
6200655764	469856256	2396160
6300683142	469856256	2396160
6400685423	469856256	2396160
6500682537	469856256	2396160
6600676900	469856256	2396160
6700687901	469856256	2396160
6800684536	470364160	2396160
6900668508	470347776	2396160
7000691422	470331392	2396160
7100673083	470315008	2396160
7200671080	470298624	2396160
7300682386	470429696	2396160
7400664539	470429696	2396160
7500668091	470429696	2396160
7600676118	470429696	2396160
7700675698	470429696	2396160
7800684392	470413312	2396160
7900668581	470413312	2396160
8000674685	470413312	2396160
8100687452	470413312	2396160
8200667280	470413312	2396160
8300676451	470413312	2396160
8400871901	470380544	2396160
8500690919	470380544	2396160
8600679308	470380544	2396160
8700684655	470380544	2396160
8800681392	470380544	2396160
8900686730	470380544	2396160
9000684156	470347776	2396160
9100688015	470331392	2396160
9200684150	470446080	2396160
9300680289	470429696	2396160
9400685321	470409216	2396160
9500684167	470409216	2396160
9600691409	470388736	2396160
9700685405	470368256	2400256
9800682938	470347776	2400256
9900682473	470327296	2400256
10000683218	470310912	2400256
10100684623	470425600	2400256
10200683264	470409216	2400256
10300684558	470392832	2400256
10400681497	470372352	2400256
10500677969	470355968	2400256
10600698505	479645696	2433024
10700701273	479645696	2433024
10800698289	479645696	2433024
10900699512	479645696	2433024
11000698266	479645696	2433024
11100716170	479645696	2433024
11200819061	479645696	2433024
11300698638	479645696	2433024
11400687314	479629312	2433024
11500681165	479612928	2433024
11600690912	479727616	2433024
11700692482	479711232	2433024
11800686231	479694848	2433024
11900687961	479678464	2433024
12000688262	479662080	2433024
12100694024	479645696	2433024
12200686883	479629312	2433024
12300700445	479744000	2433024
12400682382	479727616	2433024
12500684415	479711232	2433024
12600683417	479694848	2433024
12700684551	479678464	2433024
12800682200	479662080	2433024
12900683673	479645696	2433024
13000680953	479629312	2433024
13100706028	479629312	2433024
13200696774	479629312	2433024
13300705507	479629312	2433024
13400700743	479629312	2433024
13500698402	479629312	2433024
13600691669	479744000	2433024
13700682648	479744000	2433024
13800689010	479711232	2433024
13900686208	479711232	2433024
14000686603	479711232	2433024
14100688679	479711232	2433024
14200682272	479711232	2433024
14300679203	479711232	2433024
14400673792	479711232	2433024
14500696684	479711232	2433024
14600688953	479711232	2433024
14700689960	479711232	2433024
14800686287	479711232	2433024
14900688760	479711232	2433024
15000685581	479711232	2433024
15100679336	479711232	2433024
15200683409	479711232	2433024
15300689842	479711232	2433024
15400691108	479711232	2433024
15500690667	479711232	2433024
15600675873	479711232	2433024
15700681793	479711232	2433024
15800683672	498978816	2519040
15900694121	583110656	3137536
16000703808	647991296	3137536
16100685027	648081408	3141632
16200696638	648081408	3141632
16300690254	648081408	3141632
16400694675	648040448	3141632
16500687135	648019968	3141632
16600689373	648019968	3141632
16700686638	647999488	3141632
16800705278	648110080	3141632
16900701968	648024064	3141632
17000690275	648003584	3141632
17100656729	647983104	3141632
17200693448	647983104	3141632
17300687356	647962624	3141632
17400689302	647962624	3141632
17500686897	647942144	3141632
17600695440	647921664	3141632
17700688766	647921664	3141632
17800684727	647921664	3141632
17900682233	647921664	3141632
18000683471	647921664	3141632
18100699097	648032256	3141632
18200726249	648032256	3141632
18300707823	648011776	3141632
