time	rss	kernel
0	606208	102400
100611905	26992640	352256
200620416	28041216	372736
300623512	28041216	376832
400627575	28041216	385024
500624230	28041216	385024
600626282	28041216	385024
700625314	28041216	385024
800616848	28172288	385024
900625694	28172288	385024
1000637418	28172288	385024
1100708279	28172288	385024
1200622481	28172288	385024
1300627337	28172288	385024
1400623478	28172288	385024
1500624844	28172288	385024
1600624397	28172288	385024
1700626656	28172288	385024
1800627157	28172288	385024
1900620600	28172288	385024
2000617641	28172288	385024
2100623398	28172288	385024
2200625347	28172288	385024
2300638237	28172288	385024
2400612716	28172288	385024
2500620453	28172288	385024
2600618068	28172288	385024
2700624620	28172288	385024
2800624301	28172288	385024
2900631491	28172288	385024
3000618579	28172288	385024
3100618956	28160000	385024
3200622588	28291072	385024
3300610037	28291072	385024
3400610696	28291072	385024
3500609234	28291072	385024
3600624288	28291072	385024
3700619245	28291072	389120
3800623689	28291072	389120
3900620243	28291072	389120
4000613756	28291072	389120
4100620850	28291072	389120
4200618478	28291072	389120
4300611055	28291072	389120
4400613293	28291072	389120
4500612342	28291072	389120
4600614195	28291072	389120
4700612838	28291072	389120
4800616601	28291072	389120
4900622202	28291072	389120
5000615407	28291072	389120
5100622148	28291072	389120
5200626433	28291072	389120
5300625148	28291072	389120
5400629215	28291072	389120
5500613661	28291072	389120
5600623818	28291072	389120
5700616065	28291072	389120
5800609960	28291072	389120
5900605269	28291072	389120
6000602811	28291072	389120
6100610099	28291072	389120
6200618832	28291072	389120
6300611808	28291072	389120
6400604522	28291072	389120
6500606432	28291072	389120
6600616300	28291072	389120
