time	rss	kernel
0	626688	188416
100745211	25858048	540672
200768704	41177088	602112
300755619	41177088	602112
400741322	41177088	602112
500745127	41177088	602112
600742824	41177088	602112
700745795	41177088	602112
800745211	41177088	602112
900744105	41177088	602112
1000738259	41177088	602112
1100743694	41177088	602112
1200743782	41177088	602112
1300743282	41177088	602112
1400743438	41177088	602112
1500743536	41177088	602112
1600743636	41177088	602112
1700744282	41177088	602112
1800743346	41177088	602112
1900744117	41177088	602112
2000743719	41177088	602112
2100739859	41177088	602112
2200744378	41177088	602112
2300759610	41177088	602112
2400737052	41177088	602112
2500753005	41963520	602112
2600763609	64483328	696320
2700750229	64483328	696320
2800960927	64483328	696320
2900742274	64483328	696320
